,SAP30BP (29115)
ACH-000004,-1.4666590535100001
ACH-000007,-1.67604202558
ACH-000009,-1.52188476252
ACH-000011,-1.4146031772999998
ACH-000012,-1.4114806458000002
ACH-000013,-1.3387659351799999
ACH-000014,-1.32676827452
ACH-000015,-1.4268005541100002
ACH-000017,-1.53240021829
ACH-000018,-1.40892726429
ACH-000019,-1.48387159666
ACH-000021,-1.4346020244100002
ACH-000022,-1.63311530912
ACH-000025,-1.31765975261
ACH-000028,-1.25275143386
ACH-000030,-1.3618482796899998
ACH-000035,-1.64960918226
ACH-000036,-1.2957766774
ACH-000037,-1.59206086095
ACH-000039,-1.37151429565
ACH-000040,-1.4256063554
ACH-000041,-1.5252763011700001
ACH-000042,-1.08413483308
ACH-000045,-1.65930786509
ACH-000047,-1.74766129352
ACH-000052,-1.19939057927
ACH-000053,-1.48796176063
ACH-000054,-1.3832011520299998
ACH-000055,-1.35866939617
ACH-000060,-1.2638689758200001
ACH-000067,-1.3007961883399999
ACH-000070,-1.04547699842
ACH-000075,-1.4491073052
ACH-000078,-1.4232836822
ACH-000082,-1.68967816607
ACH-000085,-1.32727778136
ACH-000086,-1.4119629908899998
ACH-000087,-1.6169572709399997
ACH-000092,-1.35140517831
ACH-000095,-1.42469914687
ACH-000097,-1.3893381329799999
ACH-000098,-1.30227676057
ACH-000099,-1.23368944059
ACH-000108,-1.4096172246599998
ACH-000113,-1.66315475972
ACH-000115,-2.2494336153599996
ACH-000116,-1.34276041878
ACH-000118,-1.6710576716799999
ACH-000120,-1.47946917415
ACH-000123,-1.5274189510799998
ACH-000127,-1.33022563622
ACH-000128,-1.4966431553400001
ACH-000132,-1.32098217316
ACH-000133,-1.5257148470200002
ACH-000137,-1.25343601623
ACH-000138,-1.5702057997299999
ACH-000142,-0.940467638126
ACH-000143,-1.62678551526
ACH-000146,-1.6989508518799998
ACH-000148,-1.57468444321
ACH-000150,-1.09967311719
ACH-000152,-1.32054677508
ACH-000153,-1.12133818592
ACH-000159,-1.27673576769
ACH-000160,-1.62044794121
ACH-000163,-1.5093795707799997
ACH-000167,-2.12405415822
ACH-000168,-1.53371400006
ACH-000169,-1.49441235783
ACH-000178,-1.51285719934
ACH-000182,-1.51894816666
ACH-000183,-1.55207849213
ACH-000188,-1.5322640117500002
ACH-000189,-1.4531780484399999
ACH-000190,-1.26634823062
ACH-000198,-1.5160271005000001
ACH-000204,-1.33613116911
ACH-000206,-1.3185255340100002
ACH-000207,-1.41285261
ACH-000211,-1.26476551017
ACH-000215,-1.34147014932
ACH-000221,-1.6348608618399998
ACH-000222,-1.6090810552500001
ACH-000223,-1.4181299430599998
ACH-000226,-1.3103495760700001
ACH-000227,-1.91753916224
ACH-000228,-1.6520613592200002
ACH-000231,-1.5240319096500001
ACH-000232,-1.46805157178
ACH-000233,-1.36276967002
ACH-000234,-1.54602693215
ACH-000235,-1.4141103929199998
ACH-000237,-1.5256897294799998
ACH-000238,-1.6492290020700002
ACH-000243,-1.6208126170500001
ACH-000244,-0.939645501471
ACH-000246,-1.19276008215
ACH-000248,-1.39201740681
ACH-000250,-1.24780030035
ACH-000251,-1.43064487164
ACH-000253,-1.6552733506
ACH-000255,-1.21903753276
ACH-000256,-1.7656830305000002
ACH-000257,-1.54435412145
ACH-000258,-1.31946897872
ACH-000259,-1.5119003360499998
ACH-000260,-1.26656196239
ACH-000261,-1.3712132346500001
ACH-000262,-1.42637921529
ACH-000263,-1.47332063426
ACH-000264,-1.66489581258
ACH-000265,-1.5036481221899998
ACH-000266,-1.44722789259
ACH-000272,-1.3581005101499999
ACH-000273,-1.51065153378
ACH-000274,-1.25227101065
ACH-000277,-1.52229330817
ACH-000278,-1.36140813824
ACH-000279,-1.4884421728400001
ACH-000280,-1.1502142906100001
ACH-000281,-1.3524365758599999
ACH-000288,-1.4552172645299999
ACH-000291,-1.45237934569
ACH-000293,-1.98045530865
ACH-000294,-1.9168064491099999
ACH-000295,-1.28121601252
ACH-000296,-1.2689206150499999
ACH-000302,-1.48678665932
ACH-000304,-1.7681979974200002
ACH-000307,-1.68012960681
ACH-000308,-1.56384721199
ACH-000310,-1.5539884294100001
