,EPN3 (55040)
ACH-000004,-0.201134594077
ACH-000007,-0.303134891186
ACH-000009,-0.0776858505221
ACH-000011,0.0194965794423
ACH-000012,-0.244440543624
ACH-000013,-0.0816197603764
ACH-000014,0.106979109254
ACH-000015,0.06982106285919999
ACH-000017,-0.224074448035
ACH-000018,-0.15253622284
ACH-000019,-0.268671900641
ACH-000021,-0.07574650675089999
ACH-000022,-0.248447125686
ACH-000025,-0.20135268310600002
ACH-000028,-0.10978884209100001
ACH-000030,-0.10231820693
ACH-000035,-0.0423695945086
ACH-000036,-0.269139078302
ACH-000037,0.025404707456099997
ACH-000039,-0.112114148749
ACH-000040,-0.24126685239
ACH-000041,-0.13217713964400002
ACH-000042,-0.0565645951218
ACH-000045,-0.0816009726164
ACH-000047,-0.260877863691
ACH-000052,-0.348758731142
ACH-000053,-0.08420133570260001
ACH-000054,-0.13015301158
ACH-000055,0.0104309110671
ACH-000060,-0.09750406868030001
ACH-000067,-0.224600857592
ACH-000070,-0.243387187337
ACH-000075,0.025327696397899998
ACH-000078,-0.267270594357
ACH-000082,-0.124198560603
ACH-000085,-0.0468447735729
ACH-000086,-0.060130134165500004
ACH-000087,-0.33041181135000003
ACH-000092,-0.201572971434
ACH-000095,-0.168887724815
ACH-000097,-0.144604601384
ACH-000098,-0.121603465864
ACH-000099,-0.104998421875
ACH-000108,-0.0341538436092
ACH-000113,-0.238906680555
ACH-000115,-0.385967834557
ACH-000116,-0.288186190099
ACH-000118,-0.0649333910136
ACH-000120,-0.17716779119399997
ACH-000123,0.0345384312792
ACH-000127,-0.08130085139910001
ACH-000128,-0.0373119513162
ACH-000132,0.186238696812
ACH-000133,-0.14761863032199998
ACH-000137,-0.23559294718899998
ACH-000138,-0.141659827791
ACH-000142,-0.38946720092500003
ACH-000143,-0.021488900835599997
ACH-000146,-0.007377257707380001
ACH-000148,-0.167795635632
ACH-000150,-0.224874661193
ACH-000152,-0.310219553547
ACH-000153,-0.0569197042623
ACH-000159,-0.0837341081251
ACH-000160,0.16510154914
ACH-000163,-0.41695280630900006
ACH-000167,-0.014845048279200001
ACH-000168,-0.158657078239
ACH-000169,-0.117493710145
ACH-000178,-0.226239934801
ACH-000182,-0.0785706614924
ACH-000183,0.11198191423000001
ACH-000188,-0.16853286605700002
ACH-000189,-0.371135535139
ACH-000190,-0.0994562865735
ACH-000198,-0.11389021573
ACH-000204,-0.223667542361
ACH-000206,0.0208865195809
ACH-000207,-0.44023348483499997
ACH-000211,-0.211284274653
ACH-000215,-0.21461960379099998
ACH-000221,-0.20473116421300003
ACH-000222,-0.254142139758
ACH-000223,0.0326978093158
ACH-000226,-0.132949912571
ACH-000227,-0.431680623761
ACH-000228,-0.279341383511
ACH-000231,-0.238193593865
ACH-000232,-0.0599662344757
ACH-000233,0.00729990138283
ACH-000234,-0.273496607647
ACH-000235,-0.125575564208
ACH-000237,0.0042161119933800005
ACH-000238,-0.335337280983
ACH-000243,-0.27809632709800003
ACH-000244,-0.151411712824
ACH-000246,-0.19318665103799998
ACH-000248,-0.127658072339
ACH-000250,-0.159723223942
