,PLA2G12B (84647)
ACH-000004,-0.0618523981202
ACH-000007,-0.14044261184
ACH-000009,-0.0396371708092
ACH-000011,-0.140481185701
ACH-000012,-0.24698175447299997
ACH-000013,-0.09231805981339998
ACH-000014,-0.132335462968
ACH-000015,-0.224814684329
ACH-000017,-0.137841774692
ACH-000018,-0.0859634066632
ACH-000019,0.053816521752500006
ACH-000021,-0.034763548200300004
ACH-000022,-0.0867459923886
ACH-000025,-0.138191460529
ACH-000028,-0.13581329716600002
ACH-000030,-0.347796535191
ACH-000035,-0.15309332060900002
ACH-000036,-0.036601933947199995
ACH-000037,0.00985483526998
ACH-000039,-0.0018971375739400003
ACH-000040,-0.177266880209
ACH-000041,-0.0261813539598
ACH-000042,-0.091096759112
ACH-000045,0.0239721996424
ACH-000047,-0.122321920649
ACH-000052,0.021168650197400003
ACH-000053,-0.09118844972110002
ACH-000054,-0.023538252917800002
ACH-000055,-0.144352039059
ACH-000060,-0.244520112046
ACH-000067,-0.177871160823
ACH-000070,-0.134369935033
ACH-000075,-0.151377622388
ACH-000078,0.0699133637287
ACH-000082,-0.0216076073568
ACH-000085,-0.175012919609
ACH-000086,-0.338835794317
ACH-000087,-0.292840956454
ACH-000092,0.056152434347099996
ACH-000095,0.0026405246847299997
ACH-000097,0.00376879165195
ACH-000098,-0.017291043279400002
ACH-000099,-0.09706856392449999
ACH-000108,0.0709774485326
ACH-000113,0.0109590949625
ACH-000115,-0.285921894888
ACH-000116,-0.169018039403
ACH-000118,-0.224863789178
ACH-000120,0.152095138131
ACH-000123,-0.251176356694
ACH-000127,-0.09472366028380001
ACH-000128,-0.146963555482
ACH-000132,-0.0327302403233
ACH-000133,-0.323310479221
ACH-000137,-0.056837117571599996
ACH-000138,-0.0489025367612
ACH-000142,-0.198336768996
ACH-000143,-0.266513151569
ACH-000146,-0.0564409119845
ACH-000148,-0.174473132844
ACH-000150,-0.0808578601562
ACH-000152,-0.221824136993
ACH-000153,-0.061994503575800004
ACH-000159,0.00843019590524
ACH-000160,-0.166721367488
ACH-000163,0.170097359309
ACH-000167,-0.045171840815399995
ACH-000168,-0.103771479586
ACH-000169,-0.126316218889
ACH-000178,0.050976224691199994
ACH-000182,-0.131238226099
ACH-000183,0.082408102995
ACH-000188,-0.116965795427
ACH-000189,-0.22243407843199997
ACH-000190,0.057679571591
ACH-000198,-0.0339761941146
ACH-000204,0.0150157603668
ACH-000206,0.23458297392900002
ACH-000207,-0.20274411769499998
ACH-000211,-0.019560412995099998
ACH-000215,-0.00974850612632
ACH-000221,-0.0668264238064
ACH-000222,0.200216018083
ACH-000223,-0.08585069744370001
ACH-000226,-0.181510800345
ACH-000227,-0.164005139634
ACH-000228,-0.11013015826
ACH-000231,-0.0345735292772
ACH-000232,-0.0755141019293
ACH-000233,-0.013701864109399999
ACH-000234,-0.08399405070089999
ACH-000235,0.0018636427399999999
ACH-000237,-0.0613708971731
ACH-000238,0.000490624706328
ACH-000243,-0.0904468936955
ACH-000244,-0.0447174165306
ACH-000246,-0.0179576960233
ACH-000248,0.07787598647800001
ACH-000250,-0.008643998290280001
ACH-000251,-0.24502408818799998
ACH-000253,-0.154240888225
ACH-000255,-0.44931338390299996
ACH-000256,-0.101882721952
ACH-000257,-0.00022896819436500003
ACH-000258,-0.0965650603827
ACH-000259,-0.09704410391830001
ACH-000260,-0.0169010962518
ACH-000261,-0.0453006266789
ACH-000262,-0.168050776679
ACH-000263,-0.0349962917675
ACH-000264,-0.0897178662635
ACH-000265,-0.122264411262
ACH-000266,-0.0350040561386
ACH-000272,-0.057166754762699994
ACH-000273,-0.09415623115739999
ACH-000274,-0.08001197424039999
ACH-000277,-0.18212442313000002
ACH-000278,0.106332058824
ACH-000279,-0.113332639091
ACH-000280,-0.07279912817379999
ACH-000281,-0.0129118078309
ACH-000288,-0.149446402699
ACH-000291,-0.12334911701
ACH-000293,-0.073523532306
ACH-000294,-0.22733627168200002
ACH-000295,-0.33646777279299994
ACH-000296,0.0272881419991
ACH-000302,-0.0583400609116
ACH-000304,-0.18880290100299998
ACH-000307,0.08638821742080001
ACH-000308,-0.134355431365
ACH-000310,0.0915122565849
ACH-000311,-0.0168391826998
ACH-000312,0.0541823337816
ACH-000315,-0.11095812258400001
ACH-000316,-0.13619136452
ACH-000317,0.0703376025627
ACH-000318,0.047206853532
ACH-000319,-0.103407409451
ACH-000320,0.022446242172400002
ACH-000322,-0.040481921153800005
ACH-000323,-0.266146952793
ACH-000324,-0.0826360574713
ACH-000329,-0.0910540023962
ACH-000330,-0.13052020062300002
ACH-000331,-0.13767104558499998
ACH-000332,-0.06853959685449999
ACH-000334,-0.07734138010639999
