,USMG5 (84833)
ACH-000004,-0.28609316886999997
ACH-000007,-0.41177259851899994
ACH-000009,-0.224074734936
ACH-000011,-0.43384570776500003
ACH-000012,-0.279204325072
ACH-000013,-0.41751741337700005
ACH-000014,-0.23290897332600002
ACH-000015,-0.386135535938
ACH-000017,-0.147298164055
ACH-000018,-0.134495011482
ACH-000019,-0.373532694946
ACH-000021,-0.305633948097
ACH-000022,-0.261222670722
ACH-000025,-0.6042390030479999
ACH-000028,-0.219980449776
ACH-000030,-0.381251240168
ACH-000035,-0.168620549752
ACH-000036,-0.250050311978
ACH-000037,-0.280775822793
ACH-000039,-0.332741763217
ACH-000040,-0.22465510084600002
ACH-000041,-0.31823886051100003
ACH-000042,-0.35631986609800004
ACH-000045,-0.143056793074
ACH-000047,-0.385023684992
ACH-000052,-0.385866988804
ACH-000053,-0.324642459264
ACH-000054,-0.384289434467
ACH-000055,-0.205124993199
ACH-000060,-0.443463954273
ACH-000067,-0.372638533055
ACH-000070,-0.244530268431
ACH-000075,-0.32548685594500004
ACH-000078,-0.246853067192
ACH-000082,-0.29536130097
ACH-000085,-0.048423556508599995
ACH-000086,-0.295622938008
ACH-000087,-0.021541451126900004
ACH-000092,-0.310403317112
ACH-000095,-0.263509110391
ACH-000097,-0.382624802751
ACH-000098,-0.312904796559
ACH-000099,-0.30617781548
ACH-000108,-0.21698807523400002
ACH-000113,-0.289755997498
ACH-000115,-0.25136515462299996
ACH-000116,-0.335272903765
ACH-000118,-0.332390153482
ACH-000120,-0.0898824912657
ACH-000123,-0.351034554555
ACH-000127,-0.273445433119
ACH-000128,-0.17840342897
ACH-000132,-0.278079088908
ACH-000133,-0.164427600494
ACH-000137,-0.169369341699
ACH-000138,-0.267396343371
ACH-000142,-0.233110930955
ACH-000143,-0.298045226123
ACH-000146,-0.168651626567
ACH-000148,-0.282676364674
ACH-000150,-0.480302459674
ACH-000152,-0.310593667383
ACH-000153,-0.482991826216
ACH-000159,-0.34373162174000005
ACH-000160,-0.334642259754
ACH-000163,-0.330980827263
ACH-000167,-0.48291317083400004
ACH-000168,-0.34584798342699996
