,NT5C1B (93034)
ACH-000004,-0.0729515344949
ACH-000007,0.00420879742788
ACH-000009,0.16368589170700001
ACH-000011,0.235828120719
ACH-000012,0.18578250639000002
ACH-000013,0.261940357471
ACH-000014,0.00305252703858
ACH-000015,0.235365520757
ACH-000017,0.22808743506700002
ACH-000018,0.40153692443000005
ACH-000019,0.361119722819
ACH-000021,0.21234183793699998
ACH-000022,0.176586231975
ACH-000025,0.168403881446
ACH-000028,0.218980227593
ACH-000030,0.20811318589000002
ACH-000035,0.155897528836
ACH-000036,0.225544421539
ACH-000037,0.143600123179
ACH-000039,0.450818494284
ACH-000040,0.115539457493
ACH-000041,0.04718111948
ACH-000042,0.165851429015
ACH-000045,0.10522002418099999
ACH-000047,0.125886526223
ACH-000052,0.0469594258091
ACH-000053,0.187563147273
ACH-000054,0.100490288955
ACH-000055,0.23847797340399998
ACH-000060,0.272191718159
ACH-000067,0.14685130566
ACH-000070,0.00777071809624
ACH-000075,-0.013405732527700002
ACH-000078,0.158645768534
ACH-000082,0.228347772786
ACH-000085,0.14223400585999998
ACH-000086,0.19195399297000001
ACH-000087,0.0666099735843
ACH-000092,0.165307732453
ACH-000095,0.21323593158100002
ACH-000097,0.28612802028
ACH-000098,0.176828856775
ACH-000099,0.07091586660410001
ACH-000108,0.14654859300200002
ACH-000113,0.204264627339
ACH-000115,0.21297771997
ACH-000116,0.244250038131
ACH-000118,0.162328076465
ACH-000120,0.21709925001299998
ACH-000123,0.126908024277
ACH-000127,0.12978249458399999
ACH-000128,0.0321246394518
ACH-000132,0.241617562217
ACH-000133,0.24774655627300002
ACH-000137,0.101005441937
ACH-000138,0.170071549175
ACH-000142,0.145912705692
ACH-000143,0.0431620904806
ACH-000146,0.11336619441299998
ACH-000148,0.0958980175177
ACH-000150,0.217054849261
ACH-000152,0.18610065962900002
ACH-000153,0.21311265243900002
ACH-000159,0.231459502148
ACH-000160,0.165628230032
ACH-000163,0.04909278284659999
ACH-000167,0.014253996373900001
ACH-000168,0.391100715516
ACH-000169,0.301087028319
ACH-000178,0.190546570152
ACH-000182,0.171252267404
ACH-000183,0.08621330359360001
ACH-000188,0.292055180912
ACH-000189,0.0818847601737
ACH-000190,-0.0580255421839
ACH-000198,0.0175066744446
ACH-000204,0.291360917085
ACH-000206,0.0011936716665
ACH-000207,0.077894177388
ACH-000211,0.190945421771
ACH-000215,0.113289019485
ACH-000221,0.36726650735399996
ACH-000222,0.158702877288
ACH-000223,0.289582439245
ACH-000226,0.137663618808
ACH-000227,-0.007039718311010001
ACH-000228,0.211261255463
ACH-000231,0.20020014020500002
ACH-000232,0.219244143477
ACH-000233,0.164198803941
ACH-000234,0.22998007771600001
ACH-000235,0.11996543718599999
ACH-000237,0.175154016892
