,CWC22 (57703)
ACH-000004,-1.3175671014
ACH-000007,-1.39412909384
ACH-000009,-1.61441760205
ACH-000011,-1.08960590317
ACH-000012,-1.41319335684
ACH-000013,-1.5728680144799998
ACH-000014,-1.1955828719200001
ACH-000015,-1.1168590181
ACH-000017,-1.77093406759
ACH-000018,-1.36750573416
ACH-000019,-1.4693888429100002
ACH-000021,-1.16086407749
ACH-000022,-1.3433635976499998
ACH-000025,-1.3506710505300001
ACH-000028,-1.4696343799899998
ACH-000030,-1.10906733294
ACH-000035,-1.0937710577600002
ACH-000036,-1.4019308053200001
ACH-000037,-0.896288491356
ACH-000039,-1.50087475586
ACH-000040,-1.3636149503900001
ACH-000041,-1.27292403865
ACH-000042,-1.17638069745
ACH-000045,-1.20790728746
ACH-000047,-1.13182372197
ACH-000052,-1.54333075347
ACH-000053,-1.53429567251
ACH-000054,-1.1226592825900001
ACH-000055,-1.28317396628
ACH-000060,-1.17875493081
ACH-000067,-1.1193594980600001
ACH-000070,-1.54169388113
ACH-000075,-1.29176768946
ACH-000078,-1.3824794987600002
ACH-000082,-1.61764441092
ACH-000085,-1.213710888
ACH-000086,-1.3430252425600002
ACH-000087,-1.16666984498
ACH-000092,-1.37216634289
ACH-000095,-1.52923881821
ACH-000097,-1.50358373861
ACH-000098,-1.19405232562
ACH-000099,-1.6013423908700002
ACH-000108,-1.34200278146
ACH-000113,-1.48721994116
ACH-000115,-2.0026456117900002
ACH-000116,-1.1599812515799999
ACH-000118,-1.3053880632400001
ACH-000120,-1.50433877287
ACH-000123,-1.4410789574599998
ACH-000127,-1.7598283992099997
ACH-000128,-1.50352402891
ACH-000132,-1.31011390926
ACH-000133,-1.33213274546
ACH-000137,-1.4240493761200002
ACH-000138,-1.3509275545700001
ACH-000142,-1.6316205077200001
ACH-000143,-1.4140725592899999
ACH-000146,-1.2724819676299999
ACH-000148,-1.3013479745799998
ACH-000150,-0.966558025012
ACH-000152,-1.44569071216
ACH-000153,-1.17426344246
ACH-000159,-1.4177291051899998
ACH-000160,-1.49387612322
ACH-000163,-1.57952980982
ACH-000167,-1.9803387557499998
ACH-000168,-1.4287513294499998
ACH-000169,-1.07407221108
ACH-000178,-1.17167630614
ACH-000182,-1.18015687292
ACH-000183,-1.3010944403799998
ACH-000188,-1.3207211641
ACH-000189,-1.14572198352
ACH-000190,-1.43707384679
ACH-000198,-1.379946923
ACH-000204,-1.5920030563699998
ACH-000206,-0.994138266259
ACH-000207,-1.2346430603299998
ACH-000211,-1.41461503278
ACH-000215,-1.3898695340399998
ACH-000221,-1.2128172053200001
ACH-000222,-1.19818953936
ACH-000223,-1.44624816139
ACH-000226,-1.4714458253600002
ACH-000227,-1.62795659839
ACH-000228,-1.0402114625399999
ACH-000231,-1.3859190226700002
ACH-000232,-1.37721658738
ACH-000233,-1.66281273986
ACH-000234,-1.26079652607
ACH-000235,-1.19314804631
ACH-000237,-1.54408451902
ACH-000238,-1.5469502321899997
ACH-000243,-1.29411780577
ACH-000244,-1.58286029843
ACH-000246,-1.3912985632100001
ACH-000248,-1.49292761834
ACH-000250,-1.3959206133500002
ACH-000251,-1.32576987906
ACH-000253,-1.20411860508
ACH-000255,-1.2057484140899999
ACH-000256,-1.2880368515
ACH-000257,-1.4092447186100001
ACH-000258,-0.995282641415
ACH-000259,-1.1975732447299998
ACH-000260,-1.2369672968799998
ACH-000261,-1.20101488756
ACH-000262,-1.39848332096
ACH-000263,-1.6452123135299999
ACH-000264,-1.77120687237
ACH-000265,-1.34958109342
ACH-000266,-1.28973851475
ACH-000272,-1.2432455233600002
ACH-000273,-1.57941916612
ACH-000274,-1.3662160384200002
ACH-000277,-1.75357079595
ACH-000278,-0.798830916491
ACH-000279,-1.67620950811
ACH-000280,-1.61154301435
ACH-000281,-1.5176412119799998
ACH-000288,-1.4614919760799998
ACH-000291,-1.4006701775100001
ACH-000293,-1.01665780342
ACH-000294,-1.27184185503
ACH-000295,-1.15536126187
ACH-000296,-1.4957120074799999
ACH-000302,-1.50085403939
ACH-000304,-0.8334032804770001
ACH-000307,-1.19853687881
ACH-000308,-1.499212645
ACH-000310,-1.74709456993
ACH-000311,-1.13795964506
ACH-000312,-1.16698268779
ACH-000315,-1.0571599944299999
ACH-000316,-0.8549857189569999
ACH-000317,-1.12144674315
ACH-000318,-1.05987575799
ACH-000319,-1.2821911223
ACH-000320,-1.33075956827
ACH-000322,-1.08883600074
ACH-000323,-1.63240224634
ACH-000324,-1.44584380622
ACH-000329,-1.7520127439700002
ACH-000330,-1.19384218505
ACH-000331,-1.2260006261
ACH-000332,-1.2374244056
ACH-000334,-1.82446807215
ACH-000335,-1.27704196812
ACH-000336,-1.2695849817799998
ACH-000337,-1.16701761505
ACH-000339,-1.24639826054
ACH-000341,-1.5463637085
