,MOB3C (148932)
ACH-000004,-0.037536955833699995
ACH-000007,-0.28706490577
ACH-000009,-0.17810193473900002
ACH-000011,-0.07011048382289999
ACH-000012,-0.20137883247699997
ACH-000013,-0.309390817162
ACH-000014,-0.199044904727
ACH-000015,-0.199825821959
ACH-000017,-0.09587347450789999
ACH-000018,-0.11674179528100001
ACH-000019,-0.274275117568
ACH-000021,-0.07787814289910001
ACH-000022,0.172382236987
ACH-000025,-0.21867217454799998
ACH-000028,-0.186482649073
ACH-000030,-0.208091505841
ACH-000035,-0.07073824529239998
ACH-000036,-0.334461754449
ACH-000037,-0.34374159143
ACH-000039,-0.228103259602
ACH-000040,-0.18238126120700002
ACH-000041,-0.466090673886
ACH-000042,-0.0992413277292
ACH-000045,-0.216515583103
ACH-000047,-0.237838626388
ACH-000052,-0.326069822855
ACH-000053,-0.220727533143
ACH-000054,-0.157463328013
ACH-000055,-0.113251116841
ACH-000060,-0.310974608918
ACH-000067,-0.355758861157
ACH-000070,-0.175595482725
ACH-000075,-0.229471088992
ACH-000078,-0.247564403029
ACH-000082,-0.127562255492
ACH-000085,-0.368496581317
ACH-000086,-0.11687102405099999
ACH-000087,-0.49653513604599997
ACH-000092,-0.36068737238000004
ACH-000095,-0.10214572612400001
ACH-000097,-0.218775586658
ACH-000098,-0.278166679305
ACH-000099,-0.13796721012399998
ACH-000108,-0.23788930290600002
ACH-000113,-0.0348492950651
ACH-000115,-0.0278099367213
ACH-000116,-0.13034197317600002
ACH-000118,-0.173266126543
ACH-000120,-0.0221548843494
ACH-000123,0.0144337333696
ACH-000127,-0.274986363929
ACH-000128,-0.259484546506
ACH-000132,-0.279005803872
ACH-000133,-0.0373022566029
ACH-000137,-0.295333352582
ACH-000138,-0.0657144120257
ACH-000142,-0.08803187373940001
ACH-000143,-0.269026039013
ACH-000146,-0.03710398925569999
ACH-000148,-0.153266533558
ACH-000150,-0.300405304667
ACH-000152,-0.248665927646
ACH-000153,-0.15740587618899998
ACH-000159,-0.231500735659
ACH-000160,-0.22271388309700002
ACH-000163,-0.20012025323399998
ACH-000167,-5.88503170113e-05
ACH-000168,-0.356531783421
ACH-000169,-0.147966103564
ACH-000178,-0.310480200258
ACH-000182,0.0428159513165
ACH-000183,-0.19373080163400003
ACH-000188,-0.23827678416099998
ACH-000189,-0.240905076141
ACH-000190,-0.346196375357
ACH-000198,-0.129704829101
ACH-000204,-0.37915736755699997
ACH-000206,-0.264264318446
ACH-000207,0.032653513250700004
ACH-000211,-0.07870549326739999
ACH-000215,-0.31997741165300003
ACH-000221,-0.147033876718
ACH-000222,-0.09521090524350001
ACH-000223,-0.107100044935
ACH-000226,-0.175471208161
ACH-000227,0.186787627527
ACH-000228,-0.0852678802833
ACH-000231,-0.159224443721
ACH-000232,-0.19797493720400003
ACH-000233,-0.20915984823800002
ACH-000234,-0.30341243449099997
ACH-000235,-0.155365131537
ACH-000237,-0.217727770766
ACH-000238,-0.304189469701
ACH-000243,-0.13476316312699999
ACH-000244,-0.0477947766232
ACH-000246,-0.25715479938
ACH-000248,-0.0493155950634
ACH-000250,-0.132043629073
ACH-000251,-0.148947818728
