,POLR2I (5438)
ACH-000004,-1.8360609603799998
ACH-000007,-1.7568569070599998
ACH-000009,-2.01436639963
ACH-000011,-1.93814012898
ACH-000012,-1.68888393754
ACH-000013,-1.96693843545
ACH-000014,-1.8136275292299997
ACH-000015,-1.84767686818
ACH-000017,-1.7965121942200002
ACH-000018,-1.670308355
ACH-000019,-1.53532176851
ACH-000021,-1.8222433638900002
ACH-000022,-1.8704882204799997
ACH-000025,-1.6265372095700001
ACH-000028,-1.60124729628
ACH-000030,-1.97194999783
ACH-000035,-1.7288866663099998
ACH-000036,-1.7748660601900001
ACH-000037,-2.4205056755400003
ACH-000039,-1.95459143768
ACH-000040,-1.29832858421
ACH-000041,-1.9210305107799999
ACH-000042,-1.71666515212
ACH-000045,-2.05034144537
ACH-000047,-1.55963279307
ACH-000052,-1.76106887122
ACH-000053,-1.7271119283099996
ACH-000054,-1.8137978405900002
ACH-000055,-1.8991045266599997
ACH-000060,-1.7529340833000002
ACH-000067,-1.55912051929
ACH-000070,-1.73987900439
ACH-000075,-1.3981857566
ACH-000078,-2.1204831604299996
ACH-000082,-1.85135457271
ACH-000085,-1.77130912188
ACH-000086,-1.58656998472
ACH-000087,-1.76214095301
ACH-000092,-1.50578322864
ACH-000095,-1.88648829352
ACH-000097,-1.9725353319699999
ACH-000098,-1.68541899281
ACH-000099,-1.70613590007
ACH-000108,-1.80062566036
ACH-000113,-2.07650073823
ACH-000115,-1.6892373850799998
ACH-000116,-1.75840904534
ACH-000118,-1.8234442395900001
ACH-000120,-1.6553042448
ACH-000123,-1.9050426557900002
ACH-000127,-1.78557555035
ACH-000128,-1.52598681428
ACH-000132,-1.7812100194599998
ACH-000133,-1.58907115648
ACH-000137,-1.83385939973
ACH-000138,-1.93967394995
ACH-000142,-1.59538116416
ACH-000143,-1.6124044761399998
ACH-000146,-2.41379288589
ACH-000148,-1.6242722321
ACH-000150,-1.8026487819400001
ACH-000152,-1.5284573219100002
ACH-000153,-1.66827699859
ACH-000159,-1.6419115216100002
ACH-000160,-1.5344523400799999
ACH-000163,-1.8380609224000002
ACH-000167,-2.1448398230200003
ACH-000168,-2.21102652005
ACH-000169,-1.6786033563299998
ACH-000178,-1.8387337680400002
ACH-000182,-2.15464189426
ACH-000183,-1.7525311064900002
ACH-000188,-1.7214701993200001
ACH-000189,-1.24203415827
ACH-000190,-1.30290327306
ACH-000198,-1.8586802735599999
ACH-000204,-1.8573518732900003
ACH-000206,-2.1689480281
ACH-000207,-1.9803284081299999
ACH-000211,-1.65963268089
ACH-000215,-1.80473700746
ACH-000221,-1.7912267504400003
ACH-000222,-1.8945522082099997
ACH-000223,-1.8414679862799999
ACH-000226,-1.67996081151
ACH-000227,-2.24672571219
ACH-000228,-1.72190879178
ACH-000231,-1.76294482726
ACH-000232,-1.9401751947099999
ACH-000233,-1.8249805310599998
ACH-000234,-1.84348476905
ACH-000235,-1.83827684151
ACH-000237,-1.8126034385900003
ACH-000238,-1.4759327189899998
ACH-000243,-1.8197284799400002
ACH-000244,-1.8101049527200002
ACH-000246,-1.8659515345
ACH-000248,-1.42870939768
ACH-000250,-1.7945106876499999
ACH-000251,-1.66522894498
ACH-000253,-1.95873569248
ACH-000255,-1.55922406057
ACH-000256,-1.8761653458099996
ACH-000257,-2.1581990978400003
ACH-000258,-1.5120213229
ACH-000259,-1.95412975181
ACH-000260,-1.68339025493
ACH-000261,-1.87451186591
ACH-000262,-1.6457211280500001
ACH-000263,-2.10216937227
ACH-000264,-1.74270474033
ACH-000265,-1.8093905279900002
ACH-000266,-1.97226395568
ACH-000272,-1.54136468606
ACH-000273,-1.54516837752
ACH-000274,-1.7298321641999999
ACH-000277,-1.8261929451199999
ACH-000278,-1.78792360107
ACH-000279,-1.8755404115
ACH-000280,-1.77980873
ACH-000281,-1.86574261686
ACH-000288,-1.74443601398
ACH-000291,-1.64022870778
ACH-000293,-2.23612385258
ACH-000294,-2.33054833261
ACH-000295,-1.5579874922999999
ACH-000296,-1.7196140668200002
ACH-000302,-1.97269909447
ACH-000304,-1.6894945128
ACH-000307,-1.66486025141
ACH-000308,-1.6380221000000001
ACH-000310,-2.13419099777
ACH-000311,-2.01647950596
ACH-000312,-1.8435048683200002
ACH-000315,-1.58873138977
ACH-000316,-1.7514162355200003
ACH-000317,-1.52687168586
ACH-000318,-1.8328828469
ACH-000319,-1.4440876035499999
ACH-000320,-1.8796486974400002
ACH-000322,-1.7025554302
ACH-000323,-2.0788981690400004
ACH-000324,-1.57669512824
ACH-000329,-1.72511176687
ACH-000330,-1.8751827978
ACH-000331,-1.58820412208
ACH-000332,-1.7792158225499999
ACH-000334,-2.6883193420800002
ACH-000335,-1.8929561620400002
ACH-000336,-1.69139279281
ACH-000337,-1.85754127975
ACH-000339,-2.00459319526
ACH-000341,-2.20683609267
ACH-000348,-1.94525429375
ACH-000350,-2.2380668140599997
ACH-000352,-1.69547724306
ACH-000356,-1.8300987679499998
ACH-000361,-1.67170716126
ACH-000362,-2.03844579242
ACH-000363,-1.9697511170299997
ACH-000364,-1.73171986378
ACH-000365,-1.7367968052900002
ACH-000366,-1.8144193420200003
ACH-000368,-1.61792202877
ACH-000374,-1.4842254845899998
ACH-000375,-1.8817337806599999
ACH-000376,-1.64747167588
ACH-000381,-1.9542167741
ACH-000383,-2.09129803151
ACH-000387,-1.53734130351
ACH-000389,-1.3858731118599998
ACH-000390,-2.07792294414
ACH-000393,-1.8423994818599998
ACH-000395,-1.92233904491
ACH-000397,-1.9117076639700001
ACH-000401,-1.84927035073
ACH-000402,-2.04124322482
ACH-000403,-1.9798686067200002
ACH-000404,-1.70619422072
ACH-000406,-1.9683627430700001
ACH-000407,-1.5951216167700002
ACH-000408,-1.9420190998900002
ACH-000410,-1.85495931095
ACH-000411,-1.7155700223700001
ACH-000414,-1.9131236910299998
ACH-000415,-1.8234628501099999
ACH-000416,-1.5990863132100002
ACH-000420,-1.557227249
ACH-000421,-1.80269150479
ACH-000424,-1.54957101428
ACH-000425,-1.56632916898
ACH-000426,-2.8994260634400004
ACH-000427,-1.38986667053
ACH-000433,-1.76375502282
ACH-000436,-1.82857387847
ACH-000444,-1.7771902597999998
ACH-000445,-1.41865636914
ACH-000448,-1.65839035878
ACH-000450,-1.89628041349
ACH-000452,-1.56897490955
ACH-000454,-1.7152946878600002
ACH-000458,-1.7983142587799998
ACH-000459,-1.8618451755
ACH-000460,-1.8963330830900003
ACH-000461,-1.90492002146
ACH-000463,-1.48134108606
ACH-000464,-1.65463636371
ACH-000466,-2.1433466606200002
ACH-000467,-1.60158683383
ACH-000468,-2.13246248975
ACH-000469,-1.52659839881
ACH-000470,-2.09946484494
ACH-000471,-1.68728263726
ACH-000472,-2.46907829245
ACH-000473,-1.8480303431599998
ACH-000475,-1.9185332296700002
ACH-000476,-1.81659129321
ACH-000477,-1.65451420315
ACH-000480,-1.5130724415299999
ACH-000481,-1.72038595867
ACH-000483,-2.4830080141799997
ACH-000484,-2.1555949289500003
ACH-000485,-1.90182306075
ACH-000486,-1.8633020425599998
ACH-000487,-1.7916997189200001
ACH-000488,-1.8310080206700001
ACH-000490,-1.56956130129
ACH-000491,-2.34544689444
ACH-000495,-1.54868408044
ACH-000496,-1.91513660029
ACH-000499,-1.9112593070700001
ACH-000500,-1.76950782529
ACH-000502,-1.84758397407
ACH-000503,-1.34456781651
ACH-000505,-1.9877765938999998
ACH-000507,-1.7512828845800001
ACH-000510,-1.4896780737900002
ACH-000511,-1.70789949617
ACH-000512,-1.75939378042
ACH-000516,-1.9819181060799997
ACH-000517,-2.10735426128
ACH-000518,-1.8746789382900002
ACH-000520,-1.8505004634200002
ACH-000521,-1.7410307807499998
ACH-000522,-1.43291090402
ACH-000524,-1.9607731733200002
ACH-000527,-1.71777280944
ACH-000528,-1.72949093292
ACH-000537,-1.58454230257
ACH-000541,-2.0102614058
ACH-000542,-1.7405055404099998
ACH-000544,-1.63796818595
ACH-000545,-1.6907947352200001
ACH-000547,-2.08458950922
ACH-000548,-1.7191987758
ACH-000549,-1.7746277302200002
ACH-000550,-1.65033385693
ACH-000552,-1.71573555365
ACH-000556,-1.71524134902
ACH-000557,-2.03455355525
ACH-000570,-1.7497792473599998
ACH-000571,-1.9040635338900003
ACH-000573,-1.66906497554
ACH-000576,-1.8929842659599998
ACH-000580,-1.8545178228
ACH-000584,-1.83175031197
ACH-000585,-1.87906580283
ACH-000588,-1.88022251477
ACH-000589,-1.7928691840900002
ACH-000591,-1.5409420252300001
ACH-000593,-1.9252062198599997
ACH-000600,-1.87490806485
ACH-000601,-1.7944824861099997
ACH-000604,-1.66023414154
ACH-000605,-1.56318702629
ACH-000606,-1.45513741213
ACH-000608,-1.6844527815900001
ACH-000614,-1.46094828659
ACH-000616,-1.8983150286500001
ACH-000618,-1.9289445720599998
ACH-000619,-1.61891437852
ACH-000620,-1.6925264980799999
ACH-000621,-1.81075436563
ACH-000622,-1.84674811809
ACH-000623,-1.9550189895099999
ACH-000624,-1.9783799421400001
ACH-000627,-1.7774655648400002
ACH-000630,-1.52560959244
ACH-000632,-1.6650995465399998
ACH-000633,-1.9427967956
ACH-000637,-2.03983472254
ACH-000638,-1.89438766396
ACH-000646,-1.68221184143
ACH-000647,-1.67106882309
ACH-000648,-1.9294984057099998
ACH-000649,-1.82193051385
ACH-000651,-1.7858645667099997
ACH-000652,-1.7840459801599997
ACH-000653,-1.93011333748
ACH-000657,-1.9245996487900001
ACH-000658,-1.7163250065900002
ACH-000661,-1.9547203514400002
ACH-000662,-1.8336061839
ACH-000663,-1.8652562610799999
ACH-000665,-1.66220599444
ACH-000671,-1.8009243741299998
ACH-000673,-1.71491452704
