,PPM1M (132160)
ACH-000004,-0.210974059067
ACH-000007,-0.18139628978
ACH-000009,-0.0647693467978
ACH-000011,-0.209631032514
ACH-000012,-0.033785233270400006
ACH-000013,-0.0570465217997
ACH-000014,0.0767941339381
ACH-000015,-0.11140347645099999
ACH-000017,-0.34508424274599997
ACH-000018,-0.05154143097080001
ACH-000019,-0.376642411106
ACH-000021,-0.110390628561
ACH-000022,-0.08965563091739999
ACH-000025,-0.37825889129900003
ACH-000028,-0.0379587296716
ACH-000030,-0.294038881237
ACH-000035,-0.039974179539199996
ACH-000036,-0.179189119521
ACH-000037,-0.230734693837
ACH-000039,-0.108105148087
ACH-000040,-0.373966762501
ACH-000041,-0.0820516581421
ACH-000042,-0.21864710843600002
ACH-000045,-0.268149528237
ACH-000047,-0.125512299857
ACH-000052,-0.126755621522
ACH-000053,-0.100839568461
ACH-000054,-0.278743107584
ACH-000055,-0.21332115731100001
ACH-000060,-0.292760729868
ACH-000067,-0.314313010472
ACH-000070,-0.329322832764
ACH-000075,0.00367123217244
ACH-000078,0.14501221899800001
ACH-000082,-0.147095745399
ACH-000085,-0.21428681534299998
ACH-000086,-0.186363742722
ACH-000087,0.15356732169099999
ACH-000092,-0.176338934263
ACH-000095,-0.0555584895639
ACH-000097,-0.104255077371
ACH-000098,-0.282457600749
ACH-000099,-0.036950523274199995
ACH-000108,-0.21650938277399998
ACH-000113,-0.15560944355
ACH-000115,-0.101334049978
ACH-000116,-0.103080373532
ACH-000118,-0.16837523094300003
ACH-000120,-0.11426733510399999
ACH-000123,-0.0796990704709
ACH-000127,-0.147327677523
ACH-000128,-0.11661582748299999
ACH-000132,-0.20321525880600003
ACH-000133,-0.336944722029
ACH-000137,0.0308316580301
ACH-000138,-0.0467428798598
ACH-000142,-0.205341427788
ACH-000143,0.0751706284286
ACH-000146,-0.211620277879
ACH-000148,-0.0816265713142
ACH-000150,-0.360477256897
ACH-000152,-0.273920674657
ACH-000153,-0.0170165543334
ACH-000159,-0.340180223953
ACH-000160,-0.276747894958
ACH-000163,-0.292491117121
ACH-000167,-0.475587542332
ACH-000168,-0.223787299577
ACH-000169,-0.23208058277
ACH-000178,-0.07540008981589999
ACH-000182,-0.18428114560800002
ACH-000183,-0.0986695336896
ACH-000188,-0.16384880867999999
ACH-000189,0.0216086176027
ACH-000190,-0.108534701668
ACH-000198,-0.0258116190111
ACH-000204,0.00264138110967
ACH-000206,-0.282185170532
ACH-000207,-0.59993379526
ACH-000211,-0.285494846589
ACH-000215,-0.19575256330600002
ACH-000221,-0.0363991342122
ACH-000222,-0.0599263879856
ACH-000223,-0.125523231525
ACH-000226,-0.0243053270733
ACH-000227,-0.38965526486599994
ACH-000228,-0.30433338840199997
ACH-000231,-0.314494706697
ACH-000232,-0.102245941623
ACH-000233,-0.027931954911700002
ACH-000234,-0.202849096902
ACH-000235,-0.212017742097
ACH-000237,-0.303126058587
ACH-000238,-0.277467315653
ACH-000243,-0.127901433623
ACH-000244,-0.417330579987
ACH-000246,-0.11411310257000001
ACH-000248,-0.13204976621300002
ACH-000250,-0.13491615634600002
ACH-000251,0.0510859969863
ACH-000253,-0.233550131355
ACH-000255,-0.026920043848299997
ACH-000256,-0.205588898806
ACH-000257,0.133566000569
ACH-000258,-0.139102593544
ACH-000259,-0.136185168169
ACH-000260,-0.0551216119259
ACH-000261,-0.19129831348
ACH-000262,-0.207642575946
ACH-000263,-0.451932933212
ACH-000264,-0.26595334575199997
ACH-000265,-0.12236003426200001
ACH-000266,-0.178188857088
ACH-000272,-0.179395200929
ACH-000273,-0.161428650397
ACH-000274,-0.311008058874
ACH-000277,0.00944757438492
ACH-000278,-0.04560635397
ACH-000279,-0.118166492995
ACH-000280,-0.17810553343899999
ACH-000281,-0.236949503712
ACH-000288,-0.13050170213
ACH-000291,-0.127713867919
ACH-000293,-0.0498438829351
ACH-000294,-0.23881608239500002
ACH-000295,-0.21650770239
ACH-000296,-0.185569054898
ACH-000302,-0.23211169275199997
ACH-000304,-0.0621302025633
ACH-000307,-0.15788475084
ACH-000308,-0.157876436977
ACH-000310,-0.258410211896
ACH-000311,-0.243068150543
ACH-000312,-0.0097715717396
ACH-000315,0.0285457807144
ACH-000316,-0.183688569467
ACH-000317,0.0276924637316
ACH-000318,-0.167318896074
ACH-000319,-0.19027617600900001
ACH-000320,-0.0855844061231
ACH-000322,0.07752204165269999
ACH-000323,-0.15077124508099998
ACH-000324,-0.13461436065500001
ACH-000329,-0.219948219806
ACH-000330,-0.0823589587018
ACH-000331,-0.229652072074
ACH-000332,-0.14367455534
ACH-000334,-0.055753822603099995
ACH-000335,-0.0771567708138
ACH-000336,-0.307983959191
ACH-000337,-0.41631383179799997
ACH-000339,-0.155284728127
ACH-000341,-0.101936219242
ACH-000348,-0.155478217289
ACH-000350,0.0394913914929
ACH-000352,-0.19795076409
ACH-000356,-0.21284544821600002
ACH-000361,-0.00996999476874
ACH-000362,-0.04749084607890001
ACH-000363,-0.301425308674
ACH-000364,-0.24693743608000002
ACH-000365,-0.06714493957050001
ACH-000366,-0.11758149827
ACH-000368,-0.184105972703
ACH-000374,-0.205307085627
ACH-000375,-0.118039491108
ACH-000376,-0.281182377662
ACH-000381,-0.101249294368
ACH-000383,-0.22315828450599998
ACH-000387,-0.200727595924
ACH-000389,-0.10689329416099999
ACH-000390,-0.14568278069
ACH-000393,-0.0750919449897
ACH-000395,-0.0804958331433
ACH-000397,-0.262284657225
ACH-000401,-0.101745955914
ACH-000402,-0.648634033076
ACH-000403,-0.308410378643
ACH-000404,-0.01553085794
ACH-000406,-0.172489547863
ACH-000407,-0.171037053666
ACH-000408,-0.202410466819
ACH-000410,-0.30021212483000004
ACH-000411,-0.0440321443711
ACH-000414,-0.0922370228935
ACH-000415,-0.427970152594
ACH-000416,-0.164477817653
ACH-000420,-0.13441641558
ACH-000421,-0.141410512698
ACH-000424,-0.06347644797759999
ACH-000425,-0.178971339236
