,RSL24D1 (51187)
ACH-000004,-1.56157474962
ACH-000007,-1.7181699260599999
ACH-000009,-1.76930753815
ACH-000011,-1.5626877743799998
ACH-000012,-1.50796853169
ACH-000013,-1.58512959696
ACH-000014,-1.8140321656799998
ACH-000015,-1.47655340314
ACH-000017,-1.17299155553
ACH-000018,-1.2270295865
ACH-000019,-1.67172958374
ACH-000021,-1.41128343885
ACH-000022,-1.46529897551
ACH-000025,-1.7497357463900003
ACH-000028,-1.4565949512600003
ACH-000030,-1.5674138344600002
ACH-000035,-1.39820985518
ACH-000036,-1.64620525253
ACH-000037,-1.5709338122799998
ACH-000039,-1.485264318
ACH-000040,-1.5739511330200002
ACH-000041,-1.52483575438
ACH-000042,-1.34787437448
ACH-000045,-1.9336969995299997
ACH-000047,-1.46192426515
ACH-000052,-1.3960860880300001
ACH-000053,-1.4614197893
ACH-000054,-1.6464700351600001
ACH-000055,-1.21242997513
ACH-000060,-1.5668937871200002
ACH-000067,-1.61684702773
ACH-000070,-1.56519230805
ACH-000075,-1.52459422484
ACH-000078,-1.7383802376099997
ACH-000082,-1.65968633296
ACH-000085,-1.38610415268
ACH-000086,-1.55362550597
ACH-000087,-2.01087944858
ACH-000092,-1.63021889973
ACH-000095,-1.61364945146
ACH-000097,-1.5192704739700003
ACH-000098,-1.66254078669
ACH-000099,-1.45834173437
ACH-000108,-1.2206270966600001
ACH-000113,-1.51604488389
ACH-000115,-1.7365552481400002
ACH-000116,-1.5940962834799999
ACH-000118,-1.3902543054899998
ACH-000120,-1.4126298820200003
ACH-000123,-1.3714062659900002
ACH-000127,-1.63308656631
ACH-000128,-1.4785021917899999
ACH-000132,-1.5934656508
ACH-000133,-1.32307494595
ACH-000137,-1.36431222136
ACH-000138,-1.41979377965
ACH-000142,-1.55521051782
ACH-000143,-1.41100769053
ACH-000146,-1.7907259826400004
ACH-000148,-1.67990895412
ACH-000150,-1.57009475305
ACH-000152,-1.54200703169
ACH-000153,-1.21487921078
ACH-000159,-1.7790750490400002
ACH-000160,-1.5499012133899999
ACH-000163,-1.59106609299
ACH-000167,0.510922536352
ACH-000168,-1.7275200016699999
ACH-000169,-1.6334071023199999
ACH-000178,-1.5268845910799997
ACH-000182,-1.77761278125
ACH-000183,-1.61147619966
ACH-000188,-1.5685739106099998
ACH-000189,-1.5510968006
ACH-000190,-1.78055708083
ACH-000198,-1.63650624804
ACH-000204,-1.6450490132299997
ACH-000206,-1.45922464601
ACH-000207,-1.13873815945
ACH-000211,-1.61764688938
ACH-000215,-1.75485324724
ACH-000221,-1.51196349747
ACH-000222,-1.2909271309600001
ACH-000223,-1.55523538958
ACH-000226,-1.6230790825299999
ACH-000227,-2.07656369095
ACH-000228,-1.35221054183
ACH-000231,-1.4593853369
ACH-000232,-1.68313798843
ACH-000233,-1.7160715047100001
ACH-000234,-1.7297496336900002
ACH-000235,-1.46493282438
ACH-000237,-1.6178275471599999
ACH-000238,-1.5371823901800001
ACH-000243,-1.4670289531099998
ACH-000244,-1.84810520778
ACH-000246,-1.50996696272
ACH-000248,-1.4462270260499999
ACH-000250,-1.6360154234600002
ACH-000251,-1.58096480574
ACH-000253,-1.6836877671500001
ACH-000255,-1.5571717980200002
ACH-000256,-1.63718694348
ACH-000257,-1.88526517164
ACH-000258,-1.70201771025
ACH-000259,-1.54184482059
ACH-000260,-1.36534128895
ACH-000261,-1.58239016814
ACH-000262,-1.5285732829799998
ACH-000263,-2.06198134318
ACH-000264,-1.53700952877
ACH-000265,-1.54880853164
ACH-000266,-1.45181534333
ACH-000272,-1.6937260713
ACH-000273,-1.47144980597
ACH-000274,-1.82097479176
ACH-000277,-1.43194281289
ACH-000278,-1.6013119038199999
ACH-000279,-1.7828699669699999
ACH-000280,-1.4619133131400002
ACH-000281,-1.6863256631
ACH-000288,-1.8476317236500002
ACH-000291,-1.4051490627
ACH-000293,-1.6138025610799998
ACH-000294,-1.4886089033399998
ACH-000295,-1.24895957345
ACH-000296,-1.5234752902700002
ACH-000302,-1.77890330073
ACH-000304,-1.7236642474400001
ACH-000307,-1.43614239903
ACH-000308,-1.49965371231
ACH-000310,-1.5938706393000002
ACH-000311,-1.5748511103799998
ACH-000312,-1.41819707018
ACH-000315,-1.1418666333399998
ACH-000316,-1.5392698008399999
ACH-000317,-1.20283292232
ACH-000318,-1.5228170417700002
ACH-000319,-1.2765143067
ACH-000320,-1.16480767638
ACH-000322,-1.55160642715
ACH-000323,-1.24194088372
ACH-000324,-1.5054579848899998
ACH-000329,-1.5219552783599999
ACH-000330,-1.2852820952500001
ACH-000331,-1.4476195786200001
ACH-000332,-1.4399612516100002
ACH-000334,-2.05110711313
ACH-000335,-1.6688349753
ACH-000336,-1.65177379458
ACH-000337,-1.36557638653
ACH-000339,-1.5610472728100002
ACH-000341,-1.7525100265
ACH-000348,-1.5072288578600002
ACH-000350,-1.5347160561000002
ACH-000352,-1.42959984944
ACH-000356,-1.6646603480700002
ACH-000361,-1.4318461501
ACH-000362,-1.58152792359
ACH-000363,-1.62357950921
ACH-000364,-1.56644548644
ACH-000365,-1.46343534629
ACH-000366,-1.7428363726499998
ACH-000368,-1.39896455664
ACH-000374,-1.5005510748100002
ACH-000375,-1.57145499534
ACH-000376,-1.42331825889
ACH-000381,-1.45924014781
ACH-000383,-1.8648197738999999
ACH-000387,-1.5023939685699998
ACH-000389,-1.5682628089500001
ACH-000390,-1.6717387771
ACH-000393,-1.60291703012
ACH-000395,-1.7339866280400003
ACH-000397,-1.5367990103100002
ACH-000401,-1.5821857677000002
ACH-000402,-1.6679566198500002
ACH-000403,-1.7802822505200002
ACH-000404,-1.8671382473299998
ACH-000406,-1.39981261068
ACH-000407,-1.5608498479100001
ACH-000408,-1.5196768127899998
ACH-000410,-1.27452198643
ACH-000411,-1.60632781014
ACH-000414,-1.4162010644299998
ACH-000415,-1.4774813234900002
ACH-000416,-1.48248223128
ACH-000420,-1.50029014505
