,RTEL1 (51750)
ACH-000004,-0.845629401437
ACH-000007,-0.461613757558
ACH-000009,-0.715681647825
ACH-000011,-0.649404811033
ACH-000012,-0.553837039053
ACH-000013,-0.648224768083
ACH-000014,-0.30323434144699996
ACH-000015,-0.507745170262
ACH-000017,-0.24643476442899998
ACH-000018,-0.478977294459
ACH-000019,-0.328276725228
ACH-000021,-0.493310379921
ACH-000022,-0.389650654628
ACH-000025,-0.697484662183
ACH-000028,-0.333509053057
ACH-000030,-0.28469935614
ACH-000035,-0.6663743989459999
ACH-000036,-0.583722427283
ACH-000037,-0.420633568636
ACH-000039,-0.9181187305959999
ACH-000040,-0.493327491959
ACH-000041,-0.41127401410400005
ACH-000042,-0.593463903621
ACH-000045,-0.621176375416
ACH-000047,-0.7044912885469999
ACH-000052,-0.747762579807
ACH-000053,-0.33196010888599997
ACH-000054,-0.467278965246
ACH-000055,-0.546870665171
ACH-000060,-0.752642870256
ACH-000067,-0.739544073915
ACH-000070,-0.78476303748
ACH-000075,-0.41638180782
ACH-000078,-0.5595975344740001
ACH-000082,-0.59329390016
ACH-000085,-0.450605343606
ACH-000086,-0.8649396281880001
ACH-000087,-0.69270985147
ACH-000092,-0.863078393684
ACH-000095,-0.900485669614
ACH-000097,-0.431475057269
ACH-000098,-0.447951022249
ACH-000099,-0.8100797885609999
ACH-000108,-0.88852245381
ACH-000113,-0.528435712455
ACH-000115,-0.513549255951
ACH-000116,-0.41088217537
ACH-000118,-0.542743071711
ACH-000120,-0.862732344263
ACH-000123,-0.598782898863
ACH-000127,-0.36949798632299996
ACH-000128,-0.392621700881
ACH-000132,-0.224021805838
ACH-000133,-0.870430517376
ACH-000137,-0.607292523931
ACH-000138,-0.559346349099
ACH-000142,-0.669357697487
ACH-000143,-0.718500385968
ACH-000146,-0.801886515955
ACH-000148,-0.723168663641
ACH-000150,-0.92279103169
ACH-000152,-0.710422587528
ACH-000153,-0.614146486231
ACH-000159,-0.9313891867190001
ACH-000160,-0.646149220245
ACH-000163,-0.781396730795
ACH-000167,-0.688407727877
ACH-000168,-0.651845846544
ACH-000169,-0.423565686265
ACH-000178,-0.347589746694
ACH-000182,-0.500738899192
ACH-000183,-0.518252823894
ACH-000188,-0.589763829817
ACH-000189,-1.01867250748
ACH-000190,-0.889794613986
ACH-000198,-0.805081510186
ACH-000204,-0.48655389574100005
ACH-000206,-0.698319133019
ACH-000207,-0.548105047638
ACH-000211,-1.0307274861799998
ACH-000215,-0.742533124684
ACH-000221,-0.6559045542
ACH-000222,-0.33336194759
ACH-000223,-0.638593157892
ACH-000226,-0.838978949185
ACH-000227,-0.9921844189569999
ACH-000228,-0.771293915071
ACH-000231,-0.678291984731
ACH-000232,-0.519278104466
ACH-000233,-0.444666264402
ACH-000234,-0.677671828811
ACH-000235,-0.482002029429
ACH-000237,-0.7812347561
ACH-000238,-0.719194368711
ACH-000243,-0.307914130754
ACH-000244,-0.5298648407959999
ACH-000246,-0.9789503348209999
ACH-000248,-0.136689781834
ACH-000250,-0.910067778184
ACH-000251,-0.743465820897
ACH-000253,-0.381077391677
ACH-000255,-0.36060313929300003
ACH-000256,-0.47746714435099996
ACH-000257,-0.661146325801
ACH-000258,-0.42824801213200003
ACH-000259,-0.553012400604
ACH-000260,-0.605853668262
ACH-000261,-0.683994085643
ACH-000262,-0.616502929308
ACH-000263,-0.5316278867700001
ACH-000264,-0.533720621314
ACH-000265,-0.499258503967
ACH-000266,-0.840922627613
ACH-000272,-0.514926094927
ACH-000273,-0.5090490012569999
ACH-000274,-0.443671048667
ACH-000277,-0.418731222666
ACH-000278,-0.736176248496
ACH-000279,-0.621382584363
ACH-000280,-0.500804950828
ACH-000281,-0.6869366605089999
ACH-000288,-0.596733065272
ACH-000291,-0.30037438612100004
ACH-000293,-0.5614518898040001
ACH-000294,-0.482405020357
ACH-000295,-0.328505682663
ACH-000296,-0.879872900996
ACH-000302,-0.766031882234
ACH-000304,-0.44598086645900004
ACH-000307,-0.5318665643289999
ACH-000308,-0.555593599747
ACH-000310,-0.7315687991850001
ACH-000311,-0.519341708676
ACH-000312,-0.676346816379
ACH-000315,-0.781085134164
ACH-000316,-0.6765733617899999
ACH-000317,-0.30344736430799996
ACH-000318,-0.682173012277
ACH-000319,-0.35561951967200006
ACH-000320,-0.398578509402
ACH-000322,-0.532375108873
ACH-000323,-0.596560613521
ACH-000324,-0.595739185099
ACH-000329,-0.8578194474840001
ACH-000330,-0.168769836214
ACH-000331,-0.776509068553
ACH-000332,-0.305127807528
ACH-000334,-0.922734373946
ACH-000335,-0.697885791683
ACH-000336,-0.534809291636
ACH-000337,-0.8813197800799999
ACH-000339,-0.701434198953
ACH-000341,-0.62811908983
ACH-000348,-0.47887879840899994
ACH-000350,-0.268454474694
ACH-000352,-0.28782675109
ACH-000356,-0.753533068662
ACH-000361,-0.329037772044
ACH-000362,-0.7185260280269999
ACH-000363,-0.376591578068
ACH-000364,-0.587851400147
ACH-000365,-0.70654401894
ACH-000366,-0.7581673580030001
ACH-000368,-0.569018199553
ACH-000374,-0.248592128065
ACH-000375,-0.9604563615970001
ACH-000376,-0.678143132684
ACH-000381,-0.48165355101499996
ACH-000383,-0.49929147320699996
ACH-000387,-0.659540482917
ACH-000389,-0.24022739489599998
ACH-000390,-0.280644627308
ACH-000393,-0.492798439428
ACH-000395,-0.137992501759
ACH-000397,-0.7423776306990001
ACH-000401,-0.6860641775309999
ACH-000402,-0.264754163813
ACH-000403,-0.41546221040700004
ACH-000404,-1.11238110579
ACH-000406,-0.431082290946
ACH-000407,-0.579602001726
ACH-000408,-0.470969518329
ACH-000410,-0.38576918553499995
ACH-000411,-0.670826714922
ACH-000414,-0.293090904907
ACH-000415,-0.7163370420630001
ACH-000416,-0.729657558582
ACH-000420,-0.5210146397259999
ACH-000421,-0.7816875116159999
ACH-000424,-0.670372896941
ACH-000425,-0.300858515455
ACH-000426,-0.382102840366
