,LPA (4018)
ACH-000004,-0.409515142797
ACH-000007,-0.7541813722030001
ACH-000009,-0.586905399626
ACH-000011,-0.623427179415
ACH-000012,-0.32687299604200004
ACH-000013,-0.446398521297
ACH-000014,-0.342050653658
ACH-000015,-0.39784905922499997
ACH-000017,-0.595212845098
ACH-000018,-0.512960003092
ACH-000019,-0.6500983330300001
ACH-000021,-0.943079326214
ACH-000022,-0.405191183675
ACH-000025,-0.521286731648
ACH-000028,-0.288431574647
ACH-000030,-0.48799722677599994
ACH-000035,-0.214374985487
ACH-000036,-0.49137769274899995
ACH-000037,-0.35912539580700004
ACH-000039,-0.51643038183
ACH-000040,-0.6492199199840001
ACH-000041,-0.296355148248
ACH-000042,-0.541882790538
ACH-000045,-0.635765770338
ACH-000047,-0.440420468173
ACH-000052,-0.38602938681599996
ACH-000053,-0.41328331258100004
ACH-000054,-0.7751163810930001
ACH-000055,-0.23023574485399997
ACH-000060,-0.290852497276
ACH-000067,-0.605001156479
ACH-000070,-0.442005367351
ACH-000075,-0.536822320297
ACH-000078,-0.7926036034489999
ACH-000082,-0.700929727352
ACH-000085,-0.571899296947
ACH-000086,-0.420239538976
ACH-000087,-0.6455377697670001
ACH-000092,-0.584341136214
ACH-000095,-0.861635586656
ACH-000097,-0.610715838079
ACH-000098,-0.49229410153700004
ACH-000099,-0.661730253592
ACH-000108,-0.575507337394
ACH-000113,-0.605706420432
ACH-000115,-0.417063318464
ACH-000116,-0.510803931003
ACH-000118,-0.402647329831
ACH-000120,-0.471958024172
ACH-000123,-0.444577418113
ACH-000127,-0.659754136296
ACH-000128,-0.61792311441
ACH-000132,-0.669052385818
ACH-000133,-0.43720380980499995
ACH-000137,-0.514135442064
ACH-000138,-0.51847344447
ACH-000142,-0.591098704484
ACH-000143,-0.559092495097
ACH-000146,-0.6428874706459999
ACH-000148,-0.5614064944899999
ACH-000150,-0.643732179806
ACH-000152,-0.513156551281
ACH-000153,-0.408441677095
ACH-000159,-0.680007948562
ACH-000160,-0.34569934584399997
ACH-000163,-0.413561168015
ACH-000167,-0.897152885883
ACH-000168,-0.559713290759
ACH-000169,-0.670039339607
ACH-000178,-0.524838398213
ACH-000182,-0.512893174981
ACH-000183,-0.30155057844
ACH-000188,-0.647014294062
ACH-000189,-0.628242853675
ACH-000190,-0.395174102087
ACH-000198,-0.554673552915
ACH-000204,-0.20883856087699998
ACH-000206,-0.91963319801
ACH-000207,-0.360775057021
ACH-000211,-0.662814822982
ACH-000215,-0.635423308723
ACH-000221,-0.298099071041
ACH-000222,-0.240662884683
ACH-000223,-0.5194966982029999
ACH-000226,-0.39768608769100006
ACH-000227,-0.751090131242
ACH-000228,-0.389630675289
ACH-000231,-0.429411013584
ACH-000232,-0.511436638886
ACH-000233,-0.490474633296
ACH-000234,-0.646103445353
ACH-000235,-0.44521123790100003
ACH-000237,-0.847660953403
ACH-000238,-0.472249015431
ACH-000243,-0.433649920819
ACH-000244,-0.543224455193
ACH-000246,-0.787197016903
ACH-000248,-0.5947169664540001
ACH-000250,-0.929693530774
ACH-000251,-0.980064930913
ACH-000253,-0.585203114167
ACH-000255,-0.43035919763999997
ACH-000256,-0.654221455209
ACH-000257,-0.227968021653
ACH-000258,-0.389992879525
ACH-000259,-0.519305047391
ACH-000260,-0.479932618323
ACH-000261,-0.557654545475
ACH-000262,-0.629714111696
ACH-000263,-0.5207692794659999
ACH-000264,-0.394667143215
ACH-000265,-0.282174452252
ACH-000266,-0.578064539557
ACH-000272,-0.716787451462
ACH-000273,-0.665186055716
ACH-000274,-0.604613888521
ACH-000277,-0.6899106500609999
ACH-000278,-0.736718438284
ACH-000279,-0.49646340216000007
ACH-000280,-0.5632614353100001
ACH-000281,-0.36566368398500004
ACH-000288,-0.553603365406
ACH-000291,-0.516825116092
ACH-000293,-0.208308869151
ACH-000294,-0.467148591957
ACH-000295,-0.7262594648240001
ACH-000296,-0.633205527089
ACH-000302,-0.377698383898
ACH-000304,-0.8941555246709999
ACH-000307,-0.500539465523
ACH-000308,-0.42291646279600004
ACH-000310,-0.856557089207
ACH-000311,-0.500432527799
ACH-000312,-0.449643313608
ACH-000315,-0.27577966735599996
ACH-000316,-0.468967845247
ACH-000317,-0.718841759759
ACH-000318,-0.495188577614
ACH-000319,-0.564595912185
ACH-000320,-0.525331805886
ACH-000322,-0.563106880844
ACH-000323,-0.38874298674900004
ACH-000324,-0.8752762285600001
ACH-000329,-0.6757972266429999
ACH-000330,-0.593020893541
ACH-000331,-0.631239439492
ACH-000332,-0.693992540437
ACH-000334,-0.680283872704
ACH-000335,-0.5005003471989999
ACH-000336,-0.838516514869
ACH-000337,-0.6793181844089999
ACH-000339,-0.392176409269
ACH-000341,-0.44168456935199996
ACH-000348,-0.606368406703
ACH-000350,-0.470560263494
ACH-000352,-0.438451140777
ACH-000356,-0.446187195458
ACH-000361,-0.52253325049
ACH-000362,-0.654002387356
ACH-000363,-0.5230684885710001
ACH-000364,-0.7926994276010001
ACH-000365,-0.462745383081
