,FDXR (2232)
ACH-000004,-0.496144290126
ACH-000007,-0.872802759692
ACH-000009,-0.755685660113
ACH-000011,-0.741496271038
ACH-000012,-0.780655074126
ACH-000013,-0.739621696294
ACH-000014,-1.07194232346
ACH-000015,-0.772575417905
ACH-000017,-0.465373807831
ACH-000018,-0.928887716882
ACH-000019,-0.836620921779
ACH-000021,-0.843526604532
ACH-000022,-0.765552787727
ACH-000025,-1.24502008615
ACH-000028,-0.9161502427949999
ACH-000030,-1.1199978161700002
ACH-000035,-1.20384272885
ACH-000036,-1.04493489106
ACH-000037,-0.982195499316
ACH-000039,-0.857102930063
ACH-000040,-0.873795184525
ACH-000041,-0.843593110684
ACH-000042,-0.786448459339
ACH-000045,-0.8434065462070001
ACH-000047,-0.843317515769
ACH-000052,-0.672974918469
ACH-000053,-0.571590484941
ACH-000054,-0.47730025807899995
ACH-000055,-1.0338726750700002
ACH-000060,-1.05877421629
ACH-000067,-1.04029680929
ACH-000070,-0.9959028282200001
ACH-000075,-0.647174001766
ACH-000078,-0.908388451186
ACH-000082,-0.909512334253
ACH-000085,-0.6113263124239999
ACH-000086,-1.21982175731
ACH-000087,-0.983099475388
ACH-000092,-0.785560894871
ACH-000095,-0.252471053187
ACH-000097,-0.474774469904
ACH-000098,-0.983292911908
ACH-000099,-0.92062786206
ACH-000108,-0.7401456568610001
ACH-000113,-0.9804879124439999
ACH-000115,-0.8765082845479999
ACH-000116,-0.5539559435760001
ACH-000118,-0.9178872151430001
ACH-000120,-1.0763876964799999
ACH-000123,-0.709739381213
ACH-000127,-0.915009024446
ACH-000128,-0.74664921433
ACH-000132,-1.26499100417
ACH-000133,-1.45205441301
ACH-000137,-0.8848170377519999
ACH-000138,-1.18214536791
ACH-000142,-1.21285607162
ACH-000143,-0.9419843549
ACH-000146,-0.544000447445
ACH-000148,-1.05832561704
ACH-000150,-1.2057540842
ACH-000152,-0.932188021042
ACH-000153,-0.516248129252
ACH-000159,-0.53341021796
ACH-000160,-0.5192836472860001
ACH-000163,-1.17851847932
ACH-000167,-0.6571218268419999
ACH-000168,-0.5000432638369999
ACH-000169,-0.909514294707
ACH-000178,-1.00328294065
ACH-000182,-0.40593468244
ACH-000183,-0.65749414024
ACH-000188,-1.19940274862
ACH-000189,-1.45603911586
ACH-000190,-1.51849607777
ACH-000198,-0.823348756658
ACH-000204,-1.00571950363
ACH-000206,-0.660142503716
ACH-000207,-1.4071057824700002
ACH-000211,-0.940848263098
ACH-000215,-1.16088646089
ACH-000221,-1.27214901655
ACH-000222,-0.998162593354
ACH-000223,-0.8153950044570001
ACH-000226,-0.890420770767
ACH-000227,-0.986472949619
ACH-000228,-1.0527540128
ACH-000231,-1.1838988642200001
ACH-000232,-0.9113176269750001
ACH-000233,-0.542182943055
ACH-000234,-0.537377314899
ACH-000235,-0.5675557028429999
ACH-000237,-1.3428344027
ACH-000238,-1.54396615127
ACH-000243,-1.13469614927
ACH-000244,-1.00012031369
ACH-000246,-0.68961944205
ACH-000248,-0.9511065994779999
ACH-000250,-1.15553759313
ACH-000251,-1.3563131658200003
ACH-000253,-0.562207192395
