,CCT6A (908)
ACH-000004,-1.07678396513
ACH-000007,-1.00637269385
ACH-000009,-1.02552453652
ACH-000011,-0.580723839067
ACH-000012,-0.33275269945
ACH-000013,-0.977294923406
ACH-000014,-0.982129394822
ACH-000015,-0.9868043124410001
ACH-000017,-0.697837434992
ACH-000018,-1.1253427928200002
ACH-000019,-1.0652495172499998
ACH-000021,-0.83002762052
ACH-000022,-0.814171126122
ACH-000025,-0.907740947634
ACH-000028,-0.90966848412
ACH-000030,-0.582288761052
ACH-000035,-0.789098529482
ACH-000036,-0.84083901029
ACH-000037,-0.855093645922
ACH-000039,-0.9169134806329999
ACH-000040,-0.9561204059489999
ACH-000041,-0.977535724405
ACH-000042,-0.877366997656
ACH-000045,-0.880335241338
ACH-000047,-0.646821768611
ACH-000052,-0.9674304387479999
ACH-000053,-0.971900935113
ACH-000054,-0.962572745028
ACH-000055,-0.9571766979459999
ACH-000060,-0.748019146514
ACH-000067,-1.02824064303
ACH-000070,-1.01316596449
ACH-000075,-1.1250178341200001
ACH-000078,-0.8075799516399998
ACH-000082,-1.15624140375
ACH-000085,-1.1130517850200001
ACH-000086,-0.7129620051000001
ACH-000087,-0.9285501671449999
ACH-000092,-1.17891161126
ACH-000095,-1.0571510791
ACH-000097,-1.07167355732
ACH-000098,-0.928191405683
ACH-000099,-0.828585293788
ACH-000108,-0.7383626660699999
ACH-000113,-0.9851343416089999
ACH-000115,-1.2704004503200002
ACH-000116,-0.92617783713
ACH-000118,-0.733658613039
ACH-000120,-0.9032588857770001
ACH-000123,-0.754509800016
ACH-000127,-1.20019632002
ACH-000128,-1.34586189481
ACH-000132,-1.1343059204700001
ACH-000133,-1.02009382586
ACH-000137,-0.8310008766500001
ACH-000138,-0.8126049156440001
ACH-000142,-0.635032343471
ACH-000143,-0.973117067945
ACH-000146,-0.97360968927
ACH-000148,-1.1255626811200001
ACH-000150,-0.7599861630050001
ACH-000152,-1.2376261073000001
ACH-000153,-1.25589644858
ACH-000159,-1.0780974892200001
ACH-000160,-1.1570792589799999
ACH-000163,-0.921609691444
ACH-000167,-1.5890457574
ACH-000168,-0.912327231807
ACH-000169,-0.679733267745
ACH-000178,-0.981409782048
ACH-000182,-0.8376380127330001
ACH-000183,-0.818044331998
ACH-000188,-0.93599439855
ACH-000189,-0.873860897255
ACH-000190,-1.2628057897
ACH-000198,-0.9862808024200002
ACH-000204,-0.832850779595
ACH-000206,-1.0781721844
ACH-000207,-0.8853586167280001
ACH-000211,-1.01477874966
ACH-000215,-1.0
ACH-000221,-0.845586276655
ACH-000222,-0.79889569896
ACH-000223,-1.0826369736700001
ACH-000226,-0.783603917137
ACH-000227,-1.1075345106
ACH-000228,-1.11972954143
ACH-000231,-1.0450696992200001
ACH-000232,-0.971573666135
ACH-000233,-0.89386777425
ACH-000234,-0.892870093882
ACH-000235,-0.8712828883589999
ACH-000237,-1.10916526395
ACH-000238,-0.7196354130329999
ACH-000243,-0.804107483206
ACH-000244,-1.4713846236800001
ACH-000246,-0.989478273254
ACH-000248,-0.629033614486
ACH-000250,-0.849635840951
ACH-000251,-0.61080357077
ACH-000253,-0.9844137393279999
ACH-000255,-1.07148725206
ACH-000256,-1.0325985132
ACH-000257,-0.827001415405
