,NACA (4666)
ACH-000004,-1.22704214248
ACH-000007,-1.34510830838
ACH-000009,-1.6478370776499998
ACH-000011,-1.6400038157299999
ACH-000012,-1.55949325773
ACH-000013,-1.4162299768900002
ACH-000014,-1.29143614429
ACH-000015,-1.4282810166799997
ACH-000017,-1.01635504257
ACH-000018,-1.3972185123700003
ACH-000019,-1.5849035536000002
ACH-000021,-1.2580991583
ACH-000022,-1.5350452013299998
ACH-000025,-1.32948544725
ACH-000028,-1.55226743597
ACH-000030,-1.28065636968
ACH-000035,-1.27419163183
ACH-000036,-1.6110442340600002
ACH-000037,-1.84992305181
ACH-000039,-1.52028527651
ACH-000040,-1.27332923787
ACH-000041,-1.2071392184899998
ACH-000042,-1.6602265136399998
ACH-000045,-1.5621510439200001
ACH-000047,-0.9883390543739999
ACH-000052,-1.24102649964
ACH-000053,-1.24105635678
ACH-000054,-1.4689125255200002
ACH-000055,-1.11336965966
ACH-000060,-1.24652028554
ACH-000067,-1.20747477264
ACH-000070,-1.4503275146
ACH-000075,-1.44344762955
ACH-000078,-1.38992679967
ACH-000082,-0.9852347819399999
ACH-000085,-1.06513618642
ACH-000086,-1.3432189511000001
ACH-000087,-1.30295614187
ACH-000092,-1.3757046166299998
ACH-000095,-1.59970559432
ACH-000097,-1.59069035227
ACH-000098,-1.45268331683
ACH-000099,-1.45520009954
ACH-000108,-1.50382491889
ACH-000113,-1.24216090067
ACH-000115,-1.3397561391700001
ACH-000116,-1.2937941726100002
ACH-000118,-1.36781959144
ACH-000120,-1.23556043677
ACH-000123,-1.2883245047399998
ACH-000127,-1.4513482907
ACH-000128,-1.33519389797
ACH-000132,-1.35151600588
ACH-000133,-1.5133033665900002
ACH-000137,-1.10000324875
ACH-000138,-1.6624480200100002
ACH-000142,-1.3583332603100002
ACH-000143,-1.17274860109
ACH-000146,-1.27628224193
ACH-000148,-1.51271877496
ACH-000150,-1.50944775118
ACH-000152,-1.2894697394299999
ACH-000153,-1.41384700757
ACH-000159,-1.29367119131
ACH-000160,-0.991376783573
ACH-000163,-1.4289620661200002
ACH-000167,-1.3105738302
ACH-000168,-1.10304556009
ACH-000169,-1.12769532955
ACH-000178,-1.5004549715600002
ACH-000182,-1.12208853242
ACH-000183,-1.2349222532100002
ACH-000188,-1.38008589499
ACH-000189,-0.90671384683
ACH-000190,-1.20695517182
ACH-000198,-1.33335267998
ACH-000204,-1.3480349123
ACH-000206,-1.21817238565
ACH-000207,-1.17345835125
ACH-000211,-1.38761997195
ACH-000215,-1.51387792409
ACH-000221,-1.2591340607200001
ACH-000222,-1.8294493075599998
ACH-000223,-1.45111774533
ACH-000226,-1.60920383745
ACH-000227,-1.2241642692399999
ACH-000228,-1.4934436484399998
ACH-000231,-1.2560695856200002
