,CHAMP1 (283489)
ACH-000004,-0.335018280382
ACH-000007,-0.43675528762599997
ACH-000009,-0.11361961868699999
ACH-000011,-0.302982893701
ACH-000012,-0.33376914556299997
ACH-000013,-0.329526228215
ACH-000014,-0.147793338022
ACH-000015,-0.5226121244699999
ACH-000017,-0.347596386307
ACH-000018,-0.44742663794299997
ACH-000019,0.12402642421299999
ACH-000021,-0.13239818537
ACH-000022,-0.232465537076
ACH-000025,0.0692900726608
ACH-000028,-0.236863530299
ACH-000030,-0.18509576346700002
ACH-000035,-0.0109665131033
ACH-000036,-0.39975734717699996
ACH-000037,-0.320932056309
ACH-000039,-0.116151274789
ACH-000040,-0.15159561783
ACH-000041,-0.4778030672
ACH-000042,-0.333502778148
ACH-000045,-0.07794553139430001
ACH-000047,-0.33162451679099997
ACH-000052,-0.23658642408799999
ACH-000053,-0.119712524592
ACH-000054,-0.287667342287
ACH-000055,0.250518103365
ACH-000060,-0.20407367364999998
ACH-000067,-0.280042779132
ACH-000070,-0.36141080353200006
ACH-000075,0.00779452957893
ACH-000078,-0.46751976262500006
ACH-000082,-0.09961763159180001
ACH-000085,-0.30055641340100003
ACH-000086,-0.232462649863
ACH-000087,0.134404829478
ACH-000092,-0.10225660503699999
ACH-000095,-0.237703683563
ACH-000097,-0.182670299401
ACH-000098,-0.11040399400499999
ACH-000099,-0.437472734238
ACH-000108,-0.575479037931
ACH-000113,-0.481842394002
ACH-000115,-0.015407688545099999
ACH-000116,-0.412385471228
ACH-000118,-0.202546351963
ACH-000120,-0.20845051148200003
ACH-000123,-0.224913816549
ACH-000127,-0.08904992889939999
ACH-000128,-0.0319578446967
ACH-000132,0.0458787800091
ACH-000133,-0.321477023853
ACH-000137,0.09469294802960002
ACH-000138,-0.327082320211
ACH-000142,-0.550045417884
ACH-000143,-0.22573460000599999
ACH-000146,-0.199986713443
ACH-000148,-0.233872357244
ACH-000150,-0.127047378718
ACH-000152,-0.23693074469
ACH-000153,-0.295626171731
ACH-000159,-0.30699965771
ACH-000160,-0.178305585746
ACH-000163,-0.37620719771899996
ACH-000167,-0.35102194421599997
ACH-000168,-0.291722913641
ACH-000169,-0.124336161164
ACH-000178,-0.543532121225
ACH-000182,-0.09204173893510001
ACH-000183,0.139085542616
ACH-000188,-0.440033628733
ACH-000189,-0.18400701540300002
ACH-000190,-0.09439325492879999
ACH-000198,-0.493065024119
ACH-000204,-0.27144396240400004
ACH-000206,0.021208512181000002
ACH-000207,-0.222375602812
ACH-000211,-0.134728097751
ACH-000215,-0.0933473828812
ACH-000221,-0.0991469918979
ACH-000222,-0.65823734785
ACH-000223,-0.35013796832599997
ACH-000226,-0.118870291374
ACH-000227,-0.159421963133
ACH-000228,0.0398597345922
ACH-000231,-0.291273365239
ACH-000232,-0.195886114996
ACH-000233,0.140955787589
ACH-000234,-0.229383722839
ACH-000235,-0.293444298898
ACH-000237,-0.31246211643399996
ACH-000238,-0.736595340112
ACH-000243,-0.32798584919
ACH-000244,-0.0516150227613
ACH-000246,-0.17835222846700002
ACH-000248,-0.230634109098
ACH-000250,-0.18692848792199998
ACH-000251,-0.28533164497200003
ACH-000253,-0.209350171306
ACH-000255,-0.0619296081343
ACH-000256,-0.456123591918
ACH-000257,-0.319189937166
ACH-000258,-0.593510944178
ACH-000259,-0.27452020100900004
ACH-000260,-0.496523250634
ACH-000261,-0.33684428426799995
ACH-000262,-0.331904566904
ACH-000263,0.27445554372
ACH-000264,-0.388286624651
ACH-000265,-0.234258771754
ACH-000266,-0.39961401425099996
ACH-000272,-0.103423781907
ACH-000273,-0.518047243459
ACH-000274,-0.250019115416
ACH-000277,-0.00831088691227
ACH-000278,-0.456469372295
ACH-000279,-0.11024683762
ACH-000280,-0.34931774647299996
ACH-000281,-0.258192636082
ACH-000288,-0.47373719304899997
ACH-000291,-0.31854021420899997
ACH-000293,-0.366287373064
ACH-000294,-0.481970271181
ACH-000295,-0.63432149268
ACH-000296,-0.6638268544120001
ACH-000302,-0.17216834804699999
ACH-000304,-0.43825685826399996
ACH-000307,-0.28595137339000004
ACH-000308,-0.135234399085
ACH-000310,-0.253028266836
ACH-000311,-0.541097463943
ACH-000312,-0.35142955512100005
ACH-000315,-0.496374694918
ACH-000316,-0.112930153672
ACH-000317,0.121060022524
ACH-000318,-0.0732400118258
ACH-000319,-0.123491590079
ACH-000320,-0.187703126266
ACH-000322,-0.28688470152199996
ACH-000323,-0.0533827392242
ACH-000324,-0.304489484198
ACH-000329,-0.298529793976
ACH-000330,-0.144733410496
ACH-000331,-0.11993563880899999
ACH-000332,-0.20017075907600002
ACH-000334,-0.59048671601
ACH-000335,-0.239882770747
ACH-000336,-0.409411237548
ACH-000337,-0.451255946969
ACH-000339,-0.0874717493509
ACH-000341,-0.159823231632
ACH-000348,-0.0650392968127
ACH-000350,0.00518253540819
ACH-000352,-0.167776888569
ACH-000356,-0.0370914211218
ACH-000361,-0.0833877503626
ACH-000362,-0.38222529788099996
ACH-000363,-0.231437364532
ACH-000364,0.006722025002220001
ACH-000365,-0.195358631668
ACH-000366,-0.17405456928100002
ACH-000368,-0.0059142681551
ACH-000374,-0.0169557952629
ACH-000375,-0.694505266706
ACH-000376,-0.218975247903
ACH-000381,-0.280500376474
ACH-000383,-0.277709592746
ACH-000387,-0.15073062869200002
ACH-000389,-0.566471237848
ACH-000390,-0.256419175603
ACH-000393,-0.181089984365
ACH-000395,-0.272301901504
ACH-000397,-0.227708452629
ACH-000401,0.060224062165599994
ACH-000402,0.036259869262699994
ACH-000403,-0.42762737293700004
ACH-000404,-0.469681665416
