,VAC14 (55697)
ACH-000004,-0.270001907925
ACH-000007,-0.442790857215
ACH-000009,-0.325452882103
ACH-000011,-0.5722072903050001
ACH-000012,-0.171838469907
ACH-000013,-0.545808250761
ACH-000014,-0.222483250889
ACH-000015,-0.157240269007
ACH-000017,-0.602358663209
ACH-000018,-0.369552367151
ACH-000019,-0.241520244907
ACH-000021,-0.349809047689
ACH-000022,-0.628944051397
ACH-000025,-0.254255156898
ACH-000028,-0.166667661074
ACH-000030,-0.43846704418000004
ACH-000035,-0.275726575932
ACH-000036,-0.40218483155199997
ACH-000037,-0.557826379664
ACH-000039,-0.318551176685
ACH-000040,-0.120489734968
ACH-000041,-0.0992958897319
ACH-000042,-0.530842723671
ACH-000045,-0.325490036514
ACH-000047,-0.509962110767
ACH-000052,-0.618350701584
ACH-000053,-0.283575739948
ACH-000054,-0.5237756904159999
ACH-000055,-0.300075874047
ACH-000060,-0.308329165303
ACH-000067,-0.323805958289
ACH-000070,-0.48158800946
ACH-000075,-0.290334574251
ACH-000078,-0.24642183461800002
ACH-000082,-0.32796770188200003
ACH-000085,-0.79319708177
ACH-000086,-0.206139933119
ACH-000087,-0.177412333649
ACH-000092,-0.17971952359
ACH-000095,-0.281380312102
ACH-000097,-0.261493792171
ACH-000098,-0.000387317677642
ACH-000099,-0.865848432545
ACH-000108,-0.378109919819
ACH-000113,0.0284929856953
ACH-000115,-0.178900943105
ACH-000116,-0.6311616033749999
ACH-000118,-0.301661314186
ACH-000120,-0.353845307683
ACH-000123,-0.405180748381
ACH-000127,-0.29370708520100003
ACH-000128,-0.499515802016
ACH-000132,-0.49470234259900003
ACH-000133,-0.19354992107500002
ACH-000137,-0.297046649796
ACH-000138,-0.886225809882
ACH-000142,-0.601204041681
ACH-000143,-0.467895001613
ACH-000146,-0.210270213554
ACH-000148,-0.43175253476899994
ACH-000150,-0.298551969384
ACH-000152,-0.274415272901
ACH-000153,-0.39728775031900004
ACH-000159,-0.49274771623400004
ACH-000160,-0.413029926413
ACH-000163,-0.211122987663
ACH-000167,-0.675774265187
ACH-000168,-0.292600501297
ACH-000169,-0.33859265384900006
ACH-000178,-0.268982096337
ACH-000182,-0.957339108196
ACH-000183,-0.7046749701809999
ACH-000188,-0.734644343186
ACH-000189,-0.45276467202200005
ACH-000190,-0.32304975584
ACH-000198,-0.170616490561
ACH-000204,-0.160438822442
ACH-000206,-0.314776304406
ACH-000207,-0.336836140096
ACH-000211,-0.541440093061
ACH-000215,-0.195495758711
ACH-000221,-0.25705745080200004
ACH-000222,-0.26540151730300005
ACH-000223,-0.261869886541
ACH-000226,-0.260423631083
ACH-000227,-0.485667029645
ACH-000228,-0.37705375587300005
