,PIH1D2 (120379)
ACH-000004,0.0742753697667
ACH-000007,0.0759295249764
ACH-000009,-0.0400995618979
ACH-000011,0.184977325627
ACH-000012,-0.0533862105616
ACH-000013,0.081396334618
ACH-000014,0.0590561976397
ACH-000015,0.0692932323937
ACH-000017,0.289234939426
ACH-000018,0.0751313642356
ACH-000019,0.153344520135
ACH-000021,0.16218203936699999
ACH-000022,0.082830199442
ACH-000025,0.228865453143
ACH-000028,0.050997476178599996
ACH-000030,0.09118911097230001
ACH-000035,0.0682549491702
ACH-000036,0.0548132113575
ACH-000037,0.056376142202000004
ACH-000039,0.118563810504
ACH-000040,-0.0174899577905
ACH-000041,0.015356130289700001
ACH-000042,0.15518152300899998
ACH-000045,0.0644623388198
ACH-000047,0.082733232505
ACH-000052,0.22867754793900003
ACH-000053,0.05695901361280001
ACH-000054,0.08224396882280001
ACH-000055,0.124824073404
ACH-000060,0.0683521719168
ACH-000067,0.334832162524
ACH-000070,-0.007369729259920001
ACH-000075,-0.0803326472387
ACH-000078,-0.0272051729667
ACH-000082,0.07400496753560001
ACH-000085,0.12991657849000002
ACH-000086,-0.0148671455287
ACH-000087,-0.0364158798411
ACH-000092,0.028427958042099997
ACH-000095,0.05822836759930001
ACH-000097,0.09125162250489999
ACH-000098,0.12378246838500001
ACH-000099,0.11726875633400001
ACH-000108,-0.10219830352600001
ACH-000113,0.10909164940999999
ACH-000115,0.206398380309
ACH-000116,0.152018880134
ACH-000118,0.100657251097
ACH-000120,0.213345216435
ACH-000123,0.09776971651519999
ACH-000127,0.07951041233560001
ACH-000128,0.027967708037900003
ACH-000132,0.0489637208436
ACH-000133,0.20408384681699998
ACH-000137,0.0442801145947
ACH-000138,0.0878369256161
ACH-000142,0.0428099916915
ACH-000143,0.138354002986
ACH-000146,-0.000689831304255
ACH-000148,0.189793519876
ACH-000150,0.136403119843
ACH-000152,0.0821440184717
ACH-000153,0.11193678345899999
ACH-000159,0.0994685334595
ACH-000160,-0.000933315460904
ACH-000163,0.136591756684
ACH-000167,0.11206570697799999
ACH-000168,0.137059869082
ACH-000169,0.0203101222684
ACH-000178,0.235806849603
ACH-000182,0.122538936398
ACH-000183,0.0256446941237
ACH-000188,0.181951874767
ACH-000189,-0.0934474649815
ACH-000190,-0.024371127909800002
ACH-000198,0.0892304459798
ACH-000204,0.159910490351
ACH-000206,0.134710469171
ACH-000207,0.00484881058434
ACH-000211,0.11988969788699999
ACH-000215,0.09870677368110001
ACH-000221,0.154269125463
ACH-000222,0.19935516160100003
ACH-000223,0.0664234773667
ACH-000226,0.0539599859527
ACH-000227,-0.100869099494
ACH-000228,0.108032114212
ACH-000231,0.15804565779100002
ACH-000232,0.135482331226
ACH-000233,0.172839459482
ACH-000234,0.259993645809
ACH-000235,0.11536559752699999
