,AIP (9049)
ACH-000004,-0.254238735594
ACH-000007,-0.525246433844
ACH-000009,-0.30598373795
ACH-000011,-0.134002522851
ACH-000012,-0.207079957512
ACH-000013,-0.20908588903499997
ACH-000014,-0.43991848325000005
ACH-000015,-0.122644912204
ACH-000017,-0.100760474625
ACH-000018,-0.472362154233
ACH-000019,-0.34471288276699996
ACH-000021,-0.35904220501100004
ACH-000022,-0.34012614059100005
ACH-000025,0.0849992958063
ACH-000028,-0.471650807099
ACH-000030,-0.319147444229
ACH-000035,-0.133187460344
ACH-000036,-0.11321966593800001
ACH-000037,-0.351943690598
ACH-000039,-0.190304969289
ACH-000040,-0.19252125012000001
ACH-000041,-0.44801017330799997
ACH-000042,-0.7356516822660001
ACH-000045,-0.36655076267700004
ACH-000047,0.0299140330433
ACH-000052,-0.346535995805
ACH-000053,-0.505997760423
ACH-000054,-0.27176641386399997
ACH-000055,-0.476164742889
ACH-000060,-0.7269417247069999
ACH-000067,-0.734671280183
ACH-000070,-0.28055571723
ACH-000075,-0.18598499491300002
ACH-000078,-0.409991748047
ACH-000082,-0.381071910669
ACH-000085,-0.462054268727
ACH-000086,-0.251925351778
ACH-000087,-0.217184698767
ACH-000092,-0.368486868719
ACH-000095,-0.311321342622
ACH-000097,-0.410295833828
ACH-000098,-0.254275451811
ACH-000099,-0.45219582920100004
ACH-000108,-0.19717324506499997
ACH-000113,-0.413649207772
ACH-000115,-0.348021225834
ACH-000116,-0.514287879004
ACH-000118,-0.297257924231
ACH-000120,-0.289714830666
ACH-000123,-0.298008713279
ACH-000127,-0.21967997269099998
ACH-000128,-0.287172107209
ACH-000132,-0.102723142628
ACH-000133,-0.09927931488189999
ACH-000137,-0.291086159913
ACH-000138,-0.319764134275
ACH-000142,-0.124485762753
ACH-000143,-0.332193878807
ACH-000146,-0.234356926355
ACH-000148,0.020641679915200002
ACH-000150,-0.6649188277470001
ACH-000152,-0.111474676407
ACH-000153,-0.659260069547
ACH-000159,-0.260996788523
ACH-000160,-0.0834568365998
ACH-000163,-0.609519946256
ACH-000167,0.478369976091
ACH-000168,-0.729037268917
ACH-000169,-0.339118323605
ACH-000178,-0.10813480988
ACH-000182,-0.20517587665999998
ACH-000183,-0.56968525625
ACH-000188,-0.333249939273
ACH-000189,-0.597682963988
ACH-000190,0.205157073077
ACH-000198,-0.439587501805
ACH-000204,-0.850617825462
ACH-000206,-0.695812778028
ACH-000207,-0.362222053582
ACH-000211,-0.038562886827
ACH-000215,-0.368402966339
ACH-000221,-0.26779385003
ACH-000222,-0.22524227199400002
ACH-000223,-0.271936389126
ACH-000226,-0.22712553206
ACH-000227,-0.34860975459
ACH-000228,-0.626218195771
ACH-000231,-0.190450529321
ACH-000232,-0.26112474097
ACH-000233,-0.5218387080960001
ACH-000234,-0.296488929191
ACH-000235,-0.160849271193
ACH-000237,-0.137783089416
ACH-000238,-0.360863412522
ACH-000243,0.0740810384104
ACH-000244,-0.307038331784
ACH-000246,-0.465930460801
ACH-000248,-0.17780443835
ACH-000250,-0.475663174243
ACH-000251,-0.314837705703
