,BZRAP1 (9256)
ACH-000004,-0.379391729985
ACH-000007,-0.0636705929797
ACH-000009,-0.143704422225
ACH-000011,-0.20475418537099999
ACH-000012,-0.33556890359700003
ACH-000013,-0.208084692787
ACH-000014,-0.205446123815
ACH-000015,-0.10861285805
ACH-000017,0.0245155464133
ACH-000018,-0.0327704932989
ACH-000019,-0.347693220007
ACH-000021,-0.343954145
ACH-000022,-0.228196739708
ACH-000025,-0.012697270645899999
ACH-000028,-0.350205415244
ACH-000030,-0.150698166368
ACH-000035,-0.25154629506799997
ACH-000036,-0.20241109576699998
ACH-000037,-0.161782275294
ACH-000039,-0.22792785478100003
ACH-000040,-0.362988885399
ACH-000041,-0.432778658716
ACH-000042,-0.316462406385
ACH-000045,-0.32502177939300003
ACH-000047,-0.198521345514
ACH-000052,-0.443292111731
ACH-000053,-0.259392205009
ACH-000054,-0.484744243043
ACH-000055,-0.361489898553
ACH-000060,-0.09340221842489999
ACH-000067,-0.14132916470999998
ACH-000070,0.117785544641
ACH-000075,0.10652263732
ACH-000078,-0.320814844856
ACH-000082,-0.254770631964
ACH-000085,0.0400447230986
ACH-000086,-0.0200868884371
ACH-000087,-0.6222515198399999
ACH-000092,-0.032799051238799996
ACH-000095,-0.285153445781
ACH-000097,-0.151138367631
ACH-000098,-0.113138058191
ACH-000099,-0.308357556185
ACH-000108,-0.143215838
ACH-000113,-0.288541108933
ACH-000115,-0.264877032569
ACH-000116,-0.256081968561
ACH-000118,-0.176117508657
ACH-000120,-0.43796012893299996
ACH-000123,-0.0855206497484
ACH-000127,-0.16023771125
ACH-000128,-0.202584442028
ACH-000132,-0.29014771204900003
ACH-000133,-0.0647586160918
ACH-000137,-0.139153386804
ACH-000138,-0.361915934797
ACH-000142,-0.310306050086
ACH-000143,-0.105884386611
ACH-000146,-0.22593000079999997
ACH-000148,-0.11549692328
ACH-000150,-0.368715731527
ACH-000152,-0.156818108427
ACH-000153,-0.420670457773
ACH-000159,-0.146300134685
ACH-000160,0.00280812926004
ACH-000163,-0.143671100289
ACH-000167,0.0195935168335
ACH-000168,-0.109398967062
ACH-000169,-0.145909941937
ACH-000178,-0.340465947411
ACH-000182,-0.12553371776699998
ACH-000183,0.0514808477463
ACH-000188,-0.19532691470400002
ACH-000189,0.187021325027
ACH-000190,-0.44889013352799995
ACH-000198,-0.176629177132
ACH-000204,-0.29199318544799996
ACH-000206,-0.0224264169746
ACH-000207,-0.323637450597
ACH-000211,-0.150828281811
ACH-000215,-0.204483542742
ACH-000221,-0.21856689401700002
ACH-000222,-0.235062431255
ACH-000223,-0.140173620632
ACH-000226,-0.0196455262962
ACH-000227,-0.29153675635299997
ACH-000228,-0.115195389317
ACH-000231,-0.30498530990600003
ACH-000232,-0.011398244057200002
ACH-000233,-0.272013062607
ACH-000234,-0.239966899504
ACH-000235,-0.23931895134199999
ACH-000237,-0.143488020402
ACH-000238,-0.22704058329500001
ACH-000243,-0.442801375575
ACH-000244,-0.49196975595299997
ACH-000246,-0.12127129402100001
ACH-000248,0.0636900610652
ACH-000250,-0.243184277846
ACH-000251,-0.57320204777
ACH-000253,-0.24822684258900002
ACH-000255,-0.14384660886700001
ACH-000256,-0.0560183661525
ACH-000257,0.0028846304070199997
