,BDH2 (56898)
ACH-000004,-0.278457863249
ACH-000007,-0.243165571854
ACH-000009,-0.328214398612
ACH-000011,-0.238805671719
ACH-000012,-0.264844404302
ACH-000013,-0.14347441131799998
ACH-000014,-0.30382710233300003
ACH-000015,-0.217125298659
ACH-000017,-0.333918591007
ACH-000018,-0.474656359921
ACH-000019,-0.571840123583
ACH-000021,-0.49616121313199996
ACH-000022,-0.238341322409
ACH-000025,-0.346645574833
ACH-000028,-0.266358106025
ACH-000030,-0.372086825117
ACH-000035,-0.219148470117
ACH-000036,-0.17345165571499999
ACH-000037,0.05539237465750001
ACH-000039,-0.36690208304899996
ACH-000040,-0.254648502073
ACH-000041,-0.31542124585000003
ACH-000042,-0.25376252548
ACH-000045,-0.158006717541
ACH-000047,-0.382751282091
ACH-000052,-0.59332970809
ACH-000053,-0.244976586801
ACH-000054,-0.133135776325
ACH-000055,-0.605100376159
ACH-000060,-0.295144569401
ACH-000067,-0.272976818046
ACH-000070,-0.307022386141
ACH-000075,-0.273304502814
ACH-000078,-0.26598900732299996
ACH-000082,-0.08496731996919998
ACH-000085,-0.13330701775
ACH-000086,-0.172506030251
ACH-000087,-0.41902908246299997
ACH-000092,-0.5103053731539999
ACH-000095,-0.238810487481
ACH-000097,-0.285673784358
ACH-000098,-0.21149575002999998
ACH-000099,-0.108217340419
ACH-000108,-0.33149614909499997
ACH-000113,-0.35828958565200003
ACH-000115,-0.128809229163
ACH-000116,-0.255172159098
ACH-000118,-0.34007636374399997
ACH-000120,-0.254863231531
ACH-000123,-0.34926623832599996
ACH-000127,-0.218184113372
ACH-000128,-0.23317248027100002
ACH-000132,-0.40457334103
ACH-000133,-0.284585440602
ACH-000137,-0.196840765099
ACH-000138,-0.166912112709
ACH-000142,-0.133488855982
ACH-000143,-0.177684680169
ACH-000146,-0.226464821411
ACH-000148,-0.20240815237799997
ACH-000150,-0.426306897399
ACH-000152,-0.277864966578
ACH-000153,-0.730600442938
ACH-000159,-0.22711719144900003
ACH-000160,-0.0989433372324
ACH-000163,-0.351686155954
ACH-000167,-0.413634858996
ACH-000168,-0.378777004151
ACH-000169,-0.29676426313
ACH-000178,-0.27340337365600004
ACH-000182,-0.15533386951300002
ACH-000183,-0.5005239838109999
ACH-000188,-0.346677764504
ACH-000189,-0.011426952103200001
