,SRRT (51593)
ACH-000004,-1.11388251413
ACH-000007,-0.748447972735
ACH-000009,-0.44428269818099997
ACH-000011,-0.777942138124
ACH-000012,-0.460445335982
ACH-000013,-0.699368295485
ACH-000014,-0.506177192213
ACH-000015,-0.7419239833069999
ACH-000017,-0.547969021371
ACH-000018,-0.46709042191000005
ACH-000019,-1.05541981567
ACH-000021,-0.816321286292
ACH-000022,-0.591138391948
ACH-000025,-0.522426996549
ACH-000028,-0.709316837949
ACH-000030,-0.538689655115
ACH-000035,-0.759227916272
ACH-000036,-0.533583331901
ACH-000037,-1.00767360109
ACH-000039,-0.7652854793420001
ACH-000040,-0.837715598742
ACH-000041,-0.783759273529
ACH-000042,-0.629744713389
ACH-000045,-0.813659410275
ACH-000047,-0.710431889353
ACH-000052,-1.02961458691
ACH-000053,-0.8597470494920001
ACH-000054,-0.866041688986
ACH-000055,-1.15628744953
ACH-000060,-0.885668142975
ACH-000067,-0.7252797671979999
ACH-000070,-0.656208794283
ACH-000075,-0.951662857705
ACH-000078,-0.42810941527400004
ACH-000082,-1.15902504123
ACH-000085,-0.934236819849
ACH-000086,-0.488090820731
ACH-000087,-0.630698643491
ACH-000092,-0.967667014574
ACH-000095,-0.832972942095
ACH-000097,-0.560194837485
ACH-000098,-0.7741497859659999
ACH-000099,-0.49467758879900003
ACH-000108,-1.19611294975
ACH-000113,-1.0
ACH-000115,-1.1830024512700001
ACH-000116,-0.876380435924
ACH-000118,-0.719774624044
ACH-000120,-0.770130396211
ACH-000123,-0.766844370642
ACH-000127,-0.9046875710979999
ACH-000128,-1.1299889119700002
ACH-000132,-1.05325312028
ACH-000133,-0.744575329472
ACH-000137,-1.00303120176
ACH-000138,-0.572311070361
ACH-000142,-0.529124924858
ACH-000143,-0.884655231331
ACH-000146,-0.9427665187150001
ACH-000148,-0.6881689454790001
ACH-000150,-0.672431283283
ACH-000152,-0.847327905262
ACH-000153,-1.38488714434
ACH-000159,-0.804926365967
ACH-000160,-0.918152639127
ACH-000163,-0.989527957316
ACH-000167,-0.592534940742
ACH-000168,-0.658640281109
ACH-000169,-1.03968201311
ACH-000178,-0.739564395465
ACH-000182,-0.8535295512469999
ACH-000183,-0.67092111021
ACH-000188,-0.616773648508
ACH-000189,-0.572643202865
ACH-000190,-0.799095110962
