,TBCE (6905)
ACH-000004,-0.707251233458
ACH-000007,-0.48110027325800003
ACH-000009,-0.8067656229350001
ACH-000011,-0.586870255682
ACH-000012,-0.685102250074
ACH-000013,-0.954177259895
ACH-000014,-0.536931180217
ACH-000015,-0.7070801292640001
ACH-000017,-0.670676003677
ACH-000018,-0.928675335006
ACH-000019,-0.6888555941769999
ACH-000021,-0.810519708927
ACH-000022,-0.7579995852470001
ACH-000025,-0.7006332023890001
ACH-000028,-0.617509265062
ACH-000030,-0.51121037581
ACH-000035,-0.8560843009729999
ACH-000036,-0.570366933392
ACH-000037,-0.76547561074
ACH-000039,-0.9124747756720001
ACH-000040,-0.659715468432
ACH-000041,-0.658670437092
ACH-000042,-0.774433084557
ACH-000045,-0.9140150635780001
ACH-000047,-0.7135019541300001
ACH-000052,-0.9705445382860001
ACH-000053,-0.600010245664
ACH-000054,-0.8729451888200002
ACH-000055,-0.458551374595
ACH-000060,-0.5237411005129999
ACH-000067,-0.840109566468
ACH-000070,-0.785833630985
ACH-000075,-1.10317477466
ACH-000078,-0.42998108980099997
ACH-000082,-0.7007652097050001
ACH-000085,-0.773483113775
ACH-000086,-0.915465036646
ACH-000087,-0.737062703569
ACH-000092,-0.814566747455
ACH-000095,-0.5043520639019999
ACH-000097,-0.388951037989
ACH-000098,-0.7004448980069999
ACH-000099,-0.608092834453
ACH-000108,-0.508688195174
ACH-000113,-0.585374939574
ACH-000115,-0.844132504042
ACH-000116,-0.622722534949
ACH-000118,-0.7940821486730001
ACH-000120,-0.603554040264
ACH-000123,-0.5687170488359999
ACH-000127,-0.620306707488
ACH-000128,-0.387646022188
ACH-000132,-0.848896301047
ACH-000133,-0.612840391929
ACH-000137,-0.940529227417
ACH-000138,-0.616373507637
ACH-000142,-0.832893250951
ACH-000143,-0.482915899283
ACH-000146,-0.40152640618100005
ACH-000148,-0.832031028385
ACH-000150,-0.623355636404
ACH-000152,-0.900899666541
ACH-000153,-0.654217894605
ACH-000159,-0.391399708995
ACH-000160,-0.818990497545
ACH-000163,-0.9310362811470001
ACH-000167,-1.14329918631
ACH-000168,-0.763031433132
ACH-000169,-0.918495684904
ACH-000178,-0.701934644409
ACH-000182,-0.753183589234
ACH-000183,-0.67551860621
ACH-000188,-0.583753888535
ACH-000189,-0.841515193665
ACH-000190,-1.12443767467
ACH-000198,-0.513506680462
ACH-000204,-1.15365860638
ACH-000206,-0.975237067936
ACH-000207,-0.701091363048
ACH-000211,-0.791304490802
ACH-000215,-0.638346691167
ACH-000221,-0.405588093163
ACH-000222,-0.58999636962
