,SLAMF8 (56833)
ACH-000004,-0.208425996715
ACH-000007,0.0647623589635
ACH-000009,-0.128500476896
ACH-000011,0.283911806476
ACH-000012,0.019276241192000002
ACH-000013,0.05939713135559999
ACH-000014,0.0613766839031
ACH-000015,0.0124602598567
ACH-000017,0.150382424245
ACH-000018,0.0950239503569
ACH-000019,0.0998007554501
ACH-000021,0.016700539472399998
ACH-000022,0.0557648140337
ACH-000025,-0.0483722355955
ACH-000028,0.108195714715
ACH-000030,0.0552187851201
ACH-000035,-0.147515685911
ACH-000036,0.107687511889
ACH-000037,0.0403654393488
ACH-000039,0.11637871950999999
ACH-000040,0.22408334490899998
ACH-000041,0.193386320114
ACH-000042,0.0473512358402
ACH-000045,0.100694850728
ACH-000047,0.0466578769859
ACH-000052,-0.0554737924088
ACH-000053,0.0481851878096
ACH-000054,0.21021092303
ACH-000055,-0.09190541053290001
ACH-000060,-0.00953575248903
ACH-000067,0.208196318215
ACH-000070,0.0677253205689
ACH-000075,0.0184628564253
ACH-000078,0.315106669891
ACH-000082,0.17779735762899998
ACH-000085,0.07840791791730001
ACH-000086,-0.081588118618
ACH-000087,-0.07287335734889999
ACH-000092,0.07696896837230001
ACH-000095,0.141144554753
ACH-000097,0.171911805553
ACH-000098,0.049755091364400005
ACH-000099,0.141450758612
ACH-000108,0.166141245934
ACH-000113,-0.0256709018677
ACH-000115,0.155871455453
ACH-000116,0.17872764971799998
ACH-000118,0.103427418529
ACH-000120,0.19377882436799998
ACH-000123,0.024161118610900003
ACH-000127,0.079836008882
ACH-000128,0.044789250815699996
ACH-000132,0.055734179842
ACH-000133,-0.00485338581483
ACH-000137,0.161513538005
ACH-000138,0.165675160636
ACH-000142,0.0813136788869
ACH-000143,0.232740546875
ACH-000146,0.0377362799647
ACH-000148,0.15069330299699998
ACH-000150,0.152727760514
ACH-000152,0.0812604841769
ACH-000153,-0.11340271855999999
ACH-000159,0.102680198743
ACH-000160,0.162425384564
ACH-000163,-0.156052666313
ACH-000167,0.35249812685099996
ACH-000168,0.104414970148
ACH-000169,0.105301443831
ACH-000178,0.126995505948
ACH-000182,-0.0253261099634
ACH-000183,-0.226484446511
ACH-000188,0.13106253753
ACH-000189,0.106027452962
ACH-000190,0.414581925493
ACH-000198,0.0600151388968
ACH-000204,-0.381697016576
ACH-000206,0.0943905874602
ACH-000207,0.187866889215
ACH-000211,0.146221707797
ACH-000215,0.0972696939087
ACH-000221,0.0326871249169
ACH-000222,-0.100281530502
ACH-000223,0.019274468578099998
ACH-000226,0.19344928065900002
ACH-000227,0.154134638518
ACH-000228,0.06331512874669999
ACH-000231,0.10432207676500001
ACH-000232,0.11937922315999999
ACH-000233,0.0470580165147
ACH-000234,0.0161964158017
ACH-000235,0.029964206606
ACH-000237,0.060515373829699994
ACH-000238,0.101791935964
ACH-000243,0.049757865609300005
ACH-000244,0.257591992267
ACH-000246,0.0736640841033
ACH-000248,0.11421982437599999
ACH-000250,0.0040265265298
ACH-000251,0.113288335432
ACH-000253,0.0719323286795
ACH-000255,0.15731187921599998
ACH-000256,0.015111169345799999
ACH-000257,0.391193583854
ACH-000258,-0.22384876707899998
ACH-000259,0.0293280577116
ACH-000260,0.07934106475060002
ACH-000261,0.15939952095
ACH-000262,0.149622839782
ACH-000263,0.295051099768
ACH-000264,-0.139326829411
ACH-000265,0.193431329186
ACH-000266,0.08465419703960002
ACH-000272,0.0477300967061
ACH-000273,0.05545382953459999
ACH-000274,0.22451506435899998
ACH-000277,0.0240947941053
ACH-000278,-0.0321200960958
ACH-000279,0.26184721015900003
ACH-000280,-0.151056790534
ACH-000281,0.139356637559
ACH-000288,0.06371485986480001
ACH-000291,0.07493772400780001
ACH-000293,0.227837740435
ACH-000294,0.12608538847
ACH-000295,-0.0517157049756
ACH-000296,0.115656655372
ACH-000302,0.19402272106899998
ACH-000304,-0.0608609526931
ACH-000307,0.114590402301
ACH-000308,0.114353338028
ACH-000310,0.216531552619
ACH-000311,0.0610262064974
ACH-000312,0.0651489515853
ACH-000315,0.24468946312800002
ACH-000316,0.252461216213
ACH-000317,-0.0628557883268
ACH-000318,-0.139329048542
ACH-000319,-0.176265397531
ACH-000320,0.129620690697
ACH-000322,0.0500349921313
ACH-000323,0.115590504166
ACH-000324,0.141637104543
ACH-000329,0.0833530372089
ACH-000330,0.13001355812999998
ACH-000331,0.148414841018
ACH-000332,0.104911352571
ACH-000334,-0.09178450041110002
ACH-000335,0.0968220152081
ACH-000336,0.075096054123
ACH-000337,0.09548152520639999
ACH-000339,0.09446299886710001
ACH-000341,0.110493361963
ACH-000348,0.116869335881
ACH-000350,-0.108602862763
ACH-000352,0.163300907119
ACH-000356,-0.0240866133632
ACH-000361,0.0675811945324
ACH-000362,0.14865103548699998
ACH-000363,0.033318631429599996
ACH-000364,0.204241815102
ACH-000365,0.0488713283094
ACH-000366,0.0883576084017
ACH-000368,0.194333588959
ACH-000374,0.0395369323599
ACH-000375,-0.0207286826837
ACH-000376,0.070389536907
ACH-000381,0.08654264565770001
ACH-000383,0.154886660247
ACH-000387,-0.0182431665214
ACH-000389,0.347120465366
ACH-000390,0.0719754488851
ACH-000393,0.21601691913499999
ACH-000395,0.0433928702673
ACH-000397,0.05795383259819999
ACH-000401,-0.286062741845
ACH-000402,-0.24187893607900002
ACH-000403,0.0817896351588
ACH-000404,0.023277072371
ACH-000406,-0.00545453627789
ACH-000407,0.232865377359
ACH-000408,0.246766753321
ACH-000410,0.16192205961
ACH-000411,-0.0376066363766
ACH-000414,0.189084529702
ACH-000415,-0.0205242875165
ACH-000416,-0.0339867844508
ACH-000420,-0.07380259407039999
ACH-000421,-0.00975646393039
ACH-000424,0.144073706194
ACH-000425,0.090158149703
ACH-000426,-0.30356008804400003
ACH-000427,0.16069409888299999
ACH-000433,0.0867370866684
ACH-000436,0.153936729356
ACH-000444,0.17069795997499998
ACH-000445,0.0848505893097
ACH-000448,0.18419252006200001
ACH-000450,0.100479398882
ACH-000452,0.06017265550030001
ACH-000454,-0.044537805889
ACH-000458,0.134824718455
ACH-000459,-0.028421308386499998
ACH-000460,0.104927472745
ACH-000461,0.07640313367030001
ACH-000463,0.11479216697999998
ACH-000464,0.0232467160586
ACH-000466,0.11134604494799999
ACH-000467,0.07435459279510001
ACH-000468,0.0640082198991
ACH-000469,0.162061335792
ACH-000470,-0.004111819851880001
ACH-000471,0.0685581749148
ACH-000472,0.067186389918
ACH-000473,0.222313097661
ACH-000475,0.136394868403
ACH-000476,0.0179204199635
ACH-000477,0.263507283332
ACH-000480,-0.155105383593
ACH-000481,-0.0129496475523
ACH-000483,0.184841453213
ACH-000484,0.17691334392900002
ACH-000485,0.239911876145
ACH-000486,0.0292776197415
ACH-000487,-0.11524048184
ACH-000488,0.0239137167088
ACH-000490,-0.0571782843482
ACH-000491,0.09632610980089999
ACH-000495,0.10580052706399999
ACH-000496,0.0935152861932
ACH-000499,-0.0011469577285199998
