,PDZK1 (5174)
ACH-000004,-0.027839807439200004
ACH-000007,-0.1006862737
ACH-000009,-0.320051525298
ACH-000011,-0.140896912702
ACH-000012,-0.18550705068
ACH-000013,-0.163606465181
ACH-000014,-0.327200422737
ACH-000015,-0.16317952776
ACH-000017,-0.0166955293576
ACH-000018,-0.264090778642
ACH-000019,-0.15222726031300002
ACH-000021,-0.186594617315
ACH-000022,-0.0673057084094
ACH-000025,-0.429630463791
ACH-000028,-0.255266926989
ACH-000030,-0.195430783437
ACH-000035,0.179685676272
ACH-000036,-0.279543752851
ACH-000037,0.0284420089282
ACH-000039,-0.0808069204932
ACH-000040,-0.204325730551
ACH-000041,-0.198980563571
ACH-000042,-0.196045526347
ACH-000045,0.0263149663461
ACH-000047,-0.117372950132
ACH-000052,-0.42000027417499997
ACH-000053,-0.0248416036347
ACH-000054,-0.0077335392176199995
ACH-000055,-0.12138362718800001
ACH-000060,0.007826332442470002
ACH-000067,-0.0946722599853
ACH-000070,-0.043457251432499996
ACH-000075,-0.0629154069147
ACH-000078,0.064548833191
ACH-000082,0.11492363931600001
ACH-000085,0.206781987708
ACH-000086,-0.36568966759800003
ACH-000087,-0.23779669480500001
ACH-000092,-0.184696650598
ACH-000095,-0.0321214176123
ACH-000097,-0.23776796008499998
ACH-000098,-0.213316629408
ACH-000099,0.0516940998735
ACH-000108,-0.221850827155
ACH-000113,-0.139059103989
ACH-000115,0.146765770775
ACH-000116,0.039276307890699996
ACH-000118,-0.163972299642
ACH-000120,-0.21003916100499997
ACH-000123,-0.29594938893399997
ACH-000127,-0.123340198914
ACH-000128,-0.0029706291048399998
ACH-000132,-0.0536905681276
ACH-000133,-0.17915790366099998
ACH-000137,-0.0603469559511
ACH-000138,-0.21361033977000002
ACH-000142,-0.0242564126327
ACH-000143,-0.0384452821787
ACH-000146,0.0343031518262
ACH-000148,-0.25422404511700003
ACH-000150,-0.192919824665
ACH-000152,-0.368368737449
ACH-000153,-0.31821603631900003
ACH-000159,-0.0486471669455
ACH-000160,-0.16757381509299998
ACH-000163,-0.263804899388
ACH-000167,0.119975296845
ACH-000168,-0.209103948757
ACH-000169,-0.060365160269599996
ACH-000178,-0.077876954089
ACH-000182,-0.250534185126
ACH-000183,-0.09954088270089999
ACH-000188,-0.0799102481055
ACH-000189,-0.450610209697
ACH-000190,-0.257428372258
ACH-000198,0.00240353039089
ACH-000204,-0.535290269261
ACH-000206,-0.310212376022
ACH-000207,-0.20037446953
ACH-000211,-0.292860957666
ACH-000215,-0.318502689874
ACH-000221,-0.128252558663
ACH-000222,-0.16704141131300002
ACH-000223,-0.33050903511
ACH-000226,-0.00759049749954
ACH-000227,0.18009540412
ACH-000228,-0.249191420623
ACH-000231,0.0285578982206
ACH-000232,-0.08257629442480001
ACH-000233,-0.063869742924
ACH-000234,-0.0134863100927
ACH-000235,-0.18499195324099998
ACH-000237,-0.0384496916035
ACH-000238,-0.16933556409800002
ACH-000243,-0.13316989350400002
ACH-000244,-0.275409913391
ACH-000246,-0.137419656665
ACH-000248,-0.08408357385500001
ACH-000250,0.0834608727593
ACH-000251,-0.153828085811
ACH-000253,0.00371735027252
ACH-000255,-0.043596586925800006
ACH-000256,-0.029981203895999998
