,NYNRIN (57523)
ACH-000004,-0.186127450792
ACH-000007,0.132927465429
ACH-000009,-0.012951408508099999
ACH-000011,-0.0145130057429
ACH-000012,0.040786649749500005
ACH-000013,-0.0484868731451
ACH-000014,-0.148682212622
ACH-000015,0.0764130211555
ACH-000017,-0.200549165581
ACH-000018,0.0228962100364
ACH-000019,-0.167926952564
ACH-000021,-0.0587604430114
ACH-000022,-0.0352708265351
ACH-000025,0.031897351430200005
ACH-000028,-0.116031633358
ACH-000030,-0.0166829816845
ACH-000035,-0.120276976135
ACH-000036,-0.103854353926
ACH-000037,-0.142377539735
ACH-000039,-0.0413163595146
ACH-000040,-0.253563046166
ACH-000041,-0.11920427200400001
ACH-000042,0.12228706017999999
ACH-000045,-0.187012040046
ACH-000047,-0.0743081004567
ACH-000052,-0.127672560304
ACH-000053,-0.10706001872300001
ACH-000054,-0.09894101758479999
ACH-000055,0.0064290280880400005
ACH-000060,-0.0847527286815
ACH-000067,-0.028930703768000002
ACH-000070,-0.260011453193
ACH-000075,0.00336396621591
ACH-000078,0.106007510252
ACH-000082,-0.00481965061816
ACH-000085,-0.095199458728
ACH-000086,-0.101965275994
ACH-000087,0.0183333548893
ACH-000092,-0.0994523010268
ACH-000095,-0.160721818801
ACH-000097,-0.130340561619
ACH-000098,-0.144231357229
ACH-000099,0.0419576825253
ACH-000108,-0.0033969994528899997
ACH-000113,-0.154680426886
ACH-000115,-0.26610810457899997
ACH-000116,0.0640496121734
ACH-000118,-0.205411026189
ACH-000120,-0.05341189657980001
ACH-000123,-0.0383738359712
ACH-000127,-0.0658195228839
ACH-000128,-0.154782393283
ACH-000132,0.228895526166
ACH-000133,-0.2075211136
ACH-000137,-0.0886350172463
ACH-000138,0.08879595560249999
ACH-000142,-0.0837269918592
ACH-000143,-0.16791489087699998
ACH-000146,-0.101448763979
ACH-000148,-0.093531361898
ACH-000150,0.165838129822
ACH-000152,-0.0785856743417
ACH-000153,0.00475397461849
ACH-000159,-0.09442684575919999
ACH-000160,-0.328263361368
ACH-000163,0.028450781642
ACH-000167,-0.272002378853
ACH-000168,-0.24501175598299998
ACH-000169,-0.0370703518431
ACH-000178,0.00891505649756
ACH-000182,-0.045131055769600005
ACH-000183,-0.180553866701
ACH-000188,0.103795415846
ACH-000189,-0.156955325379
ACH-000190,0.0544787945775
ACH-000198,-0.152777233736
ACH-000204,0.0236922026835
ACH-000206,0.24398229392700002
ACH-000207,0.033354261664200004
ACH-000211,-0.117419111099
ACH-000215,-0.018236747660700003
ACH-000221,-0.09863552247560001
ACH-000222,0.20596105420699998
ACH-000223,0.14639114403200001
ACH-000226,-0.295831844052
ACH-000227,0.042148876160300004
ACH-000228,0.0634686275257
ACH-000231,-0.0393553835097
ACH-000232,-0.0889587031281
ACH-000233,-0.10691663611300001
ACH-000234,-0.161696735123
ACH-000235,-0.04703238122930001
ACH-000237,0.138930856177
ACH-000238,-0.168187447155
ACH-000243,-0.0226246483586
ACH-000244,-0.20534477700800002
ACH-000246,-0.170962187743
ACH-000248,-0.0779877364399
ACH-000250,-0.13226314318
ACH-000251,0.0207306634657
ACH-000253,0.137880315137
