,ADAR (103)
ACH-000004,-0.365345178605
ACH-000007,-0.35245208346699997
ACH-000009,-0.284621310429
ACH-000011,-0.658255312742
ACH-000012,-0.618320105418
ACH-000013,-0.632449594273
ACH-000014,-0.607326957405
ACH-000015,-0.518522985162
ACH-000017,-0.027166075621700002
ACH-000018,-0.459635009422
ACH-000019,-0.487352945872
ACH-000021,-0.510794916063
ACH-000022,-0.467260749679
ACH-000025,-0.38656374406599997
ACH-000028,-0.381683460612
ACH-000030,-0.00651777689363
ACH-000035,-0.924134515004
ACH-000036,-0.736512793677
ACH-000037,-0.17233764270799998
ACH-000039,-0.048365806501599995
ACH-000040,-0.117939679701
ACH-000041,0.155650528664
ACH-000042,-0.786925891963
ACH-000045,-0.376079815903
ACH-000047,-0.0708667328737
ACH-000052,-0.272519939635
ACH-000053,-1.0031422339700002
ACH-000054,-0.00888226563489
ACH-000055,-0.171155536989
ACH-000060,-0.543561208127
ACH-000067,-0.131922359036
ACH-000070,-0.201693300961
ACH-000075,-0.0954752679933
ACH-000078,-0.132779990399
ACH-000082,-0.469305511634
ACH-000085,-0.024348835431499998
ACH-000086,-0.426262563668
ACH-000087,0.0776052086295
ACH-000092,-0.7123959732490001
ACH-000095,-0.146348395902
ACH-000097,-0.22148673995499998
ACH-000098,-0.21461498053300002
ACH-000099,-0.00371309026316
ACH-000108,-0.301785567185
ACH-000113,-0.179596068187
ACH-000115,-0.42033311131800005
ACH-000116,-0.472264376202
ACH-000118,-0.8723996215340001
ACH-000120,0.0443446139532
ACH-000123,-0.500860255229
ACH-000127,-0.639442976061
ACH-000128,-0.572196245377
ACH-000132,-0.130078452737
ACH-000133,-0.0823549609886
ACH-000137,-0.658618925553
ACH-000138,-0.719818343769
ACH-000142,-0.8449543292470001
ACH-000143,-0.359344260598
ACH-000146,-0.6915795822990001
ACH-000148,-0.12740878935900002
ACH-000150,0.06436775386969999
ACH-000152,-0.0696294280943
ACH-000153,-0.875642079776
ACH-000159,-0.421915383184
ACH-000160,-0.9443074076469999
ACH-000163,-0.192021470545
ACH-000167,-0.9568740405230001
ACH-000168,-0.28489026002900003
ACH-000169,-0.448404840263
ACH-000178,-0.5140555923800001
ACH-000182,-0.360388510779
ACH-000183,-0.474407937054
ACH-000188,-0.816360674331
ACH-000189,-0.47891251717699995
ACH-000190,-0.594847910683
ACH-000198,-0.31318976032699997
ACH-000204,-0.768353739183
ACH-000206,-0.383539113283
ACH-000207,-0.7607725467450001
ACH-000211,-0.34916497143700004
ACH-000215,-0.168917269698
ACH-000221,-0.421282598525
ACH-000222,-0.244337181118
ACH-000223,-0.864667913372
ACH-000226,-0.596401105635
ACH-000227,-0.334347710054
ACH-000228,-1.09035580231
ACH-000231,-0.9511682167030001
ACH-000232,-0.33296647517
ACH-000233,-0.724103247922
ACH-000234,-0.24279926405299998
ACH-000235,-0.23490477055599998
ACH-000237,-0.681293038041
ACH-000238,-0.191766327286
