,WDR60 (55112)
ACH-000178,0.22325039483399997
ACH-000182,0.37061344192400003
ACH-000183,0.33756727626500005
ACH-000188,0.14898677083200002
ACH-000189,0.792172294638
ACH-000190,0.0827427919897
ACH-000198,0.458390743849
ACH-000204,0.11155567526599999
ACH-000206,0.284484677837
ACH-000207,0.417864136185
ACH-000211,0.32083722036400003
ACH-000215,0.284744581132
ACH-000221,0.493448693238
ACH-000222,0.341313003189
ACH-000223,0.270733547493
ACH-000226,0.390319111524
ACH-000227,0.37442814291
ACH-000228,0.351124145914
ACH-000231,0.292123923343
ACH-000232,0.395040095565
ACH-000233,0.285909129198
ACH-000234,0.221641160912
ACH-000235,0.29968582579999997
ACH-000237,0.0897751344539
ACH-000238,0.189328571655
ACH-000243,0.256597850677
ACH-000244,0.264738852004
ACH-000246,0.178710364246
ACH-000248,0.453081932508
ACH-000250,0.331448483011
ACH-000251,0.36156274261999993
ACH-000253,0.369816212027
ACH-000255,0.291048367473
ACH-000256,0.23496447506700002
ACH-000257,-0.133384650962
ACH-000258,0.485539013371
ACH-000259,0.210832734485
ACH-000260,0.304148117159
ACH-000261,0.294496956057
ACH-000262,0.513075645679
ACH-000263,0.301539269894
ACH-000264,0.377736519478
ACH-000265,0.286445482094
ACH-000266,0.15671056726500002
ACH-000272,0.27922259002300004
ACH-000273,0.35042061647699996
ACH-000274,0.293458640498
ACH-000277,0.356078307317
ACH-000278,0.178085069571
ACH-000279,0.255554261457
ACH-000280,0.357829893319
ACH-000281,0.181526898334
ACH-000288,0.29523828261
ACH-000291,0.27700688519600003
ACH-000293,0.35849113823299994
ACH-000294,0.28977115075300003
ACH-000295,0.526699766079
ACH-000296,0.220551684137
ACH-000302,0.289419304451
ACH-000304,0.38648414532200004
ACH-000307,0.288310562579
ACH-000308,0.30584407349
ACH-000310,0.0638681177569
ACH-000311,0.0704285705153
ACH-000312,0.111100583371
ACH-000315,0.21451925414
ACH-000316,0.307340470306
ACH-000317,0.34706185185599997
ACH-000318,0.46613350932899994
ACH-000319,0.0323808217442
ACH-000320,0.237871107466
ACH-000322,0.382006819096
ACH-000323,0.411701173992
ACH-000324,0.272987893656
ACH-000329,0.144718596615
ACH-000330,0.38319333849799997
ACH-000331,0.421040131321
ACH-000332,0.16867077696600002
ACH-000334,0.550422376409
ACH-000335,0.119815429544
ACH-000336,0.10155811578
ACH-000337,0.443279848336
ACH-000339,0.233013667781
ACH-000341,0.17117076832000003
ACH-000348,0.270423346052
ACH-000350,0.0032242944337
ACH-000352,0.171819210246
ACH-000356,0.30979245364
ACH-000361,0.399172367936
ACH-000362,0.27479735640299996
ACH-000363,0.215631707022
ACH-000364,0.399467586726
ACH-000365,0.25771987189
ACH-000366,0.385752302248
ACH-000368,0.0863670527182
ACH-000374,0.330429237999
ACH-000375,0.36885027182400004
ACH-000376,0.263409601782
ACH-000381,0.23802364090599998
ACH-000383,0.212212574681
ACH-000387,0.26626516785
ACH-000389,0.436481530603
ACH-000390,0.38275421161
ACH-000393,0.541191160672
ACH-000395,-0.07486691137939999
ACH-000397,0.20194398629500002
ACH-000401,0.184407687823
ACH-000402,0.283031753829
ACH-000403,0.363749390994
ACH-000404,0.326473422462
ACH-000406,0.23363137306499998
ACH-000407,0.45922203079400004
ACH-000408,0.538371968244
ACH-000410,0.430971939926
ACH-000411,0.326978192028
ACH-000414,0.49312882335600006
ACH-000415,0.30752765192299997
ACH-000416,0.31661669949
ACH-000420,0.293322046987
ACH-000421,0.321222466315
ACH-000424,0.517275329335
ACH-000425,0.315103357991
ACH-000426,0.19933695303100002
ACH-000427,0.272669823222
ACH-000433,0.227192594049
ACH-000436,0.430652331716
ACH-000444,0.162427093774
ACH-000445,0.410844855422
ACH-000448,0.273115794548
ACH-000450,0.582032730336
ACH-000452,0.299981994569
ACH-000454,0.228477981813
ACH-000458,0.353337620571
ACH-000459,0.645146308332
ACH-000460,0.342787700971
ACH-000461,0.236564869158
ACH-000463,0.363860347192
ACH-000464,0.304438691089
ACH-000466,0.236466012049
ACH-000467,0.19043357734299998
ACH-000468,0.172486962476
ACH-000469,0.5239053768999999
ACH-000470,0.19560288626400002
ACH-000471,0.314335406419
ACH-000472,0.27660341429
ACH-000473,0.177069272371
ACH-000475,0.364437483859
ACH-000476,0.309084959263
ACH-000477,0.08618492347710001
ACH-000480,0.288668515803
ACH-000481,0.43967997962
ACH-000483,0.220285994534
ACH-000484,0.280807835073
ACH-000485,0.490585524451
ACH-000486,0.304656489008
ACH-000487,0.300689864581
ACH-000488,0.375833309352
ACH-000490,0.22617879141199998
ACH-000491,0.319718405067
ACH-000495,0.137171382336
ACH-000496,0.124031601171
ACH-000499,0.66821317065
ACH-000500,0.604347362837
ACH-000502,0.181732765962
ACH-000503,0.44087066486000004
ACH-000505,0.171248841723
ACH-000507,0.263088639351
ACH-000510,0.416004884862
ACH-000511,0.472124185189
ACH-000512,-0.046811041865099996
ACH-000516,0.138603373773
ACH-000517,0.34960838240000003
ACH-000518,0.221011652307
ACH-000520,0.272927851795
ACH-000521,0.179545838196
ACH-000522,0.409482588032
ACH-000524,0.24008902282699998
ACH-000527,0.27790636172
ACH-000528,0.35508215548600003
ACH-000537,0.374566538961
ACH-000541,0.09821083253689998
ACH-000542,0.337665551631
ACH-000544,0.367510647264
ACH-000545,0.164137823588
ACH-000547,0.292422808333
ACH-000548,0.191770079991
ACH-000549,0.36773084589
ACH-000550,0.139137442861
ACH-000552,0.269994001015
ACH-000556,0.340904290785
ACH-000557,0.115492706524
ACH-000570,0.278670974024
ACH-000571,0.280365507984
ACH-000573,0.28706047538699997
ACH-000576,0.254169675876
ACH-000580,0.107176459956
ACH-000584,0.315311891089
ACH-000585,0.254084177743
ACH-000588,0.41399528804499997
ACH-000589,0.253067632829
ACH-000591,0.355612083769
ACH-000593,0.375136697164
ACH-000600,0.275567778825
ACH-000601,0.256654751023
ACH-000604,0.231213302685
ACH-000605,0.27847356511599997
ACH-000606,0.408474725311
ACH-000608,0.365372462781
ACH-000614,0.0989860844148
ACH-000616,0.32909170339099997
ACH-000618,0.303330051607
ACH-000619,0.293783192075
ACH-000620,0.329988081311
ACH-000621,0.29663672920899997
ACH-000622,0.356409906917
ACH-000623,0.41883794036300004
ACH-000624,0.29884420733000006
ACH-000627,0.19032661430599998
ACH-000630,0.472582864871
ACH-000632,0.276978305837
ACH-000633,0.217748152256
ACH-000637,0.6091169760230001
ACH-000638,0.46258138649999997
ACH-000646,0.0314803689783
ACH-000647,0.318239155038
ACH-000648,0.334808816216
ACH-000649,0.380726359488
ACH-000651,0.340244783095
ACH-000652,0.309039746006
ACH-000653,0.41687871009800004
ACH-000657,0.353921511087
ACH-000658,0.314808791641
ACH-000661,0.298513975302
ACH-000662,0.5241671215770001
ACH-000663,0.294519710446
ACH-000665,0.311045789375
ACH-000671,0.342795247692
ACH-000673,0.272341647753
ACH-000676,0.267765129725
ACH-000677,0.17114275917100003
ACH-000681,0.370466434796
ACH-000682,0.20338577227899998
ACH-000683,0.265810038789
ACH-000684,0.170427112794
ACH-000688,0.0425378770537
