,DUPD1 (338599)
ACH-000004,-0.0423703011464
ACH-000007,0.282250024121
ACH-000009,-0.107343208873
ACH-000011,-0.00628144190118
ACH-000012,-0.153436975773
ACH-000013,0.0325320406713
ACH-000014,-0.07999272157880001
ACH-000015,-0.260461522478
ACH-000017,-0.22522813350499998
ACH-000018,-0.431376488786
ACH-000019,-0.18401235966200002
ACH-000021,-0.142512350189
ACH-000022,-0.0389040716699
ACH-000025,-0.27911355091999995
ACH-000028,-0.110174723968
ACH-000030,-0.371955937936
ACH-000035,-0.157657623181
ACH-000036,0.060989025087299996
ACH-000037,-0.16219870014
ACH-000039,-0.0455404857049
ACH-000040,-0.174446549944
ACH-000041,-0.141412582644
ACH-000042,-0.212357161192
ACH-000045,-0.110368113189
ACH-000047,-0.0387963937962
ACH-000052,-0.188121827835
ACH-000053,-0.054297304112999996
ACH-000054,-0.0603385695639
ACH-000055,-0.117217202149
ACH-000060,-0.127746207948
ACH-000067,-0.351652719948
ACH-000070,-0.112609321
ACH-000075,0.10592478608999999
ACH-000078,0.0809843903394
ACH-000082,0.0140529410298
ACH-000085,0.106730039729
ACH-000086,-0.101201128932
ACH-000087,-0.139619230992
ACH-000092,0.0634738454419
ACH-000095,-0.0216732962354
ACH-000097,0.0131991595816
ACH-000098,-0.0336888780425
ACH-000099,-0.0535834011165
ACH-000108,-0.213674468748
ACH-000113,-0.05898208533819999
ACH-000115,-0.143417114845
ACH-000116,-0.0038440274636399995
ACH-000118,-0.32407419118
ACH-000120,-0.0650218454628
ACH-000123,0.010356027462700002
ACH-000127,-0.118423875429
ACH-000128,-0.129880384949
ACH-000132,-0.0695247175834
ACH-000133,-0.0981858626327
ACH-000137,-0.0407191717709
ACH-000138,-0.11709091798900001
ACH-000142,-0.0184498675297
ACH-000143,-0.101255820391
ACH-000146,-0.250422376818
ACH-000148,-0.174789567563
ACH-000150,-0.124067153577
ACH-000152,-0.131970738481
ACH-000153,-0.10966843957
ACH-000159,-0.064922367004
ACH-000160,-0.0349564428318
ACH-000163,-0.155277775548
ACH-000167,0.11138789910599999
ACH-000168,-0.212078194753
ACH-000169,-0.0511377306549
ACH-000178,-0.136176584053
ACH-000182,-0.242290405715
ACH-000183,-0.0813403103594
ACH-000188,-0.07206631592349999
ACH-000189,-0.35261968544399996
ACH-000190,-0.187995320147
ACH-000198,-0.0716294551223
ACH-000204,-0.161350549037
ACH-000206,-0.23116394265299997
ACH-000207,-0.457186730357
ACH-000211,-0.17763597981600002
ACH-000215,-0.0660277876716
ACH-000221,-0.11946103928
ACH-000222,-0.199818355268
ACH-000223,-0.11342382919000002
ACH-000226,-0.088189166058
ACH-000227,-0.07605495369910001
ACH-000228,-0.163192710347
ACH-000231,-0.247252165071
ACH-000232,-0.021513002601400003
ACH-000233,-0.157441563949
ACH-000234,-0.138149969678
ACH-000235,-0.130138622859
ACH-000237,-0.0653705737717
ACH-000238,0.14298890304300002
ACH-000243,-0.217938949231
ACH-000244,0.00272793534788
ACH-000246,-0.09452932010019999
ACH-000248,-0.14620606120100002
ACH-000250,-0.042171239359599995
ACH-000251,-0.28315442126999996
ACH-000253,0.09992433928
ACH-000255,-0.24548852718199998
ACH-000256,0.000158654198701
ACH-000257,-0.274836316939
ACH-000258,-0.154635851276
ACH-000259,-0.169328515392
ACH-000260,-0.09578722302310001
ACH-000261,-0.10328822814099999
ACH-000262,-0.204993523434
ACH-000263,-0.5284066504020001
ACH-000264,-0.0727190946047
ACH-000265,-0.0184868687024
ACH-000266,-0.0516621957321
ACH-000272,0.00419950306938
ACH-000273,-0.04482222225219999
ACH-000274,-0.048698603743900004
ACH-000277,-0.12191186878799999
ACH-000278,-0.0400991205885
ACH-000279,-0.227863630269
ACH-000280,0.00737151749056
ACH-000281,-0.251166758522
ACH-000288,-0.0696566085039
ACH-000291,-0.006575743628529999
ACH-000293,-0.12110074088600001
ACH-000294,-0.172034398732
ACH-000295,-0.15074917731100002
ACH-000296,-0.207671586886
ACH-000302,-0.0972557523689
ACH-000304,-0.0037473352580399996
ACH-000307,-0.108969444044
ACH-000308,-0.154762910978
ACH-000310,-0.09560584055060001
ACH-000311,-0.23766552065000002
ACH-000312,-0.300960862344
ACH-000315,-0.150561101525
ACH-000316,-0.15080960403899998
ACH-000317,-0.0886284218417
ACH-000318,-0.136740007734
ACH-000319,-0.05230982138169999
ACH-000320,-0.319479204991
ACH-000322,0.00204623077551
ACH-000323,-0.044527880827900004
ACH-000324,-0.10527182611300001
ACH-000329,-0.112569939626
ACH-000330,-0.375238115767
ACH-000331,-0.197016759568
ACH-000332,-0.16269386202299999
ACH-000334,0.13124528474400002
ACH-000335,-0.278999596952
ACH-000336,-0.116667679809
ACH-000337,-0.39215572356899997
ACH-000339,-0.060296277029800005
ACH-000341,-0.135052483947
ACH-000348,0.07451675630599999
ACH-000350,-0.254141479509
ACH-000352,-0.07845540357760002
ACH-000356,-0.0280954105256
ACH-000361,0.0602019540823
ACH-000362,-0.0595351567413
ACH-000363,-0.0877635095359
ACH-000364,-0.0261458101028
ACH-000365,-0.160294639174
ACH-000366,-0.079083003958
ACH-000368,-0.09505074156130001
ACH-000374,-0.247503823064
ACH-000375,-0.0568047621926
ACH-000376,-0.184840515257
ACH-000381,-0.14756275086200002
ACH-000383,-0.034516475215199995
ACH-000387,-0.164611244804
ACH-000389,-0.0602284789846
ACH-000390,-0.037019020888699995
ACH-000393,-0.183875432128
ACH-000395,-0.176708704241
ACH-000397,-0.12693357769000002
ACH-000401,0.0652860946487
ACH-000402,-0.171261273792
ACH-000403,-0.0519478171353
ACH-000404,0.09054109889810001
ACH-000406,-0.126980335922
ACH-000407,-0.07976675494
ACH-000408,-0.290177571387
ACH-000410,-0.179633286723
ACH-000411,-0.04664491399159999
ACH-000414,-0.0379627187024
ACH-000415,-0.164086473633
ACH-000416,-0.124503268291
ACH-000420,-0.158514947881
ACH-000421,0.0141821191189
ACH-000424,-0.0375952321674
ACH-000425,-0.0998216615673
ACH-000426,-0.168896770554
ACH-000427,0.0381958757642
ACH-000433,-0.06715684048039999
ACH-000436,-0.0952874940747
ACH-000444,-0.21007912696400002
