,CYB561 (1534)
ACH-000004,-0.44525166432999996
ACH-000007,-0.361020749282
ACH-000009,-0.162806563023
ACH-000011,-0.0716164768104
ACH-000012,-0.37285680466700005
ACH-000013,-0.26578992841800003
ACH-000014,-0.371683372236
ACH-000015,-0.18947415047200003
ACH-000017,-0.364495840913
ACH-000018,-0.35963727308700005
ACH-000019,-0.571454369984
ACH-000021,-0.222509701127
ACH-000022,-0.373410721175
ACH-000025,-0.256374070709
ACH-000028,-0.26939314480300003
ACH-000030,-0.23842387617600003
ACH-000035,-0.537381530088
ACH-000036,-0.221897771828
ACH-000037,-0.115372885399
ACH-000039,-0.19983700123
ACH-000040,-0.378502015563
ACH-000041,-0.25410612469599997
ACH-000042,-0.19850718329999997
ACH-000045,-0.257819442398
ACH-000047,-0.24812400462200002
ACH-000052,0.00537144136507
ACH-000053,-0.281794922108
ACH-000054,-0.376577512823
ACH-000055,-0.343379330268
ACH-000060,-0.237577708854
ACH-000067,-0.36543221388700003
ACH-000070,0.0746062845939
ACH-000075,-0.10667592472899999
ACH-000078,-0.38938407008299997
ACH-000082,-0.3974069336
ACH-000085,-0.21942198586699999
ACH-000086,-0.270557200932
ACH-000087,-0.48027742547200003
ACH-000092,-0.12245605210300001
ACH-000095,-0.32134772741
ACH-000097,-0.250484326566
ACH-000098,-0.306233673728
ACH-000099,-0.320882574214
ACH-000108,-0.256667586586
ACH-000113,-0.262235171301
ACH-000115,-0.138884276318
ACH-000116,-0.262293948424
ACH-000118,-0.30218449065200004
ACH-000120,-0.5998591946
ACH-000123,-0.09981073648739999
ACH-000127,-0.22808467834600002
ACH-000128,-0.18170821806899998
ACH-000132,-0.172247226639
ACH-000133,-0.163093438644
ACH-000137,-0.238135107977
ACH-000138,-0.178329165858
ACH-000142,-0.426944746994
ACH-000143,-0.15890498157400001
ACH-000146,-0.26375212739799997
ACH-000148,-0.355259195818
ACH-000150,-0.15623618005599998
ACH-000152,-0.46061332736
ACH-000153,0.00364108304847
ACH-000159,-0.289065783618
ACH-000160,-0.136100051401
ACH-000163,-0.628281765198
ACH-000167,-0.299708261232
ACH-000168,-0.32164649852
ACH-000169,-0.208142601404
ACH-000178,-0.061953790955400004
ACH-000182,-0.0660052722859
ACH-000183,-0.326127506033
ACH-000188,-0.111799163195
ACH-000189,-0.0394005652519
ACH-000190,-0.30583536488400004
ACH-000198,-0.19859368539299999
ACH-000204,-0.07468448074760001
ACH-000206,0.030280232086400002
ACH-000207,0.0844794143024
ACH-000211,-0.22541311944200002
ACH-000215,-0.268399948825
ACH-000221,-0.37628893229599997
ACH-000222,0.058878686645400004
ACH-000223,-0.25982994556
ACH-000226,-0.463035882239
ACH-000227,-0.5149847333500001
ACH-000228,-0.32641895557100004
ACH-000231,-0.288949191061
ACH-000232,-0.321223924456
ACH-000233,-0.26824471192
ACH-000234,-0.281877258309
ACH-000235,-0.227432387069
ACH-000237,-0.19391041864599998
ACH-000238,-0.490893136799
ACH-000243,-0.402505720529
ACH-000244,-0.453489421118
ACH-000246,-0.310235119577
ACH-000248,-0.40960929435099996
ACH-000250,-0.290330555442
ACH-000251,-0.319644779188
ACH-000253,-0.307332146794
ACH-000255,-0.129807990478
ACH-000256,-0.23102650159899998
ACH-000257,-0.14138762426100002
ACH-000258,-0.263920521064
ACH-000259,-0.241991625164
ACH-000260,-0.269987663665
ACH-000261,-0.356302905343
ACH-000262,-0.204030669956
ACH-000263,-0.475160164603
ACH-000264,-0.5836459478580001
ACH-000265,-0.19765164981
ACH-000266,-0.215625707946
ACH-000272,-0.106420981173
ACH-000273,-0.123090198233
ACH-000274,-0.258295957698
ACH-000277,-0.286099057399
ACH-000278,-0.248159787599
ACH-000279,-0.228226049851
ACH-000280,-0.07513764050489999
ACH-000281,-0.349415353623
ACH-000288,-0.35959426841200004
ACH-000291,-0.144886143621
ACH-000293,-0.15746527897600002
ACH-000294,-0.0360616388893
ACH-000295,-0.52208602522
ACH-000296,-0.519252804602
ACH-000302,-0.21430113419100003
ACH-000304,-0.0411616009502
ACH-000307,-0.257919778953
ACH-000308,-0.223652602288
ACH-000310,-0.53096888898
ACH-000311,-0.0313374534688
ACH-000312,-0.14856673706700002
ACH-000315,-0.335223113098
ACH-000316,-0.480498050131
ACH-000317,-0.30953830889199996
ACH-000318,-0.129944406575
ACH-000319,-0.404417477298
ACH-000320,-0.24223793351999998
ACH-000322,-0.284191145867
ACH-000323,-0.272786486639
ACH-000324,-0.363736171201
ACH-000329,-0.300324023143
ACH-000330,-0.264308092377
ACH-000331,-0.2229674643
ACH-000332,-0.238112883206
ACH-000334,-0.0267709575495
ACH-000335,-0.34264288214500005
ACH-000336,-0.5627326665869999
ACH-000337,-0.522413580805
ACH-000339,-0.320734864339
