,AFMID (125061)
ACH-000004,-0.050202885367
ACH-000007,-0.043095699600300005
ACH-000009,-0.24491932775
ACH-000011,0.07345788849780001
ACH-000012,-0.031592695064599996
ACH-000013,-0.129330447704
ACH-000014,0.101749092928
ACH-000015,0.039542609787699995
ACH-000017,-0.0521748809186
ACH-000018,0.211043944939
ACH-000019,-0.0796394760394
ACH-000021,0.0622950572804
ACH-000022,-0.035729745415800006
ACH-000025,0.14239181337
ACH-000028,-0.04517317129790001
ACH-000030,0.0306193797438
ACH-000035,-0.05847966394759999
ACH-000036,0.044125885863500004
ACH-000037,-0.056955265906300005
ACH-000039,0.0211123272202
ACH-000040,-0.152064434133
ACH-000041,-0.0668932343571
ACH-000042,-0.0164618794368
ACH-000045,-0.0858354825145
ACH-000047,0.0239936511284
ACH-000052,-0.255614637433
ACH-000053,-0.0152015329192
ACH-000054,-0.00253329269881
ACH-000055,-0.13664327467499998
ACH-000060,-0.101129858933
ACH-000067,-0.022835376802
ACH-000070,-0.06740933877159999
ACH-000075,0.0313805468106
ACH-000078,-0.252781029872
ACH-000082,0.00683853012159
ACH-000085,-0.101236760504
ACH-000086,0.0597096012701
ACH-000087,-0.356235195642
ACH-000092,0.07033937501639999
ACH-000095,-0.0907226124856
ACH-000097,-0.14447235137599998
ACH-000098,-0.00389389239635
ACH-000099,-0.278216834575
ACH-000108,-0.225256858247
ACH-000113,0.0295256839341
ACH-000115,-0.182047464554
ACH-000116,-0.22392831532699997
ACH-000118,-0.288231157112
ACH-000120,-0.6316317953239999
ACH-000123,0.0709683686499
ACH-000127,-0.16054392605
ACH-000128,0.055491039731900005
ACH-000132,-0.10254532024700001
ACH-000133,0.11540452920199999
ACH-000137,0.0152440179188
ACH-000138,-0.117921435915
ACH-000142,-0.135741282035
ACH-000143,-0.00790662548549
ACH-000146,0.106905010832
ACH-000148,-0.0159379498354
ACH-000150,-0.20790188872999998
ACH-000152,-0.115010259336
ACH-000153,0.228015603668
ACH-000159,-0.05178950691880001
ACH-000160,-0.197809513993
ACH-000163,-0.09228294049380001
ACH-000167,0.08743801359539999
ACH-000168,-0.339390674044
ACH-000169,-0.0655054108046
ACH-000178,0.0118572424796
ACH-000182,0.00332316440899
ACH-000183,-0.121393683034
ACH-000188,-0.08769672517760001
ACH-000189,-0.27607312869899997
ACH-000190,-0.36633249893700004
ACH-000198,-0.0360686251479
