,E2F1 (1869)
ACH-000004,-0.569074068241
ACH-000007,-0.474295488068
ACH-000009,-0.29942879842500003
ACH-000011,-0.0748966256793
ACH-000012,-0.37973924738799997
ACH-000013,-0.21611490818300003
ACH-000014,-0.34692314031599997
ACH-000015,-0.045682649241199996
ACH-000017,0.21411176602200002
ACH-000018,-0.272568547757
ACH-000019,-0.247342050082
ACH-000021,-0.116348846822
ACH-000022,-0.285914141713
ACH-000025,-0.6485261349329999
ACH-000028,-0.300026834025
ACH-000030,-0.24172593388099997
ACH-000035,-0.170643422726
ACH-000036,-0.10990858846200001
ACH-000037,-0.146968823144
ACH-000039,-0.276099562816
ACH-000040,-0.44607933080799994
ACH-000041,0.10669157088600001
ACH-000042,-1.09895116466
ACH-000045,-0.386839572126
ACH-000047,-0.386182131082
ACH-000052,-0.0621940644643
ACH-000053,-0.169752161569
ACH-000054,-0.377412561162
ACH-000055,-0.432415138137
ACH-000060,-0.8359997798700001
ACH-000067,-0.270049454498
ACH-000070,-0.158515894508
ACH-000075,-0.274346072537
ACH-000078,-0.374001733584
ACH-000082,-0.32707156743500004
ACH-000085,-0.31943954273
ACH-000086,-0.496766207825
ACH-000087,-0.0928963653998
ACH-000092,-0.283193562689
ACH-000095,-0.414870613475
ACH-000097,-0.282470839306
ACH-000098,-0.264823230861
ACH-000099,-0.30886070407
ACH-000108,-0.0680012491455
ACH-000113,-0.463613886875
ACH-000115,0.0273462857878
ACH-000116,-0.8974432245209999
ACH-000118,-0.39537189063600003
ACH-000120,-0.18429252331300003
ACH-000123,-0.469014043133
ACH-000127,-0.244334298365
ACH-000128,-0.725255251927
ACH-000132,-0.0306010322419
ACH-000133,-0.576399135917
ACH-000137,-0.271246631616
ACH-000138,-0.27793287001
ACH-000142,-0.225475955511
ACH-000143,-0.426516302812
ACH-000146,-0.42125550594899996
ACH-000148,-0.355715141875
ACH-000150,-0.119494630504
ACH-000152,-0.477184822092
ACH-000153,-0.479793630618
ACH-000159,-0.482977314711
ACH-000160,0.25664374824299996
ACH-000163,-0.35892212852
ACH-000167,0.17839241528799998
ACH-000168,-0.443365377696
ACH-000169,-0.457878714582
ACH-000178,-0.647449304722
ACH-000182,-0.27851714064
ACH-000183,-0.456414599338
ACH-000188,-0.295185310509
ACH-000189,-0.7598314086939999
ACH-000190,0.0292568154903
ACH-000198,-0.110114226495
