,UVRAG (7405)
ACH-000004,-0.284648025853
ACH-000007,-0.144044265987
ACH-000009,-0.189174112621
ACH-000011,-0.38169703726800003
ACH-000012,-0.112983826757
ACH-000013,-0.139408328267
ACH-000014,0.0209496311402
ACH-000015,-0.21534044536699998
ACH-000017,-0.603457120583
ACH-000018,-0.269316488642
ACH-000019,-0.43022289941799996
ACH-000021,-0.210263798326
ACH-000022,-0.21622302395399998
ACH-000025,-0.245744944971
ACH-000028,-0.319647978508
ACH-000030,-0.150492148387
ACH-000035,-0.44746692415399997
ACH-000036,-0.34017950825300003
ACH-000037,-0.187301170257
ACH-000039,-0.217969476853
ACH-000040,-0.17711087568199999
ACH-000041,-0.0640774652717
ACH-000042,-0.375789806857
ACH-000045,-0.38685567638
ACH-000047,-0.447468187026
ACH-000052,-0.185874446615
ACH-000053,-0.431627484538
ACH-000054,-0.361670528468
ACH-000055,0.038341878151800006
ACH-000060,-0.0393297480315
ACH-000067,0.20176916018399998
ACH-000070,-0.330368570817
ACH-000075,-0.24718031253400002
ACH-000078,-0.045385153336199996
ACH-000082,-0.46768607165700005
ACH-000085,-0.195415852453
ACH-000086,-0.455329888217
ACH-000087,-0.162472624319
ACH-000092,-0.499513596922
ACH-000095,-0.112124451694
ACH-000097,-0.270304601241
ACH-000098,-0.31481055049400003
ACH-000099,-0.294796008818
ACH-000108,-0.114578520515
ACH-000113,-0.410518267935
ACH-000115,-0.259985686982
ACH-000116,-0.342546624284
ACH-000118,-0.36341877808300005
ACH-000120,-0.40955464741
ACH-000123,-0.25321290378600003
ACH-000127,-0.17271747725699998
ACH-000128,-0.130719669197
ACH-000132,-0.305104313284
ACH-000133,-0.215903815251
ACH-000137,-0.303569274576
ACH-000138,-0.32398294501499997
ACH-000142,-0.562499490068
ACH-000143,-0.06432017960580001
ACH-000146,-0.114209839333
ACH-000148,-0.199460462193
ACH-000150,-0.20679754157900002
ACH-000152,-0.48548324166400003
ACH-000153,-0.26735045816799996
ACH-000159,-0.20560680967300002
ACH-000160,-0.295421452093
ACH-000163,-0.0638223966168
ACH-000167,-0.291915806792
ACH-000168,-0.261243308277
ACH-000169,-0.319960224276
ACH-000178,-0.228716072999
ACH-000182,-0.217956437124
ACH-000183,-0.14809491934
ACH-000188,-0.431188210555
ACH-000189,-0.048111530028999996
ACH-000190,-0.498130582079
ACH-000198,-0.398545011351
ACH-000204,-0.15111554378699998
ACH-000206,-0.542803737369
ACH-000207,-0.338507668631
ACH-000211,-0.384633862765
ACH-000215,-0.20292282284200003
ACH-000221,-0.0005617905310700001
ACH-000222,-0.259585726484
ACH-000223,-0.41274960544699996
ACH-000226,-0.250821829591
ACH-000227,-0.07585948380039999
ACH-000228,-0.37853180290700006
ACH-000231,-0.242985786219
ACH-000232,-0.08887510872360001
ACH-000233,-0.324596226543
ACH-000234,-0.555935918854
ACH-000235,-0.276137293394
