,GKN1 (56287)
ACH-000004,0.308822770026
ACH-000007,-0.132219161294
ACH-000009,-0.013639340495799998
ACH-000011,0.0626743282863
ACH-000012,0.0108414435224
ACH-000013,-0.00257516119671
ACH-000014,0.0508676373121
ACH-000015,0.00519925784951
ACH-000017,0.0440875623615
ACH-000018,-0.127963528524
ACH-000019,0.0793047638341
ACH-000021,-0.10913206917099999
ACH-000022,0.0162379177769
ACH-000025,-0.0495351105719
ACH-000028,-0.0733621319015
ACH-000030,-0.0158216673829
ACH-000035,-0.141170270055
ACH-000036,0.00202234452739
ACH-000037,0.222433113391
ACH-000039,-0.0981341693441
ACH-000040,0.0165058005376
ACH-000041,0.17884195465100003
ACH-000042,-0.07444788345060001
ACH-000045,0.10272339776900001
ACH-000047,0.0729074710929
ACH-000052,0.0972716367889
ACH-000053,-0.0922565585146
ACH-000054,0.047699332977
ACH-000055,-0.0658076648775
ACH-000060,-0.144402908711
ACH-000067,0.0903113908285
ACH-000070,0.0755076642062
ACH-000075,0.0204809705143
ACH-000078,0.134238093571
ACH-000082,0.09012760394960001
ACH-000085,0.09080928245810001
ACH-000086,-0.0990922492438
ACH-000087,0.118694831511
ACH-000092,-0.21027424336199999
ACH-000095,0.020147440710400002
ACH-000097,-0.0989250062758
ACH-000098,0.0826621956232
ACH-000099,0.00602855372367
ACH-000108,0.0766435845065
ACH-000113,0.056363026439899995
ACH-000115,0.034187601729200004
ACH-000116,0.0025688412518600004
ACH-000118,-0.0711759815752
ACH-000120,-0.043269637958800004
ACH-000123,0.00253159456162
ACH-000127,-0.108909036074
ACH-000128,-0.06276985084549999
ACH-000132,0.0817079677456
ACH-000133,-0.0317647330065
ACH-000137,-0.23009438148800002
ACH-000138,0.0245659612995
ACH-000142,0.111203991751
ACH-000143,0.10185604902999999
ACH-000146,-0.0192067449149
ACH-000148,0.0995984660175
ACH-000150,-0.016431635009299998
ACH-000152,0.127411296486
ACH-000153,-0.0018790509766300001
ACH-000159,0.00116318334521
ACH-000160,0.0634707472155
ACH-000163,0.011073625600100001
ACH-000167,0.165191291064
ACH-000168,0.08904829715089999
ACH-000169,0.036871366642
ACH-000178,0.0803317756106
ACH-000182,-0.116722988128
ACH-000183,0.08651919248670001
ACH-000188,-0.0219661630609
ACH-000189,0.035267862190099995
ACH-000190,-0.152887677046
ACH-000198,0.06258782875760001
ACH-000204,0.006594551895770001
ACH-000206,-0.26044462057900003
ACH-000207,0.07764188367569999
ACH-000211,0.0309990361217
ACH-000215,-0.192015851699
ACH-000221,-0.0357438449861
