,ADRA1A (148)
ACH-000004,0.096693288903
ACH-000007,-0.07798350686660001
ACH-000009,0.153550929846
ACH-000011,0.35470094500699995
ACH-000012,0.284528441117
ACH-000013,0.24720915799499998
ACH-000014,0.228688709093
ACH-000015,0.218536919375
ACH-000017,0.050914512276599995
ACH-000018,0.46396747627400003
ACH-000019,0.554724968829
ACH-000021,0.304736100631
ACH-000022,0.249063280183
ACH-000025,0.0424971391734
ACH-000028,0.125431113928
ACH-000030,0.20654925466600002
ACH-000035,0.228564513811
ACH-000036,0.326797864125
ACH-000037,0.345056972553
ACH-000039,0.310338761139
ACH-000040,0.37655901656199997
ACH-000041,0.0653638707378
ACH-000042,0.203646066457
ACH-000045,0.453270793044
ACH-000047,0.116172546072
ACH-000052,0.313509220691
ACH-000053,0.204070494414
ACH-000054,0.329793141478
ACH-000055,0.11743566655
ACH-000060,0.22620278215300002
ACH-000067,0.18525757114799998
ACH-000070,0.06389743845990001
ACH-000075,0.38647514882899997
ACH-000078,0.298104475303
ACH-000082,0.254958154436
ACH-000085,0.142873856736
ACH-000086,0.425307810879
ACH-000087,0.310079240544
ACH-000092,0.3242106302
ACH-000095,0.321873819287
ACH-000097,0.23388813389600002
ACH-000098,0.46962159953
ACH-000099,0.19854467358199998
ACH-000108,0.33799954100100005
ACH-000113,0.14495104511600002
ACH-000115,0.0647031971736
ACH-000116,0.317856736825
ACH-000118,0.13611384903100002
ACH-000120,0.251534886325
ACH-000123,0.236136338367
ACH-000127,0.143929567194
ACH-000128,0.209414717185
ACH-000132,0.12335253042099999
ACH-000133,0.185215625475
ACH-000137,0.22429291497200002
ACH-000138,0.255127878205
ACH-000142,0.31930110782
ACH-000143,0.42906966680200004
ACH-000146,0.0418910919105
ACH-000148,0.24604223895799998
ACH-000150,-0.08625011421420001
ACH-000152,0.32394146375300004
ACH-000153,0.0139690487866
ACH-000159,0.225193616056
ACH-000160,0.460328218442
ACH-000163,0.00820109192668
ACH-000167,0.0704389537458
ACH-000168,0.047938047608900004
ACH-000169,0.251633863679
ACH-000178,0.171131815023
ACH-000182,0.149090955032
ACH-000183,0.180694048228
ACH-000188,0.382839433059
ACH-000189,0.10301190154999999
ACH-000190,0.0681976929221
ACH-000198,0.280591898
ACH-000204,0.22094586215
ACH-000206,0.279090517086
ACH-000207,-0.130498550113
ACH-000211,0.119169276393
ACH-000215,0.210916605032
ACH-000221,0.154849195497
ACH-000222,0.30312284775
ACH-000223,0.235211550196
ACH-000226,0.348556447148
ACH-000227,0.094707664352
ACH-000228,0.181363001309
ACH-000231,0.3218362785
ACH-000232,0.333296211992
ACH-000233,0.234578360574
ACH-000234,0.35743937901600004
ACH-000235,0.28463615557300004
ACH-000237,0.318952079379
ACH-000238,0.279371602444
ACH-000243,0.20568177573399998
ACH-000244,0.445745482258
ACH-000246,0.27844540380800004
ACH-000248,-0.0169810700957
ACH-000250,0.16878259949299998
ACH-000251,0.412781306788
ACH-000253,0.014488030996
ACH-000255,0.352327583365
ACH-000256,0.19120785025400003
ACH-000257,-0.025742088815
ACH-000258,0.280957456989
ACH-000259,0.325284408029
ACH-000260,0.296803043393
ACH-000261,0.132071101337
ACH-000262,0.229811121906
ACH-000263,0.437631281423
ACH-000264,0.164787385439
ACH-000265,0.215800363264
ACH-000266,0.349461292403
ACH-000272,0.288319691421
ACH-000273,0.46531376317199996
ACH-000274,0.22330550241
ACH-000277,0.199191178673
ACH-000278,0.22165834001200002
ACH-000279,0.24363419937300002
ACH-000280,0.22491718304400002
ACH-000281,0.342487451436
ACH-000288,0.259696167243
ACH-000291,0.214994041264
ACH-000293,0.280836255538
ACH-000294,0.186972328022
ACH-000295,0.10639975184
ACH-000296,0.171432827857
ACH-000302,0.164679552637
ACH-000304,0.261301214338
ACH-000307,0.202863884767
ACH-000308,0.172796911224
ACH-000310,0.144621662358
ACH-000311,0.255720759826
ACH-000312,0.433267594158
ACH-000315,0.148084483466
ACH-000316,0.35678650110200005
ACH-000317,-0.0467096930286
ACH-000318,0.300164513609
ACH-000319,0.26911105661999996
ACH-000320,0.16723128156300002
ACH-000322,0.20936586473700003
ACH-000323,0.35196125541900003
ACH-000324,0.214515138874
ACH-000329,0.311355553399
ACH-000330,0.0369172342185
ACH-000331,0.411532170606
ACH-000332,0.30735327091
ACH-000334,0.225388420722
ACH-000335,0.135684389202
