,BAK1 (578)
ACH-000004,-0.531506017323
ACH-000007,-0.306208586332
ACH-000009,-0.7461241954369999
ACH-000011,-0.324606015244
ACH-000012,-0.311144136254
ACH-000013,-0.29269346636599997
ACH-000014,-0.513855446214
ACH-000015,-0.170096211566
ACH-000017,-0.556076688186
ACH-000018,-0.228516020793
ACH-000019,-0.258764528652
ACH-000021,-0.31684694808
ACH-000022,-0.426231240062
ACH-000025,-0.35590684455300003
ACH-000028,-0.21879943262899998
ACH-000030,-0.409141446276
ACH-000035,-0.600979785079
ACH-000036,-0.38147716050700003
ACH-000037,-0.406795558894
ACH-000039,-0.0389271845729
ACH-000040,-0.461781058671
ACH-000041,-0.138237874547
ACH-000042,-0.6517759462380001
ACH-000045,-0.30007488931299997
ACH-000047,-0.270025666465
ACH-000052,-0.271028518164
ACH-000053,-0.418191010265
ACH-000054,-0.44824792334799995
ACH-000055,-0.330937837075
ACH-000060,-0.46311752855899996
ACH-000067,-0.258496151864
ACH-000070,-0.191030973241
ACH-000075,-0.379454391105
ACH-000078,-0.7379793738349999
ACH-000082,-0.380673109324
ACH-000085,-0.48192111080600003
ACH-000086,-0.284807590029
ACH-000087,-0.225642835643
ACH-000092,-0.496627079036
ACH-000095,-0.440582298539
ACH-000097,-0.37807055608999995
ACH-000098,-0.194573320496
ACH-000099,-0.44752272063799997
ACH-000108,-0.370830588928
ACH-000113,-0.330446646165
ACH-000115,-0.266855365552
ACH-000116,-0.30327391986200003
ACH-000118,-0.37674994496799996
ACH-000120,-0.415546604301
ACH-000123,-0.34960336219099997
ACH-000127,-0.44989583112899995
ACH-000128,-0.18928974065600002
ACH-000132,-0.390025887067
ACH-000133,-0.332200900231
ACH-000137,-0.0502476548998
ACH-000138,-0.46903539016199997
ACH-000142,-0.292772804557
ACH-000143,-0.255469306185
ACH-000146,-0.22812916786999995
ACH-000148,-0.123503692
ACH-000150,-0.533565566136
ACH-000152,-0.271933640698
ACH-000153,-0.312152699071
ACH-000159,-0.451845233861
ACH-000160,-0.343549845838
ACH-000163,-0.228412335129
ACH-000167,-0.319046784238
ACH-000168,-0.397537376616
ACH-000169,-0.383455124648
ACH-000178,-0.404225119054
ACH-000182,-0.360230928557
ACH-000183,-0.26391666119
ACH-000188,-0.39418298760399995
ACH-000189,-0.465366632247
ACH-000190,-0.428572944423
ACH-000198,-0.32008127627
ACH-000204,0.21523497356600002
ACH-000206,-0.413035966777
ACH-000207,-0.35271230606
ACH-000211,-0.392705415113
ACH-000215,-0.421782782272
ACH-000221,0.258259248688
ACH-000222,-0.0988226695483
ACH-000223,-0.561630561761
ACH-000226,-0.38810366469
ACH-000227,-0.918291090192
ACH-000228,-0.172541531389
ACH-000231,-0.313448624589
ACH-000232,-0.437119226764
ACH-000233,-0.38526314265
ACH-000234,-0.45156358829899995
ACH-000235,-0.542163970459
ACH-000237,-0.153902018419
ACH-000238,-0.32474354982500003
ACH-000243,-0.40997049390900003
ACH-000244,-0.24673116186000002
ACH-000246,-0.453489760203
ACH-000248,-0.379079535259
ACH-000250,-0.61954827361
ACH-000251,-0.28370158432799997
ACH-000253,-0.465945688662
ACH-000255,-0.36862722161399997
ACH-000256,-0.288128338237
ACH-000257,-0.261814547896
ACH-000258,-0.335505118047
ACH-000259,-0.405832567585
ACH-000260,-0.440784238895
ACH-000261,-0.29089915978
ACH-000262,-0.0671359823629
ACH-000263,-0.33935476661799996
ACH-000264,-0.49033635496399997
ACH-000265,-0.37875148813299997
ACH-000266,-0.362447492526
ACH-000272,-0.576447139439
ACH-000273,-0.404260826461
ACH-000274,-0.630716806253
ACH-000277,-0.34953818509499995
ACH-000278,-0.38985687440800004
ACH-000279,-0.45599770025799996
ACH-000280,-0.33685181334299996
ACH-000281,-0.216626586226
ACH-000288,-0.376030678076
ACH-000291,-0.513616246144
ACH-000293,-0.346294672574
ACH-000294,-0.44704935354099995
ACH-000295,-0.135022699309
ACH-000296,-0.43537546987
ACH-000302,-0.372316815291
ACH-000304,-0.186217358398
ACH-000307,-0.18217858830400002
ACH-000308,-0.6414167099620001
ACH-000310,-0.699240430853
ACH-000311,-0.43160948897
ACH-000312,-0.515888500289
ACH-000315,-0.378284653855
ACH-000316,-0.344363828029
ACH-000317,-0.297041483808
ACH-000318,-0.427832929613
ACH-000319,-0.18274415809500003
ACH-000320,-0.432875828803
ACH-000322,-0.235338106534
ACH-000323,-0.5262761352549999
ACH-000324,-0.37029284733499995
ACH-000329,-0.42734349526500004
ACH-000330,-0.585135084655
ACH-000331,-0.41548190312100003
ACH-000332,-0.382993802117
ACH-000334,-0.421061943927
ACH-000335,-0.142618251991
ACH-000336,-0.21353271177799998
ACH-000337,-0.619007477162
ACH-000339,-0.529733556029
ACH-000341,-0.30620787895999996
ACH-000348,-0.255399185051
ACH-000350,-0.047610917585199995
ACH-000352,-0.374890712198
ACH-000356,-0.5406149021500001
ACH-000361,-0.379227534612
ACH-000362,-0.255461481931
ACH-000363,-0.453010973842
ACH-000364,-0.22387222123199998
ACH-000365,-0.38720023151999994
ACH-000366,-0.149542843719
ACH-000368,-0.463057615318
ACH-000374,-0.598026349385
ACH-000375,-0.326611163981
ACH-000376,-0.41962094912799996
ACH-000381,-0.0817220563237
ACH-000383,-0.522380694968
ACH-000387,-0.21864963274399998
ACH-000389,-0.20659355368500001
ACH-000390,-0.37490834675800006
ACH-000393,-0.420087825998
ACH-000395,-0.395915548963
ACH-000397,-0.41359743839100005
ACH-000401,-0.130942823396
ACH-000402,-0.8432780578829999
ACH-000403,-0.596928139929
ACH-000404,-0.284812317679
ACH-000406,-0.30189861600900003
ACH-000407,-0.312148085121
ACH-000408,-0.598849325958
ACH-000410,-0.326661046754
ACH-000411,-0.22510346524900002
ACH-000414,-0.38483720940399996
ACH-000415,-0.24807101038899998
ACH-000416,-0.392485541285
ACH-000420,-0.627187737305
ACH-000421,-0.438988824264
ACH-000424,-0.725651240152
ACH-000425,-0.374161415278
ACH-000426,-0.168722118122
ACH-000427,-0.552892544757
ACH-000433,-0.468393806953
ACH-000436,-0.395572496637
ACH-000444,-0.31189236329500003
ACH-000445,-0.29192860120299996
ACH-000448,-0.516034765551
ACH-000450,-0.310546848316
ACH-000452,-0.253435615027
ACH-000454,-0.45504499375600005
ACH-000458,-0.326199732116
ACH-000459,0.0337963809977
ACH-000460,-0.27330758905499997
ACH-000461,-0.318953913353
ACH-000463,-0.28369950481999995
ACH-000464,-0.11114893018899999
ACH-000466,-0.452873200142
ACH-000467,-0.43957507234300003
ACH-000468,-0.50657767572
ACH-000469,-0.252099488129
ACH-000470,-0.497978281664
ACH-000471,-0.27778127756
ACH-000472,-0.342339930565
ACH-000473,-0.218561919139
ACH-000475,-0.382037390142
ACH-000476,-0.553133339609
ACH-000477,-0.566213917763
ACH-000480,-0.280274516741
ACH-000481,-0.271098214344
ACH-000483,-0.11900771809
ACH-000484,-0.40536907521
ACH-000485,-0.439735883002
ACH-000486,-0.366488646887
ACH-000487,-0.252279749426
ACH-000488,-0.448408484213
ACH-000490,-0.36066216707099996
ACH-000491,-0.475521071691
ACH-000495,-0.19018931015299997
ACH-000496,-0.41347076753
ACH-000499,-0.28943312195500004
ACH-000500,-0.8411992241130001
ACH-000502,-0.407128366264
ACH-000503,-0.264340134684
ACH-000505,-0.494621165925
ACH-000507,-0.39584664155199994
ACH-000510,-0.34436416193
ACH-000511,-0.25259082084
ACH-000512,-0.395361229134
ACH-000516,-0.411149027506
ACH-000517,-0.378536114677
ACH-000518,-0.240417860403
ACH-000520,-0.5732332036300001
ACH-000521,-0.420923630173
ACH-000522,-0.464167377934
ACH-000524,-0.629451695781
ACH-000527,-0.284063748567
ACH-000528,-0.315184982124
ACH-000537,-0.208540479016
ACH-000541,-0.20841054880100002
ACH-000542,-0.40970655294200004
ACH-000544,-0.285088964958
ACH-000545,-0.301718749629
ACH-000547,-0.141104673604
ACH-000548,-0.37476940636999995
ACH-000549,-0.339784561514
ACH-000550,-0.34874325590800004
ACH-000552,-0.340183754505
ACH-000556,-0.564291339065
ACH-000557,-0.322888262556
ACH-000570,-0.224960438973
ACH-000571,-0.387336222111
ACH-000573,-0.175226637263
ACH-000576,-0.184142103397
ACH-000580,-0.34712567738600003
ACH-000584,-0.191226114658
ACH-000585,-0.227427920066
ACH-000588,-0.147587083767
ACH-000589,-0.22558939565900002
ACH-000591,-0.254340009914
ACH-000593,-0.239308915337
ACH-000600,-0.547464120523
ACH-000601,-0.285898968524
ACH-000604,-0.45871682660499996
ACH-000605,-0.601620976799
ACH-000606,-0.541179302978
ACH-000608,-0.5206059956369999
ACH-000614,-0.582840095012
ACH-000616,-0.481543784623
ACH-000618,-0.105753006932
ACH-000619,-0.324778324575
ACH-000620,-0.37662500897
ACH-000621,-0.40453957904
ACH-000622,-0.28234739950599996
ACH-000623,-0.337861909665
ACH-000624,-0.458641129534
ACH-000627,-0.551632317102
ACH-000630,-0.30288098121199997
ACH-000632,-0.32601003291999997
ACH-000633,-0.452942288842
ACH-000637,-0.422322772957
ACH-000638,-0.48121741962700004
ACH-000646,-0.20813578808699998
ACH-000647,-0.366227837043
ACH-000648,-0.49464324321
ACH-000649,-0.44803101624700004
ACH-000651,-0.306479033558
ACH-000652,-0.5479539980470001
ACH-000653,-0.364576425837
ACH-000657,-0.412898928644
ACH-000658,-0.481896569667
ACH-000661,-0.364807051874
ACH-000662,-0.668725609978
ACH-000663,-0.254476026345
ACH-000665,-0.49499212777900004
ACH-000671,-0.256682737983
ACH-000673,-0.520140724201
ACH-000676,-0.295756711529
ACH-000677,-0.69969947236
ACH-000681,-0.172330440984
ACH-000682,-0.500951507182
ACH-000683,-0.5067925689689999
ACH-000684,-0.226187819352
ACH-000688,-0.0366784786733
ACH-000693,-0.33389991366
ACH-000694,-0.288780386756
ACH-000695,-0.598930387317
ACH-000696,-0.42721451900799995
ACH-000697,-0.295191968693
ACH-000699,-0.182300659757
