,VCPIP1 (80124)
ACH-000004,-0.702202072015
ACH-000007,-0.300011581414
ACH-000009,-0.377206154415
ACH-000011,-0.565018434677
ACH-000012,-0.486648173902
ACH-000013,-0.443655443089
ACH-000014,-0.613059643359
ACH-000015,-0.45372445155
ACH-000017,-0.606015811127
ACH-000018,-0.566739975946
ACH-000019,-0.510623697611
ACH-000021,-0.24294710851999998
ACH-000022,-0.530834055092
ACH-000025,-0.42969031572
ACH-000028,-0.214089198064
ACH-000030,-0.154678333456
ACH-000035,-0.11314181578400001
ACH-000036,-0.521574993995
ACH-000037,-0.192070456738
ACH-000039,-0.33761103566399997
ACH-000040,-0.6289985817670001
ACH-000041,-0.24017246997400002
ACH-000042,-0.638736998032
ACH-000045,-0.596107207495
ACH-000047,-0.453621650434
ACH-000052,-0.513393625908
ACH-000053,-0.29305368657200004
ACH-000054,-0.511826146667
ACH-000055,-0.416926353913
ACH-000060,-0.6456018946190001
ACH-000067,-0.302464023147
ACH-000070,-0.0254591568395
ACH-000075,-0.543006132041
ACH-000078,-0.241477259471
ACH-000082,-0.515767136628
ACH-000085,-0.615489610789
ACH-000086,0.0211315866629
ACH-000087,-0.51114304627
ACH-000092,-0.816224397458
ACH-000095,-0.25824086735199997
ACH-000097,-0.675462472403
ACH-000098,-0.410834933783
ACH-000099,-0.35997146378600003
ACH-000108,-0.233862834534
ACH-000113,-0.6238231372649999
ACH-000115,-0.444956307848
ACH-000116,-0.551840867103
ACH-000118,-0.34324990401600003
ACH-000120,-0.474759548855
ACH-000123,-0.142981632522
ACH-000127,-0.476002227219
ACH-000128,-0.45342762797700004
ACH-000132,-0.0375828930967
ACH-000133,-0.6842785865150001
ACH-000137,-0.0660531340047
ACH-000138,-0.295061205868
ACH-000142,-0.20605127441100002
ACH-000143,-0.378238165245
ACH-000146,-0.588777149789
ACH-000148,-0.451344075055
ACH-000150,-0.47151683292499996
ACH-000152,-0.265325662256
ACH-000153,-0.8542313727680001
ACH-000159,-0.484252643468
ACH-000160,-0.367921532923
ACH-000163,-0.856314724193
ACH-000167,-0.408689768541
ACH-000168,-0.27833821818599996
ACH-000169,-0.318807206341
ACH-000178,-0.419640934821
ACH-000182,-0.570846336143
ACH-000183,-0.575656466259
ACH-000188,-0.598660165178
ACH-000189,-0.494455885538
ACH-000190,-0.505127192543
ACH-000198,-0.310176062994
ACH-000204,-0.766021102711
ACH-000206,-0.523366522401
ACH-000207,-0.31247646785100003
ACH-000211,-0.369661889197
ACH-000215,-0.210284101082
ACH-000221,-0.525168911971
ACH-000222,-0.378637466999
ACH-000223,-0.539950471721
ACH-000226,-0.29313250671999996
ACH-000227,-0.546497865623
ACH-000228,-0.649707463736
ACH-000231,-0.308923414395
ACH-000232,-0.573643491583
ACH-000233,-0.250785115837
ACH-000234,-0.269439437457
ACH-000235,-0.394658323523
ACH-000237,-0.25331349117699997
ACH-000238,-0.34281797430699995
ACH-000243,-0.599341376608
