,PIGX (54965)
ACH-000004,-0.22723563516999998
ACH-000007,-0.237603042906
ACH-000009,-0.211458063689
ACH-000011,-0.556408893379
ACH-000012,-0.160865486656
ACH-000013,-0.256534460032
ACH-000014,-0.26637889360100003
ACH-000015,-0.224465474479
ACH-000017,-0.26912292615
ACH-000018,-0.25161119577700003
ACH-000019,-0.026741319498799997
ACH-000021,-0.141610237284
ACH-000022,-0.40444021465700003
ACH-000025,-0.25429637986299997
ACH-000028,-0.283321461915
ACH-000030,-0.16279898197
ACH-000035,-0.00713260227325
ACH-000036,-0.294147133242
ACH-000037,0.0973276615652
ACH-000039,-0.44448068130699997
ACH-000040,-0.657867835629
ACH-000041,-0.15460091654000002
ACH-000042,-0.224084512221
ACH-000045,-0.248868284782
ACH-000047,-0.387329899032
ACH-000052,0.0977159585891
ACH-000053,-0.20582887289000001
ACH-000054,-0.409691196744
ACH-000055,-0.298730659753
ACH-000060,-0.597411192774
ACH-000067,-0.46170449878700004
ACH-000070,-0.444745374121
ACH-000075,-0.42787748323299996
ACH-000078,-0.248017779465
ACH-000082,-0.32551535782499996
ACH-000085,-0.610590046721
ACH-000086,-0.161076008232
ACH-000087,-0.069110125062
ACH-000092,-0.436811319787
ACH-000095,-0.288504679126
ACH-000097,-0.29159224982
ACH-000098,-0.190513361113
ACH-000099,-0.17378120940699998
ACH-000108,-0.398507382294
ACH-000113,-0.24328363095199998
ACH-000115,-0.173274074955
ACH-000116,-0.189902919707
ACH-000118,-0.30637619418699996
ACH-000120,-0.127287440704
ACH-000123,-0.0337926547746
ACH-000127,-0.38631314709799996
ACH-000128,-0.32508140887
ACH-000132,-0.49392304223000005
ACH-000133,-0.138413531597
ACH-000137,-0.407109882195
ACH-000138,-0.174103335966
ACH-000142,-0.23010556406399998
ACH-000143,-0.415469281744
ACH-000146,-0.11250773612
ACH-000148,-0.328835490055
ACH-000150,-0.29160604943199997
ACH-000152,-0.236675906585
ACH-000153,0.39119434073299997
ACH-000159,-0.26339901929299997
ACH-000160,-0.337946871055
ACH-000163,-0.234629125322
ACH-000167,-0.359584113437
ACH-000168,0.107450742992
ACH-000169,-0.17493825381900002
ACH-000178,-0.278444536552
ACH-000182,-0.164387546136
ACH-000183,-0.21035794887000003
ACH-000188,-0.18676112758299998
ACH-000189,-0.34224222166
ACH-000190,-0.413154126123
ACH-000198,-0.186298585106
ACH-000204,-0.533721874154
ACH-000206,0.147629268345
ACH-000207,-0.27730564355
ACH-000211,-0.279239135748
ACH-000215,-0.353724063797
ACH-000221,-0.00578585950063
ACH-000222,-0.41821779116999996
ACH-000223,-0.383280219014
ACH-000226,-0.338216180867
ACH-000227,-0.358935252319
ACH-000228,-0.266539818048
ACH-000231,-0.0217411535378
ACH-000232,-0.363826490962
ACH-000233,-0.185966440363
ACH-000234,-0.561329830879
ACH-000235,-0.16234797326199998
ACH-000237,-0.36265091572499997
ACH-000238,-0.229498707617
