,TUBA1C (84790)
ACH-000004,-0.484995502029
ACH-000007,-0.730666614472
ACH-000009,-0.6338823361879999
ACH-000011,-1.3641110559399998
ACH-000012,-0.7988161929080001
ACH-000013,-0.625477553606
ACH-000014,-0.77887955169
ACH-000015,-0.8673803590639999
ACH-000017,-0.853866431255
ACH-000018,-0.7379253284749999
ACH-000019,-1.0771713695
ACH-000021,-0.501821305728
ACH-000022,-0.6788464487100001
ACH-000025,-0.285101361723
ACH-000028,-1.20076090855
ACH-000030,-1.09890128017
ACH-000035,-0.407111101824
ACH-000036,-1.11245971915
ACH-000037,-1.2698285867399999
ACH-000039,-0.7956994862639999
ACH-000040,-1.22421497195
ACH-000041,-0.8280535513449999
ACH-000042,-0.872335239101
ACH-000045,-0.722660901264
ACH-000047,-0.957079723248
ACH-000052,-0.7217216635320001
ACH-000053,-0.468830959953
ACH-000054,-0.918534068733
ACH-000055,-0.6329397721850001
ACH-000060,-0.9743000729279999
ACH-000067,-0.985629512623
ACH-000070,-0.802975996946
ACH-000075,-0.9498439064540001
ACH-000078,-0.779254679936
ACH-000082,-0.769393351604
ACH-000085,-1.19065325065
ACH-000086,-1.00022294715
ACH-000087,-0.78963280701
ACH-000092,-0.6938702396449999
ACH-000095,-1.03589849442
ACH-000097,-0.7073017576180001
ACH-000098,-0.756459129092
ACH-000099,-0.626098525566
ACH-000108,-0.58394489865
ACH-000113,-0.590774369369
ACH-000115,-0.705103073285
ACH-000116,-0.653801586464
ACH-000118,-1.06870343535
ACH-000120,-0.5644010012590001
ACH-000123,-0.6109385169780001
ACH-000127,-0.721451394542
ACH-000128,-1.2737764553
ACH-000132,-0.71684098059
ACH-000133,-0.9004818879180001
ACH-000137,-0.8068639461220001
ACH-000138,-0.579595059987
ACH-000142,-0.601545819367
ACH-000143,-0.48217029249300003
ACH-000146,-0.486710899379
ACH-000148,-0.9490306348309999
ACH-000150,-1.5112675017299997
ACH-000152,-0.813231151909
ACH-000153,-0.28014563007800003
ACH-000159,-0.8060827463860001
ACH-000160,-1.11844556631
ACH-000163,-0.615292334718
ACH-000167,-0.0768413194463
