,RINT1 (60561)
ACH-000004,-0.599263971925
ACH-000007,-0.618081700642
ACH-000009,-0.584198030723
ACH-000011,-0.560485386986
ACH-000012,-0.642979555851
ACH-000013,-0.8571468906280001
ACH-000014,-0.618419019992
ACH-000015,-0.556285979679
ACH-000017,-0.633334675676
ACH-000018,-0.832971629218
ACH-000019,-0.8786536856020001
ACH-000021,-0.6792476732100001
ACH-000022,-0.6087961154689999
ACH-000025,-0.728583069236
ACH-000028,-0.633238076777
ACH-000030,-0.441397791734
ACH-000035,-1.03942670085
ACH-000036,-0.9020227891150001
ACH-000037,-0.503709115119
ACH-000039,-0.45109362817299997
ACH-000040,-0.630285860002
ACH-000041,-0.601026442254
ACH-000042,-0.5466414290070001
ACH-000045,-0.6748885806559999
ACH-000047,-0.7117222005320001
ACH-000052,-0.975594267539
ACH-000053,-0.578373596784
ACH-000054,-0.7523254047679999
ACH-000055,-0.535137551748
ACH-000060,-0.34164930380099995
ACH-000067,-0.61139700568
ACH-000070,-0.37846320812600004
ACH-000075,-0.863542695562
ACH-000078,-0.414356433804
ACH-000082,-0.7939433366240001
ACH-000085,-0.665425337039
ACH-000086,-0.40134069181000004
ACH-000087,-0.579400634319
ACH-000092,-0.8060813476629999
ACH-000095,-0.538159491865
ACH-000097,-0.625449493554
ACH-000098,-0.672242221179
ACH-000099,-0.597217258027
ACH-000108,-1.09600406679
ACH-000113,-0.694725365176
ACH-000115,-0.7851886495579999
ACH-000116,-0.8861914965629999
ACH-000118,-0.8895553858059999
ACH-000120,-0.6910824066940001
ACH-000123,-0.643986055323
ACH-000127,-0.949081885527
ACH-000128,-0.8725392693080001
ACH-000132,-0.6447207541759999
ACH-000133,-0.7094142542890001
ACH-000137,-0.818059155032
ACH-000138,-0.620083413518
ACH-000142,-1.04042109278
ACH-000143,-0.712532183276
ACH-000146,-0.507383267273
ACH-000148,-0.756753292456
ACH-000150,-0.707087269202
ACH-000152,-0.783416089796
ACH-000153,-1.10933986343
ACH-000159,-0.650983927337
ACH-000160,-0.687738269297
ACH-000163,-0.873029117187
ACH-000167,-0.6733186740739999
ACH-000168,-1.23762755678
ACH-000169,-0.598986497113
ACH-000178,-0.67429226277
ACH-000182,-0.34649590225500004
ACH-000183,-0.688827421966
ACH-000188,-0.6596957785149999
ACH-000189,-1.00580256203
ACH-000190,-0.8713781353010001
ACH-000198,-0.58817191749
ACH-000204,-0.634710311109
ACH-000206,-0.868937287874
ACH-000207,-0.378160400061
ACH-000211,-0.337154782737
ACH-000215,-0.43359157061399994
ACH-000221,-0.47806711028800003
ACH-000222,-0.743737323911
ACH-000223,-1.13253457876
ACH-000226,-0.597030184741
ACH-000227,-0.496132249396
ACH-000228,-0.799029397293
ACH-000231,-0.6760876929880001
ACH-000232,-0.646399494003
ACH-000233,-0.932060533778
ACH-000234,-0.6954279525300001
ACH-000235,-0.517527203518
ACH-000237,-0.9294363040289999
ACH-000238,-0.897673888364
ACH-000243,-0.490842382363
ACH-000244,-0.7859737021250001
ACH-000246,-0.70020334103
ACH-000248,-0.331102665849
ACH-000250,-0.300544931171
ACH-000251,-0.211404848424
ACH-000253,-0.748883386906
ACH-000255,-0.770719637591
ACH-000256,-0.49401950292499996
ACH-000257,-0.655368082555
ACH-000258,-0.673962656612
ACH-000259,-0.856109935854
ACH-000260,-0.475899693196
ACH-000261,-0.49360854595
ACH-000262,-0.7375225517389999
ACH-000263,-0.33462993507800004
ACH-000264,-0.5426076982320001
ACH-000265,-0.308131980357
ACH-000266,-0.770288355679
ACH-000272,-0.973268830073
ACH-000273,-0.9850822440279999
ACH-000274,-0.502089856248
ACH-000277,-0.696704403779
ACH-000278,-0.610666355496
ACH-000279,-0.397803359686
ACH-000280,-0.707993696647
ACH-000281,-0.520645652794
ACH-000288,-0.63484576642
ACH-000291,-0.46848533148500004
ACH-000293,-0.564201533314
ACH-000294,-0.161600783857
ACH-000295,-0.44044982923299997
ACH-000296,-0.49962570512500004
ACH-000302,-0.757436753962
ACH-000304,-0.539846379968
ACH-000307,-0.646300451792
ACH-000308,-0.548972285735
ACH-000310,-0.697429064025
ACH-000311,-0.860407489939
ACH-000312,-0.7314441565559999
ACH-000315,-0.886760587933
ACH-000316,-0.6049522950890001
ACH-000317,-0.635979046682
ACH-000318,-0.703249188472
ACH-000319,-1.29130417276
ACH-000320,-0.459903358759
ACH-000322,-0.532738278232
ACH-000323,-0.926925458068
ACH-000324,-0.658370823463
ACH-000329,-0.408226938438
ACH-000330,-0.8986882761949999
ACH-000331,-0.9128480179999999
ACH-000332,-0.498964757381
ACH-000334,-0.724982049835
ACH-000335,-0.637716635063
ACH-000336,-0.47523223546000004
ACH-000337,-0.442922042355
ACH-000339,-0.7425033814859999
ACH-000341,-1.09031658095
ACH-000348,-0.819998558054
ACH-000350,-0.471319600186
ACH-000352,-0.9038294553899999
ACH-000356,-0.972214374057
ACH-000361,-0.894097502985
ACH-000362,-0.40996807231700005
ACH-000363,-1.4217793598800001
ACH-000364,-0.8179681288930001
ACH-000365,-0.625635128933
ACH-000366,-0.788054378152
ACH-000368,-0.6412299832980001
ACH-000374,-0.8549186669869999
ACH-000375,-0.8605599852570001
ACH-000376,-0.380072976153
ACH-000381,-0.507100616669
ACH-000383,-0.332964450462
ACH-000387,-0.5670412999459999
ACH-000389,-0.755306957103
ACH-000390,-1.1420550630600002
ACH-000393,-0.551438618021
ACH-000395,-0.9458818359829999
ACH-000397,-0.362707161575
ACH-000401,-0.7180525902570001
ACH-000402,-0.555954147874
ACH-000403,-0.732258995499
ACH-000404,-0.7763109900740001
ACH-000406,-0.543409326641
ACH-000407,-0.690535652101
ACH-000408,-0.4532240747
ACH-000410,-0.564821335309
ACH-000411,-0.724701439966
ACH-000414,-1.00257346986
ACH-000415,-0.8091821262219999
ACH-000416,-0.5977560433269999
ACH-000420,-0.7424061827680001
ACH-000421,-0.6923979389820001
ACH-000424,-0.361003826515
ACH-000425,-0.423338791389
ACH-000426,-1.0201495192899999
ACH-000427,-0.796168689004
ACH-000433,-0.644938454187
ACH-000436,-0.783480158282
ACH-000444,-0.665045648258
ACH-000445,-0.5322679965820001
ACH-000448,-0.6824121980519999
ACH-000450,-0.465229243146
ACH-000452,-0.915308726278
ACH-000454,-0.576172107754
ACH-000458,-0.634798609955
ACH-000459,-0.5202952446519999
ACH-000460,-0.705326047668
ACH-000461,-0.632951450523
ACH-000463,-0.587021064428
ACH-000464,-0.9036746669140001
ACH-000466,-0.6639164139639999
ACH-000467,-0.8304384668699999
ACH-000468,-0.547180272881
ACH-000469,-0.326535145493
ACH-000470,-0.682762128352
ACH-000471,-0.656543878041
ACH-000472,-0.974990567738
ACH-000473,-0.623566300016
ACH-000475,-0.631872189531
ACH-000476,-0.264087107971
ACH-000477,-0.578010521785
ACH-000480,-0.687057173566
ACH-000481,-0.6026326218370001
ACH-000483,-0.582786270961
ACH-000484,-0.415867471461
ACH-000485,-0.449487220084
ACH-000486,-0.510596706195
ACH-000487,-0.691264038599
ACH-000488,-0.794749995964
ACH-000490,-0.7342975315539999
ACH-000491,-0.565708403624
ACH-000495,-0.749259799238
ACH-000496,-0.629218979718
ACH-000499,-0.599578328776
ACH-000500,-0.919961001899
ACH-000502,-0.651751427112
ACH-000503,-0.764667844359
ACH-000505,-0.591000601164
ACH-000507,-0.6367229838790001
ACH-000510,-0.499403511563
ACH-000511,-0.7601912373530001
ACH-000512,-0.4398195448800001
ACH-000516,-0.868255502186
ACH-000517,-0.314252218025
ACH-000518,-0.7644636264579999
ACH-000520,-0.584502273454
ACH-000521,-0.45915773976
ACH-000522,-0.606314735413
ACH-000524,-0.449375115739
ACH-000527,-0.809461895054
ACH-000528,-0.874431392463
ACH-000537,-0.590806125147
ACH-000541,-0.9517328987200001
ACH-000542,-0.893577748748
ACH-000544,-0.622909422626
ACH-000545,-0.764146490588
ACH-000547,-0.850138631713
ACH-000548,-0.948244322928
ACH-000549,-0.664636888899
ACH-000550,-0.5889570451730001
ACH-000552,-0.765205857014
ACH-000556,-0.505369437124
ACH-000557,-0.551070494788
ACH-000570,-0.7100320198119999
ACH-000571,-0.7301000033089999
ACH-000573,-0.582931574485
ACH-000576,-0.7406656337690001
ACH-000580,-0.565817152872
ACH-000584,-0.477223444099
ACH-000585,-0.42116143737800005
ACH-000588,-0.787552505439
ACH-000589,-0.523515461287
ACH-000591,-0.525800982123
ACH-000593,-0.803131658213
ACH-000600,-0.610992280461
ACH-000601,-0.371762783729
ACH-000604,-0.321396737844
ACH-000605,-1.0782121794700001
ACH-000606,-0.635936587876
ACH-000608,-0.793806695867
ACH-000614,-0.399525781422
ACH-000616,-0.7815549857520001
ACH-000618,-0.6856396403630001
ACH-000619,-0.529979604569
ACH-000620,-0.602489023478
ACH-000621,-0.610627726705
ACH-000622,-0.7331222639720001
ACH-000623,-0.6267832181
ACH-000624,-0.736432398708
ACH-000627,-0.533394701131
ACH-000630,-0.9601093809610001
ACH-000632,-0.760133281023
ACH-000633,-0.755106705393
ACH-000637,-0.845286849319
ACH-000638,-0.6078321628719999
ACH-000646,-0.659457046501
ACH-000647,-0.544699625509
ACH-000648,-0.8345561162430001
ACH-000649,-0.58300503725
ACH-000651,-0.40568441197
ACH-000652,-0.516078596567
ACH-000653,-0.852415465636
ACH-000657,-0.789970212553
ACH-000658,-0.9722745702330001
ACH-000661,-0.20567883929000003
ACH-000662,-0.689145930618
ACH-000663,-0.734913629172
ACH-000665,-0.620807570085
ACH-000671,-0.721432374535
ACH-000673,-0.902666933161
ACH-000676,-0.810236351497
ACH-000677,-0.5754480776399999
ACH-000681,-0.7826778794050001
ACH-000682,-0.921391509305
ACH-000683,-0.340653647316
ACH-000684,-0.9124988082719999
ACH-000688,-0.927442867811
ACH-000693,-0.582324707029
ACH-000694,-0.631332919763
ACH-000695,-0.717501868101
ACH-000696,-1.01787572063
ACH-000697,-1.09419596401
ACH-000699,-0.780491334866
ACH-000701,-0.53158745948
