,GRIN2A (2903)
ACH-000004,-0.218477226297
ACH-000007,-0.124355031739
ACH-000009,-0.112340104288
ACH-000011,-0.234431766688
ACH-000012,-0.177767948992
ACH-000013,-0.287593435982
ACH-000014,-0.181123928435
ACH-000015,-0.421072081148
ACH-000017,-0.24406835922400003
ACH-000018,-0.288120249886
ACH-000019,-0.196095118956
ACH-000021,-0.35364129894100005
ACH-000022,-0.272963639429
ACH-000025,-0.244718478092
ACH-000028,-0.22966043950399997
ACH-000030,-0.0784417727342
ACH-000035,-0.22938829943599998
ACH-000036,-0.250011288794
ACH-000037,-0.147918010656
ACH-000039,-0.21523964436700002
ACH-000040,-0.10946764279000001
ACH-000041,0.06823896048940001
ACH-000042,-0.260737987273
ACH-000045,-0.212163511472
ACH-000047,-0.17963662045499998
ACH-000052,-0.178838930668
ACH-000053,-0.24289454640900002
ACH-000054,-0.261860102734
ACH-000055,-0.250707374958
ACH-000060,-0.115991729601
ACH-000067,-0.0678851348305
ACH-000070,-0.270080263245
ACH-000075,-0.38538655143899997
ACH-000078,-0.142638685726
ACH-000082,-0.250127755833
ACH-000085,-0.20202954744100002
ACH-000086,-0.126434483278
ACH-000087,0.05788570174530001
ACH-000092,0.0116067548096
ACH-000095,-0.08832969030760002
ACH-000097,-0.23309702333500001
ACH-000098,-0.319160298833
ACH-000099,-0.11132052385199999
ACH-000108,-0.234118340863
ACH-000113,-0.220046464445
ACH-000115,-0.241109122502
ACH-000116,-0.230265447165
ACH-000118,-0.338730280446
ACH-000120,-0.37429927755099995
ACH-000123,-0.145740703178
ACH-000127,-0.442009193843
ACH-000128,-0.029394106012499997
ACH-000132,-0.179453456337
ACH-000133,-0.30273505357700004
ACH-000137,-0.337254133644
ACH-000138,-0.253192507272
ACH-000142,-0.21127249448199997
ACH-000143,-0.30400348681999995
ACH-000146,-0.356842706222
ACH-000148,-0.23770636897300002
ACH-000150,-0.158156371219
ACH-000152,-0.269538926677
ACH-000153,-0.324563466604
ACH-000159,-0.209146392467
ACH-000160,-0.210263754963
ACH-000163,-0.117915691816
ACH-000167,-0.0766421019696
ACH-000168,-0.112861284861
ACH-000169,-0.0979617194039
ACH-000178,-0.265972672788
ACH-000182,-0.0880127143293
ACH-000183,-0.218207010644
ACH-000188,-0.08299973551960001
ACH-000189,-0.266629174938
ACH-000190,-0.232917815911
ACH-000198,-0.3690159911
ACH-000204,-0.265339098288
ACH-000206,-0.31517720135099997
ACH-000207,-0.101596613244
