,MAGI1 (9223)
ACH-000004,-0.00751627674628
ACH-000007,0.10364571429300001
ACH-000009,0.061737840331499996
ACH-000011,-0.0139815159332
ACH-000012,-0.086777440944
ACH-000013,0.123912613927
ACH-000014,-0.122801533877
ACH-000015,0.0312776487058
ACH-000017,0.0527713488627
ACH-000018,-0.040338197832
ACH-000019,0.09026035980080001
ACH-000021,-0.014680066112
ACH-000022,-0.054028970176300005
ACH-000025,-0.008602869552709998
ACH-000028,-0.0722742663034
ACH-000030,0.0339320927753
ACH-000035,0.20013034244000003
ACH-000036,0.10717207855699999
ACH-000037,0.00263564859014
ACH-000039,0.125021481925
ACH-000040,0.258822973782
ACH-000041,0.049114040393000005
ACH-000042,0.016892582161299997
ACH-000045,0.044469854755199996
ACH-000047,0.06818539143749999
ACH-000052,0.360984484881
ACH-000053,-0.10009534138599999
ACH-000054,0.0104486246062
ACH-000055,0.251974208905
ACH-000060,-0.0467149197581
ACH-000067,-0.0907047377887
ACH-000070,0.0482118651743
ACH-000075,0.121545247193
ACH-000078,-0.22880556439599997
ACH-000082,0.133768637449
ACH-000085,0.325096059066
ACH-000086,-0.0640122384629
ACH-000087,0.200151751557
ACH-000092,0.172865658378
ACH-000095,0.192211125194
ACH-000097,0.0279230724438
ACH-000098,0.21648647678000002
ACH-000099,0.0017847904515699998
ACH-000108,0.00641110227266
ACH-000113,0.0226044659906
ACH-000115,0.22781589781
ACH-000116,0.151245981817
ACH-000118,-0.167694783095
ACH-000120,-0.10269753462400001
ACH-000123,0.045246500987099994
ACH-000127,0.032761905426
ACH-000128,0.20289577862
ACH-000132,0.290416222848
ACH-000133,0.077513103454
ACH-000137,0.14843303496500002
ACH-000138,0.012613536281399999
ACH-000142,0.10626010509
ACH-000143,0.137688256894
ACH-000146,-0.0655987317669
ACH-000148,0.161552282494
ACH-000150,-0.024439847544299998
ACH-000152,0.21117266502
ACH-000153,-0.476963731174
ACH-000159,0.0115137379315
ACH-000160,0.0891485901829
ACH-000163,-0.0721844582225
ACH-000167,0.209269476605
ACH-000168,0.0412078134167
ACH-000169,0.08729652172289999
ACH-000178,0.0143458897249
ACH-000182,0.0334905693084
ACH-000183,0.0417633119221
ACH-000188,0.029240888180900003
ACH-000189,-0.0285417937091
ACH-000190,-0.0306184431113
ACH-000198,0.0450178584203
ACH-000204,0.19270852716899997
ACH-000206,0.18338696048099998
ACH-000207,0.200046628428
ACH-000211,0.0190703871883
