,EWSR1 (2130)
ACH-000004,-1.0235875270600001
ACH-000007,-1.14718003688
ACH-000009,-1.1592401408600002
ACH-000011,-0.877903260679
ACH-000012,-1.2712847011
ACH-000013,-1.26890534161
ACH-000014,-1.12109485782
ACH-000015,-0.994648810825
ACH-000017,-0.914182442494
ACH-000018,-1.0016327481899998
ACH-000019,-1.3513343220200003
ACH-000021,-1.0965252698799999
ACH-000022,-1.05261791299
ACH-000025,-0.91825679215
ACH-000028,-1.19625070564
ACH-000030,-1.11412749236
ACH-000035,-0.940835167338
ACH-000036,-1.20826806239
ACH-000037,-1.33531912079
ACH-000039,-1.46117048473
ACH-000040,-0.854525370849
ACH-000041,-1.80044378753
ACH-000042,-0.998484772283
ACH-000045,-0.641315364893
ACH-000047,-1.1156799196
ACH-000052,-1.45861144929
ACH-000053,-0.942663164385
ACH-000054,-1.06640441604
ACH-000055,-1.15216076651
ACH-000060,-0.7574945951950001
ACH-000067,-1.10027608381
ACH-000070,-1.1047952029
ACH-000075,-0.997539473052
ACH-000078,-0.9118655831270001
ACH-000082,-0.668566278276
ACH-000085,-1.23620819809
ACH-000086,-0.8684078483700002
ACH-000087,-1.4687934300499998
ACH-000092,-0.871079122528
ACH-000095,-1.21149466124
ACH-000097,-0.960245529657
ACH-000098,-0.8894080750489999
ACH-000099,-1.08146359275
ACH-000108,-1.10323469346
ACH-000113,-0.8628599358110001
ACH-000115,-0.978165411957
ACH-000116,-1.1245814385700001
ACH-000118,-1.06081175814
ACH-000120,-1.14718639211
ACH-000123,-0.9999724118880001
ACH-000127,-1.1017887019600001
ACH-000128,-1.02650561368
ACH-000132,-1.0007210508
ACH-000133,-0.947977037569
ACH-000137,-1.2193906544700002
ACH-000138,-1.1099919896200001
ACH-000142,-1.05585317239
ACH-000143,-0.807560186597
ACH-000146,-0.686225230187
ACH-000148,-1.15530794129
ACH-000150,-0.9841072268080001
ACH-000152,-1.11598532561
ACH-000153,-1.15187636075
ACH-000159,-0.8959099641730001
ACH-000160,-1.4010012605500002
ACH-000163,-0.9694308427949999
ACH-000167,-1.0750501807500001
ACH-000168,-1.3052787806200001
ACH-000169,-0.83542231275
ACH-000178,-0.691403879492
ACH-000182,-1.02374992902
ACH-000183,-1.0429144087200002
ACH-000188,-0.742106353043
ACH-000189,-0.802920190571
ACH-000190,-0.9399807416120001
