,CSHL1 (1444)
ACH-000004,-0.209409997094
ACH-000007,0.0345090458497
ACH-000009,-0.157237071461
ACH-000011,-0.0223996727948
ACH-000012,-0.0616837225903
ACH-000013,-0.10746216243899999
ACH-000014,-0.0670067578784
ACH-000015,-0.111888760143
ACH-000017,-0.359069817017
ACH-000018,-0.18499216047699998
ACH-000019,-0.620965185555
ACH-000021,-0.18294278835
ACH-000022,-0.0917726998131
ACH-000025,-0.0635194836777
ACH-000028,-0.243265325124
ACH-000030,-0.012623729762200001
ACH-000035,0.0577035901432
ACH-000036,-0.0379665168327
ACH-000037,0.112690465546
ACH-000039,-0.00941467674784
ACH-000040,-0.118388651674
ACH-000041,-0.10822618815400001
ACH-000042,0.0152202003509
ACH-000045,-0.24721481936700002
ACH-000047,-0.184729217245
ACH-000052,-0.0375344715407
ACH-000053,-0.139356118422
ACH-000054,-0.301466999464
ACH-000055,-0.018536298636499998
ACH-000060,-0.0636047803495
ACH-000067,-0.133543523965
ACH-000070,0.06135111746019999
ACH-000075,-0.0698782255927
ACH-000078,-0.32148758443799996
ACH-000082,-0.124537272338
ACH-000085,-0.313069144521
ACH-000086,-0.353770663187
ACH-000087,-0.157418608607
ACH-000092,-0.127352019032
ACH-000095,-0.167092043362
ACH-000097,-0.199358369238
ACH-000098,-0.222538352557
ACH-000099,-0.44160497346
ACH-000108,-0.169739194234
ACH-000113,-0.069534068519
ACH-000115,-0.24948580162300002
ACH-000116,-0.18477575229899998
ACH-000118,-0.458226943053
ACH-000120,-0.0536878519642
ACH-000123,-0.0782206659414
ACH-000127,-0.27765249893800004
ACH-000128,-0.0509859673102
ACH-000132,-0.138130531918
ACH-000133,-0.176658564163
ACH-000137,-0.0539262803627
ACH-000138,-0.17995043796399998
ACH-000142,-0.0386364598897
ACH-000143,-0.130384122048
ACH-000146,-0.0831354036164
ACH-000148,-0.09224489721930001
ACH-000150,-0.0376606633875
ACH-000152,-0.123902812652
ACH-000153,0.327322850249
ACH-000159,-0.24424426844500002
ACH-000160,-0.262995540669
ACH-000163,0.03537886841730001
ACH-000167,-0.20973684930999997
