,ANTXRL (195977)
ACH-000004,-0.285635259204
ACH-000007,-0.079695740762
ACH-000009,-0.36065944514700005
ACH-000011,-0.341675969835
ACH-000012,-0.273946835117
ACH-000013,-0.219600330319
ACH-000014,-0.344216281769
ACH-000015,-0.283921557321
ACH-000017,-0.338713636669
ACH-000018,-0.190633911668
ACH-000019,-0.377003077674
ACH-000021,-0.145419305788
ACH-000022,-0.282775437009
ACH-000025,-0.238865362861
ACH-000028,-0.229318462722
ACH-000030,-0.537746949948
ACH-000035,-0.446262258444
ACH-000036,-0.323540533197
ACH-000037,0.0371130032856
ACH-000039,-0.231981656281
ACH-000040,-0.347489501188
ACH-000041,-0.35033556932800003
ACH-000042,-0.383575406927
ACH-000045,-0.241244983746
ACH-000047,-0.309265468692
ACH-000052,-0.40295711757299996
ACH-000053,-0.233343568568
ACH-000054,-0.332937547166
ACH-000055,-0.16912956457199999
ACH-000060,-0.337937967096
ACH-000067,-0.471136531362
ACH-000070,-0.291227634392
ACH-000075,-0.256299076817
ACH-000078,-0.36813605228600005
ACH-000082,-0.257474450558
ACH-000085,-0.30050218269
ACH-000086,-0.332198192056
ACH-000087,-0.20557371325800003
ACH-000092,-0.423143266484
ACH-000095,-0.319746135082
ACH-000097,-0.31937664009399996
ACH-000098,-0.285574670861
ACH-000099,-0.255842596486
ACH-000108,-0.280558868407
ACH-000113,-0.28293775002
ACH-000115,-0.28348766582199997
ACH-000116,-0.25431702587099997
ACH-000118,-0.19802021771899997
ACH-000120,-0.20465640039900002
ACH-000123,-0.35022653695
ACH-000127,-0.255663957319
ACH-000128,-0.19308572575
ACH-000132,-0.35233318533200003
ACH-000133,-0.213331034372
ACH-000137,-0.141895432177
ACH-000138,-0.12067052130599999
ACH-000142,-0.201710339623
ACH-000143,-0.168151310518
ACH-000146,-0.221291505095
ACH-000148,-0.40907956261699996
ACH-000150,-0.226203678256
ACH-000152,-0.44186935299900004
ACH-000153,-0.161554285548
ACH-000159,-0.24789811067899997
ACH-000160,-0.22132249040100002
ACH-000163,-0.21901171966299998
ACH-000167,-0.38724081989500003
ACH-000168,-0.375714505955
ACH-000169,-0.19237030250300002
ACH-000178,-0.218326910418
ACH-000182,-0.379815284324
ACH-000183,-0.167834233435
ACH-000188,-0.195286421561
ACH-000189,-0.515916103273
ACH-000190,-0.19410880189399998
ACH-000198,-0.277536794465
ACH-000204,-0.027835703764299998
ACH-000206,-0.203927546729
ACH-000207,-0.44069508551700004
ACH-000211,-0.236572774368
ACH-000215,-0.24216964331799998
ACH-000221,-0.0624555504065
ACH-000222,-0.319996101784
ACH-000223,-0.369398051845
ACH-000226,-0.328779272289
ACH-000227,-0.21806902133
ACH-000228,-0.559771673631
ACH-000231,-0.27849782978300003
ACH-000232,-0.33351351661
ACH-000233,-0.448483833116
ACH-000234,-0.319585104927
ACH-000235,-0.269534151116
ACH-000237,-0.26698209026700004
ACH-000238,-0.371110686766
ACH-000243,-0.33255307747900004
ACH-000244,-0.248808735059
ACH-000246,-0.218935081257
ACH-000248,-0.267732033009
ACH-000250,-0.39380123660800004
ACH-000251,-0.39617211118600004
ACH-000253,-0.373657238664
ACH-000255,-0.09635272607789999
ACH-000256,-0.0815354952987
ACH-000257,-0.526071502057
ACH-000258,-0.648853883386
ACH-000259,-0.34376813513899995
ACH-000260,-0.143483363019
ACH-000261,-0.515097228807
ACH-000262,-0.320151880619
ACH-000263,-0.286364332377
ACH-000264,-0.37676699724299995
ACH-000265,-0.285680171352
ACH-000266,-0.281206844686
ACH-000272,-0.36877837895300003
ACH-000273,-0.282923758332
ACH-000274,-0.253823374035
ACH-000277,-0.35576668418000007
ACH-000278,-0.129572490682
ACH-000279,-0.193919319861
ACH-000280,-0.466931610458
ACH-000281,-0.485358132683
ACH-000288,-0.31675455055199997
ACH-000291,-0.43643324252
ACH-000293,-0.44655526942900003
ACH-000294,-0.688799238295
ACH-000295,-0.31311892828000004
ACH-000296,-0.143896310393
ACH-000302,-0.205992624813
ACH-000304,-0.15052536337300002
ACH-000307,-0.281592865234
ACH-000308,-0.274998270863
ACH-000310,-0.5543339857549999
ACH-000311,-0.39804035057400006
ACH-000312,-0.44871289328999997
ACH-000315,-0.334665817963
ACH-000316,-0.38025354569700004
ACH-000317,-0.230741924412
ACH-000318,-0.41098671887599997
ACH-000319,-0.19188360281800002
ACH-000320,-0.35815446424099995
ACH-000322,-0.29333536524099996
ACH-000323,-0.385012281874
ACH-000324,-0.288160526566
ACH-000329,-0.399681596212
ACH-000330,-0.290718110353
ACH-000331,-0.472689466973
ACH-000332,-0.354788804379
ACH-000334,-0.814345719132
ACH-000335,-0.25367384135000004
ACH-000336,-0.536090344587
ACH-000337,-0.40475598187899997
ACH-000339,-0.331163230807
ACH-000341,-0.31726928433699997
ACH-000348,-0.36490770005199996
ACH-000350,-0.23596376999899998
ACH-000352,0.101722257639
ACH-000356,-0.18392495225699998
ACH-000361,-0.46674206292599996
ACH-000362,-0.303819426816
ACH-000363,-0.359784735566
ACH-000364,-0.117178547191
ACH-000365,-0.277867167545
ACH-000366,-0.27848394105
ACH-000368,-0.38210023010899996
ACH-000374,-0.502699164013
ACH-000375,-0.23729793645599997
ACH-000376,-0.359345789396
ACH-000381,-0.146531146607
ACH-000383,-0.313590669644
ACH-000387,-0.0709616018137
ACH-000389,-0.0976332110252
ACH-000390,-0.369207192196
ACH-000393,-0.44950824886699997
ACH-000395,-0.307492058074
ACH-000397,-0.20654438567000002
ACH-000401,-0.545337948107
ACH-000402,-0.32409467995200003
ACH-000403,-0.44781889490800003
ACH-000404,-0.682354147471
ACH-000406,-0.260867493573
ACH-000407,-0.268265601035
ACH-000408,-0.29376066855300004
ACH-000410,-0.36546782331
ACH-000411,-0.24608704499
ACH-000414,-0.360698281946
ACH-000415,-0.353416975969
ACH-000416,-0.347001955897
ACH-000420,-0.4084756751
ACH-000421,-0.284561837917
ACH-000424,-0.386443502164
ACH-000425,-0.350478002847
ACH-000426,-0.31292189221
ACH-000427,-0.45592686283
ACH-000433,-0.158097244522
ACH-000436,-0.24617544436299998
ACH-000444,-0.0665047450178
ACH-000445,-0.191703648142
ACH-000448,-0.370918106662
ACH-000450,-0.116499476522
ACH-000452,-0.305656245662
ACH-000454,-0.487230661382
ACH-000458,-0.251102338932
ACH-000459,0.0871557220531
ACH-000460,-0.334780912767
ACH-000461,-0.24263368214899997
ACH-000463,-0.328937245193
ACH-000464,-0.332188677936
ACH-000466,-0.373665842305
ACH-000467,-0.255913563272
ACH-000468,-0.275140328505
ACH-000469,-0.297304874243
ACH-000470,-0.09120544446460001
ACH-000471,-0.129029991101
ACH-000472,-0.336607727294
ACH-000473,-0.35635224426600004
ACH-000475,-0.20140831791900002
ACH-000476,-0.28271993566500003
ACH-000477,-0.095441297148
ACH-000480,-0.290730303132
ACH-000481,-0.616154534449
ACH-000483,-0.112870652385
ACH-000484,-0.170522848301
ACH-000485,-0.273453664808
ACH-000486,-0.276863494846
ACH-000487,-0.596179583033
ACH-000488,-0.20008156331399998
ACH-000490,-0.22893977774500002
ACH-000491,-0.350640978271
ACH-000495,-0.21467290256299998
ACH-000496,-0.44181569386799996
ACH-000499,-0.217295408169
ACH-000500,0.133779604385
ACH-000502,-0.23443538526299998
ACH-000503,-0.35225539112300003
ACH-000505,-0.291698389433
ACH-000507,-0.107887183103
ACH-000510,-0.297931599451
ACH-000511,-0.331668244792
ACH-000512,-0.199468485609
ACH-000516,-0.26620496557100004
ACH-000517,-0.338535010501
ACH-000518,-0.42445320124499997
ACH-000520,-0.059799244560400006
ACH-000521,-0.380020278147
ACH-000522,-0.28352442761999996
ACH-000524,-0.302357776798
ACH-000527,-0.273975898566
ACH-000528,-0.179856267146
ACH-000537,-0.256392241798
ACH-000541,-0.34448724298199995
ACH-000542,-0.261252193515
ACH-000544,-0.28330355837
ACH-000545,-0.19044597378699998
ACH-000547,-0.341679232826
ACH-000548,-0.0671649994479
ACH-000549,-0.17779424213300002
ACH-000550,-0.38081680207099994
ACH-000552,-0.310399976059
ACH-000556,-0.252795403836
ACH-000557,-0.425203798131
ACH-000570,-0.205380251008
ACH-000571,-0.23274059705699998
ACH-000573,-0.21738907419599998
ACH-000576,-0.243417197037
ACH-000580,-0.18162273011799998
ACH-000584,-0.149508517337
ACH-000585,-0.135576093225
