,RACGAP1 (29127)
ACH-000004,-1.18878878108
ACH-000007,-1.38822155341
ACH-000009,-1.40081617995
ACH-000011,-1.6023506266499998
ACH-000012,-1.562343499
ACH-000013,-1.61535880001
ACH-000014,-1.37353215246
ACH-000015,-1.45362936128
ACH-000017,-1.32982438933
ACH-000018,-1.3197457264
ACH-000019,-1.24709045024
ACH-000021,-1.21980679214
ACH-000022,-1.4054616345500002
ACH-000025,-1.31414842134
ACH-000028,-1.37616110792
ACH-000030,-1.4634998063100002
ACH-000035,-1.4031021869
ACH-000036,-1.34953351699
ACH-000037,-1.9289174751499998
ACH-000039,-1.6188610094
ACH-000040,-1.10972073575
ACH-000041,-1.31531578488
ACH-000042,-1.4633920666999998
ACH-000045,-1.31186515454
ACH-000047,-1.33808682652
ACH-000052,-1.48698559214
ACH-000053,-1.33615580306
ACH-000054,-1.44539694405
ACH-000055,-1.64119818824
ACH-000060,-1.2896996673299999
ACH-000067,-1.4672596683
ACH-000070,-1.22580408241
ACH-000075,-1.49981799384
ACH-000078,-1.6523467418
ACH-000082,-1.44982193801
ACH-000085,-1.5713818305899998
ACH-000086,-1.26887601395
ACH-000087,-1.3762859739200002
ACH-000092,-1.33637357462
ACH-000095,-1.39806195526
ACH-000097,-1.4188208177300001
ACH-000098,-1.2438673097
ACH-000099,-1.23335908624
ACH-000108,-1.40526504683
ACH-000113,-1.16688578241
ACH-000115,-1.66080674981
ACH-000116,-1.4834488316999999
ACH-000118,-1.52106752435
ACH-000120,-1.42222455651
ACH-000123,-1.36249672213
ACH-000127,-1.15973798118
ACH-000128,-1.3871790553799999
ACH-000132,-1.60892548909
ACH-000133,-1.3547723611899998
ACH-000137,-1.4524164646899997
ACH-000138,-1.2138179518
ACH-000142,-1.22943161904
ACH-000143,-1.3337251667899999
ACH-000146,-1.86391531343
ACH-000148,-1.5220497625999998
ACH-000150,-1.6083157403200001
ACH-000152,-1.2620286735
ACH-000153,-1.1212240455700002
ACH-000159,-1.22258921503
ACH-000160,-1.64375351319
ACH-000163,-1.50735704762
ACH-000167,-1.64034937794
ACH-000168,-1.38498185641
ACH-000169,-1.3478304480899999
ACH-000178,-1.47047607963
ACH-000182,-1.4448468336200002
ACH-000183,-1.41228134165
ACH-000188,-1.29556154339
ACH-000189,-1.2104104956200001
ACH-000190,-1.4465434281799998
ACH-000198,-1.23012744809
ACH-000204,-1.7802059039900002
ACH-000206,-1.36491229598
ACH-000207,-1.64085914595
ACH-000211,-1.24847619817
ACH-000215,-1.19464779369
ACH-000221,-1.5790846582799998
ACH-000222,-1.41396090216
ACH-000223,-1.34414499958
ACH-000226,-1.45393022599
ACH-000227,-2.07218111295
ACH-000228,-1.50544586819
ACH-000231,-1.3433148954299998
ACH-000232,-1.5859230458200002
ACH-000233,-1.3127594957
ACH-000234,-1.32366856983
ACH-000235,-1.2901940886
ACH-000237,-1.4038059653400001
ACH-000238,-1.49379911825
