,MAU2 (23383)
ACH-000004,-0.868658402158
ACH-000007,-0.784071939655
ACH-000009,-1.26519762509
ACH-000011,-0.9164664466820001
ACH-000012,-0.773484224096
ACH-000013,-0.8828952185969999
ACH-000014,-1.0170785740200001
ACH-000015,-1.11110880882
ACH-000017,-1.01711380095
ACH-000018,-0.915617610341
ACH-000019,-0.40242620996399997
ACH-000021,-0.679273525976
ACH-000022,-1.0011943295899999
ACH-000025,-0.410097971276
ACH-000028,-0.7910836081620001
ACH-000030,-0.41275871875299996
ACH-000035,-0.587138609656
ACH-000036,-0.6801359856999999
ACH-000037,-0.33833720384800003
ACH-000039,-0.768372208828
ACH-000040,-1.24631254513
ACH-000041,-1.31805029218
ACH-000042,-1.23700785621
ACH-000045,-0.6995767774330001
ACH-000047,-0.570354650996
ACH-000052,-0.860250606355
ACH-000053,-1.12368947174
ACH-000054,-0.414203344274
ACH-000055,-0.809358562342
ACH-000060,-0.30599217089200004
ACH-000067,-1.12180140841
ACH-000070,-0.750696162342
ACH-000075,-1.02765207635
ACH-000078,-0.33601039774999997
ACH-000082,-1.07510159763
ACH-000085,-0.333955758844
ACH-000086,-0.653803032096
ACH-000087,-0.9994255555789999
ACH-000092,-0.6914008125319999
ACH-000095,-0.882922669332
ACH-000097,-0.0492392169584
ACH-000098,-1.04578651636
ACH-000099,-0.925691378726
ACH-000108,-0.7577937469439999
ACH-000113,-0.933272005159
ACH-000115,-1.34692958984
ACH-000116,-0.31883850790999996
ACH-000118,-0.902922692849
ACH-000120,-0.735368417358
ACH-000123,-0.7543072562819999
ACH-000127,-0.897556130341
ACH-000128,-0.8670225054180001
ACH-000132,-0.243115833414
ACH-000133,-0.508285521078
ACH-000137,0.020200700468099998
ACH-000138,-0.786960246312
ACH-000142,-1.09517645787
ACH-000143,-1.14905123646
ACH-000146,-1.0953355356299999
ACH-000148,-0.825131984865
ACH-000150,-0.6981375524019999
ACH-000152,-0.622421640747
ACH-000153,-1.0377312243899999
ACH-000159,-0.643174073675
ACH-000160,-0.593116527561
ACH-000163,-1.25668291277
ACH-000167,-0.6640318512510001
ACH-000168,-0.955822400289
ACH-000169,-0.738559726805
ACH-000178,-0.951061992101
ACH-000182,-0.7148988810860001
ACH-000183,-0.9364437322779999
ACH-000188,-1.02332496364
ACH-000189,-0.403876690417
ACH-000190,-0.794961030459
ACH-000198,-0.640299364451
ACH-000204,-0.825536543211
ACH-000206,-0.721000287689
ACH-000207,-0.586011939061
ACH-000211,-0.525064752455
ACH-000215,-0.93722886574
ACH-000221,-0.8605409516310001
ACH-000222,-0.948536243894
ACH-000223,-0.7958276391779999
ACH-000226,-0.8159143137129999
ACH-000227,-0.468555082558
ACH-000228,-0.859521832894
ACH-000231,-0.399877942809
ACH-000232,-0.853822345878
ACH-000233,-0.7669587362289999
ACH-000234,-0.9468921039560001
ACH-000235,-1.05599712601
ACH-000237,-0.262771672637
ACH-000238,-0.490861356982
ACH-000243,-0.987190718478
ACH-000244,-0.536859344316
ACH-000246,-0.46076674328100004
ACH-000248,-1.26314688999
ACH-000250,-0.531118247498
ACH-000251,-0.495273832016
ACH-000253,-0.956125800855
ACH-000255,-0.793987839952
ACH-000256,-0.650005016005
ACH-000257,-0.6469869064429999
ACH-000258,-0.07762109447210001
ACH-000259,-1.1210116720899999
ACH-000260,-1.16559973782
ACH-000261,-0.953671227261
ACH-000262,-0.663475775566
ACH-000263,-0.716745209445
ACH-000264,-1.0045865455399998
ACH-000265,-0.760132706041
ACH-000266,-0.937989019006
ACH-000272,-0.0934839143421
ACH-000273,-0.523967981169
ACH-000274,-0.874351651628
ACH-000277,-0.778987210697
ACH-000278,-0.444229501711
ACH-000279,-1.21386698144
ACH-000280,-1.0769006428499999
ACH-000281,-0.827450584135
ACH-000288,0.011125452961600002
ACH-000291,-1.12576700951
ACH-000293,-0.754686433144
ACH-000294,-0.746770405899
ACH-000295,-0.6177895646580001
ACH-000296,-0.602683020984
ACH-000302,-0.243290073574
ACH-000304,-0.9382375865799999
ACH-000307,-0.899793843872
ACH-000308,-0.7387797174349999
ACH-000310,-0.500058268261
ACH-000311,-0.655948898887
ACH-000312,-0.7038803372660001
ACH-000315,-0.9190060505329999
ACH-000316,-0.37606156533699997
ACH-000317,-0.578659829934
ACH-000318,-0.8682573017849999
ACH-000319,-0.588867464249
ACH-000320,-0.719980216896
ACH-000322,-0.585334263299
ACH-000323,-1.00330126404
ACH-000324,-0.768201142025
ACH-000329,-0.393528086048
ACH-000330,-0.930124392654
ACH-000331,-0.78602527029
ACH-000332,-0.713459934522
ACH-000334,-1.4834404558899998
ACH-000335,-0.546288722826
ACH-000336,-0.917314024123
ACH-000337,-0.9835089239589999
ACH-000339,-0.8787208891539999
ACH-000341,-1.23264769893
ACH-000348,-0.593456924186
ACH-000350,-0.344338523723
ACH-000352,-0.7962911886890001
ACH-000356,-1.00421230113
ACH-000361,-1.0160344330700002
ACH-000362,-0.706302844745
ACH-000363,-0.942430190012
ACH-000364,-0.564642513243
ACH-000365,-0.7108731960789999
ACH-000366,-1.22412281729
ACH-000368,-0.718804165818
ACH-000374,-0.789502541803
ACH-000375,-0.850458841823
ACH-000376,-0.620261154755
ACH-000381,-0.769723032993
ACH-000383,-1.12656899332
ACH-000387,-0.9536929123219999
ACH-000389,-0.30844731679000004
ACH-000390,-0.950065273908
ACH-000393,-0.9534566552220001
ACH-000395,-0.8384425803129999
ACH-000397,-0.910990654585
ACH-000401,-0.7819645373559999
ACH-000402,-1.14464076731
ACH-000403,-0.537115319933
ACH-000404,-0.640027375116
ACH-000406,-0.769368725996
ACH-000407,-0.26466741603300004
ACH-000408,-0.906853038035
ACH-000410,-0.27003472204
ACH-000411,-0.575608452971
ACH-000414,-0.914507826716
ACH-000415,-0.988705502015
ACH-000416,-1.07718831662
ACH-000420,-0.238152940264
ACH-000421,-0.567141357597
ACH-000424,-0.6291923130100001
ACH-000425,-0.867827979672
ACH-000426,-1.1298931140200001
ACH-000427,-0.697297269807
ACH-000433,-0.654806548498
ACH-000436,-0.890240493848
