,CSDC2 (27254)
ACH-000004,-0.290029861421
ACH-000007,-0.268207728047
ACH-000009,-0.315663228472
ACH-000011,-0.322399832966
ACH-000012,-0.42101905552
ACH-000013,-0.313650725822
ACH-000014,-0.247870380856
ACH-000015,-0.29049679075999996
ACH-000017,-0.32671621980099996
ACH-000018,-0.343343718802
ACH-000019,-0.32549297996800003
ACH-000021,-0.283448102656
ACH-000022,-0.262040310988
ACH-000025,-0.37758305061999997
ACH-000028,-0.307993134089
ACH-000030,-0.427486793546
ACH-000035,-0.175134077776
ACH-000036,-0.388360946777
ACH-000037,-0.191895711032
ACH-000039,-0.152210191612
ACH-000040,-0.11485964637900001
ACH-000041,-0.239947375945
ACH-000042,-0.313376305244
ACH-000045,-0.250523571877
ACH-000047,-0.15976801618699998
ACH-000052,-0.5846245560660001
ACH-000053,-0.255897892859
ACH-000054,-0.20181408350699998
ACH-000055,-0.28522099862399997
ACH-000060,-0.47244897035300004
ACH-000067,-0.377438732218
ACH-000070,-0.0484813749526
ACH-000075,-0.26766215483100003
ACH-000078,-0.274342514976
ACH-000082,-0.100229073223
ACH-000085,-0.0878210264176
ACH-000086,-0.141438310414
ACH-000087,-0.259932104202
ACH-000092,-0.32376878778499996
ACH-000095,-0.445371208031
ACH-000097,-0.36623369723099997
ACH-000098,-0.399696272892
ACH-000099,-0.206487540651
ACH-000108,-0.339118621192
ACH-000113,-0.308506236614
ACH-000115,-0.42438898523
ACH-000116,-0.212713753449
ACH-000118,-0.208776310764
ACH-000120,-0.29763563106999996
ACH-000123,-0.265326930331
ACH-000127,-0.238557384369
ACH-000128,-0.283809416125
ACH-000132,-0.326800076422
ACH-000133,-0.24755678007800003
ACH-000137,-0.318918580074
ACH-000138,-0.230823564412
ACH-000142,-0.29282398376999996
ACH-000143,-0.123416683874
ACH-000146,-0.208098316979
ACH-000148,-0.226825383719
ACH-000150,-0.145958829804
ACH-000152,-0.23356105498799998
ACH-000153,-0.348264872357
ACH-000159,-0.126345787816
ACH-000160,-0.230496560489
ACH-000163,-0.313092332402
ACH-000167,-0.19300120476799998
ACH-000168,-0.09910805154880001
ACH-000169,-0.35706939761699996
ACH-000178,-0.118305559939
ACH-000182,0.0126860118648
ACH-000183,-0.41111443038
ACH-000188,-0.352749329855
ACH-000189,-0.438705913922
ACH-000190,-0.126455583386
ACH-000198,-0.432201932975
ACH-000204,-0.302862786663
ACH-000206,0.084876760284
ACH-000207,-0.383377292744
ACH-000211,-0.379041673867
ACH-000215,-0.250133587086
ACH-000221,-0.290704645853
ACH-000222,-0.272375483406
ACH-000223,-0.35275461536700004
ACH-000226,-0.147180099227
ACH-000227,-0.472162903521
ACH-000228,-0.248220995568
ACH-000231,-0.34094692990500003
ACH-000232,-0.418160456906
ACH-000233,-0.280031571272
ACH-000234,-0.22560129059300002
ACH-000235,-0.372604518229
ACH-000237,-0.192838448802
ACH-000238,-0.154578216808
ACH-000243,-0.25569037855300003
ACH-000244,-0.0967933275203
ACH-000246,-0.229464134267
ACH-000248,-0.17910127646899998
ACH-000250,-0.17738476654100002
ACH-000251,-0.146934706836
ACH-000253,-0.137204657012
ACH-000255,-0.241577233339
ACH-000256,-0.22960239010699998
ACH-000257,-0.00195320506728
ACH-000258,-0.107485319542
ACH-000259,-0.246261119767
ACH-000260,-0.128229488331
ACH-000261,-0.298856576777
ACH-000262,-0.11003513674399999
ACH-000263,-0.09570909485819999
ACH-000264,-0.316662919467
ACH-000265,-0.200890347934
ACH-000266,-0.206530148846
ACH-000272,-0.338361212227
ACH-000273,-0.299221477826
ACH-000274,-0.291443299966
ACH-000277,-0.187583032821
ACH-000278,-0.308143056164
ACH-000279,-0.24334043817200002
ACH-000280,-0.21896887508
ACH-000281,-0.163640528077
ACH-000288,-0.29484265673500004
ACH-000291,-0.10883081886399999
ACH-000293,-0.28480584327799996
ACH-000294,-0.225302226358
ACH-000295,-0.023817905076299998
ACH-000296,-0.563904393128
ACH-000302,-0.286844495807
ACH-000304,-0.232609005876
ACH-000307,-0.227689152042
ACH-000308,-0.24964499085900002
ACH-000310,-0.24583176497200002
ACH-000311,-0.11080714473099999
ACH-000312,-0.27731209339699997
ACH-000315,-0.0597193241834
ACH-000316,-0.10881581477800001
ACH-000317,-0.0283014210004
ACH-000318,-0.467386543967
ACH-000319,-0.15187014289
ACH-000320,-0.442461761759
ACH-000322,-0.050583584195300006
ACH-000323,-0.38730593455300005
ACH-000324,-0.326139107341
ACH-000329,-0.222419557163
ACH-000330,-0.246069354341
ACH-000331,-0.0269909888077
ACH-000332,-0.244179076369
ACH-000334,-0.576906169251
ACH-000335,-0.45799044962499996
ACH-000336,-0.154742856782
ACH-000337,-0.29395016879700003
ACH-000339,-0.16167412871300002
ACH-000341,-0.19968018145
ACH-000348,-0.166069660757
ACH-000350,-0.29796893749000003
ACH-000352,-0.319246161736
ACH-000356,-0.354953429013
ACH-000361,-0.324287933807
ACH-000362,-0.274520335716
ACH-000363,-0.282856300722
ACH-000364,-0.329808999317
ACH-000365,-0.38856267052599996
ACH-000366,-0.25255401131
ACH-000368,-0.477265315942
ACH-000374,-0.191276520685
ACH-000375,-0.21421059413
ACH-000376,-0.20744268763700002
ACH-000381,-0.18221055882800002
ACH-000383,-0.327670228742
ACH-000387,-0.331493080249
ACH-000389,-0.312322860383
ACH-000390,-0.366031695664
ACH-000393,-0.282200922676
ACH-000395,-0.259856979389
ACH-000397,-0.397846198531
ACH-000401,-0.46591273223499996
ACH-000402,-0.344440588988
ACH-000403,-0.300372233886
ACH-000404,-0.150863292944
ACH-000406,-0.22139852048500003
ACH-000407,-0.25124418901
ACH-000408,-0.339318909621
ACH-000410,-0.14624634228
ACH-000411,-0.174758229703
ACH-000414,-0.27274933756299996
ACH-000415,-0.22399437836599997
ACH-000416,-0.28141084638
ACH-000420,-0.253891345717
ACH-000421,-0.24375503692400002
ACH-000424,-0.343863629128
ACH-000425,-0.38400679390500003
ACH-000426,-0.19925384748799999
ACH-000427,-0.18546529672000003
ACH-000433,-0.263815626146
ACH-000436,-0.30742275726999996
ACH-000444,-0.17234275789099998
