,URM1 (81605)
ACH-000004,-0.886096641345
ACH-000007,-0.8436594465870001
ACH-000009,-0.991578586648
ACH-000011,-1.14063531546
ACH-000012,-0.929669155288
ACH-000013,-1.03792482805
ACH-000014,-1.20309277626
ACH-000015,-0.94440597619
ACH-000017,-1.12345085999
ACH-000018,-1.0771732967
ACH-000019,-0.754253235226
ACH-000021,-1.06429045787
ACH-000022,-0.759546875052
ACH-000025,-1.1827858036399999
ACH-000028,-0.925803873582
ACH-000030,-1.17100095862
ACH-000035,-0.709922772246
ACH-000036,-1.16927858525
ACH-000037,-0.691591062197
ACH-000039,-0.800064187157
ACH-000040,-1.0954470976100001
ACH-000041,-1.4181795206
ACH-000042,-0.922748338039
ACH-000045,-1.0674778359100001
ACH-000047,-0.7234231593160001
ACH-000052,-0.776544118408
ACH-000053,-0.933716600758
ACH-000054,-0.97062626784
ACH-000055,-1.057301517
ACH-000060,-0.924023594708
ACH-000067,-0.8001331101379999
ACH-000070,-0.971008408073
ACH-000075,-1.0829951694600002
ACH-000078,-0.702211565809
ACH-000082,-0.805748357758
ACH-000085,-0.8427833786519999
ACH-000086,-1.26715707054
ACH-000087,-1.32447140863
ACH-000092,-1.1752138992
ACH-000095,-1.20364416272
ACH-000097,-0.536000326718
ACH-000098,-1.0786650168799998
ACH-000099,-0.900430625895
ACH-000108,-1.06855894418
ACH-000113,-0.775565749613
ACH-000115,-0.63030918614
ACH-000116,-0.7524708603270001
ACH-000118,-0.5605362328469999
ACH-000120,-1.05456660528
ACH-000123,-0.95660358295
ACH-000127,-1.07023036829
ACH-000128,-0.808771620275
ACH-000132,-1.4703451355000001
ACH-000133,-1.1809454177399998
ACH-000137,-0.850554397199
ACH-000138,-0.994473768925
ACH-000142,-1.09083205995
ACH-000143,-0.859542497647
ACH-000146,-0.450572373099
ACH-000148,-0.9504358965009999
ACH-000150,-0.8032461135660001
ACH-000152,-0.6564044548929999
ACH-000153,-0.833768179475
ACH-000159,-1.0
ACH-000160,-0.792833747023
ACH-000163,-1.24502853091
ACH-000167,-0.891442725555
ACH-000168,-1.19332152959
ACH-000169,-0.9317339736820001
ACH-000178,-1.0356467989700002
ACH-000182,-0.520125684001
ACH-000183,-1.11863372312
ACH-000188,-0.8690685959379999
ACH-000189,-1.23469426318
ACH-000190,-1.11620422532
ACH-000198,-1.0349835486299999
ACH-000204,-0.854212859639
ACH-000206,-0.85361208927
ACH-000207,-0.983813872087
ACH-000211,-1.18798936017
ACH-000215,-1.2560021946100002
ACH-000221,-0.982229691132
ACH-000222,-0.906177348865
ACH-000223,-0.601850926079
