,PTH2R (5746)
ACH-000004,-0.258788916737
ACH-000007,-0.211194718312
ACH-000009,-0.41437071811
ACH-000011,-0.0663871922198
ACH-000012,-0.174949023179
ACH-000013,-0.134272685803
ACH-000014,-0.113730276972
ACH-000015,-0.230852135011
ACH-000017,-0.10366068944199999
ACH-000018,-0.15983655750999998
ACH-000019,-0.24229720758900003
ACH-000021,-0.179790451274
ACH-000022,-0.284936581789
ACH-000025,-0.0727678949884
ACH-000028,-0.112345682426
ACH-000030,-0.181442644135
ACH-000035,0.048641574737
ACH-000036,-0.21642474961999997
ACH-000037,-0.125615816563
ACH-000039,-0.320474538041
ACH-000040,-0.08740903801529999
ACH-000041,-0.150388592444
ACH-000042,-0.224971894624
ACH-000045,-0.0531731120808
ACH-000047,-0.338631362205
ACH-000052,-0.20748602615400003
ACH-000053,-0.183190891583
ACH-000054,-0.09570043147230001
ACH-000055,-0.217907873502
ACH-000060,-0.10416010979800001
ACH-000067,-0.141307906984
ACH-000070,0.019948845464
ACH-000075,-0.0985260755917
ACH-000078,-0.365620188229
ACH-000082,-0.155076437929
ACH-000085,-0.24669331783300003
ACH-000086,-0.19771443809
ACH-000087,-0.0415153840704
ACH-000092,-0.147788024932
ACH-000095,-0.35969317133900003
ACH-000097,-0.139934437298
ACH-000098,-0.113285068105
ACH-000099,-0.254734750728
ACH-000108,-0.08561047191889999
ACH-000113,-0.23517483745499998
ACH-000115,-0.00885013249602
ACH-000116,-0.20830358066799998
ACH-000118,-0.18766540535700002
ACH-000120,-0.0620474191151
ACH-000123,-0.291641871519
ACH-000127,-0.11313144042199999
ACH-000128,-0.154086189447
ACH-000132,-0.29713206431999994
ACH-000133,-0.228729236578
ACH-000137,-0.155361690897
ACH-000138,-0.07554350166280001
ACH-000142,-0.13530331420999997
ACH-000143,-0.241753234573
ACH-000146,-0.114116847896
ACH-000148,-0.105783258909
ACH-000150,-0.287259921303
ACH-000152,-0.264897128567
ACH-000153,-0.347827720419
ACH-000159,-0.0965295908413
ACH-000160,-0.153577869938
ACH-000163,-0.18952149050500003
ACH-000167,-0.0974845844046
ACH-000168,-0.37844312436800004
ACH-000169,-0.0995609460146
ACH-000178,-0.206456212709
ACH-000182,-0.19598650242899998
ACH-000183,-0.216176884954
ACH-000188,-0.013819405199200002
ACH-000189,-0.5320772381459999
ACH-000190,-0.196303656248
ACH-000198,-0.187067168243
ACH-000204,-0.488255361778
ACH-000206,-0.045860758563599995
ACH-000207,-0.323210331332
ACH-000211,-0.263833663505
ACH-000215,-0.17954731651099998
ACH-000221,-0.20662236821899999
ACH-000222,-0.17508238092099998
ACH-000223,-0.301523581327
ACH-000226,-0.158914800346
ACH-000227,-0.288338718444
ACH-000228,-0.107980657602
ACH-000231,-0.172903604251
ACH-000232,-0.33474978451
ACH-000233,0.07425561873860001
ACH-000234,-0.23890898502900001
ACH-000235,-0.17427670767099998
ACH-000237,-0.221073792865
ACH-000238,-0.0552770693282
ACH-000243,-0.261411589246
ACH-000244,-0.259467073901
ACH-000246,-0.290926544435
ACH-000248,-0.0505591632058
ACH-000250,-0.158108843672
ACH-000251,-0.37068948948799996
ACH-000253,-0.153483765702
ACH-000255,-0.08577376358110002
ACH-000256,-0.13566075396
ACH-000257,-0.259992502765
ACH-000258,-0.53395918804
ACH-000259,-0.17118057374499998
ACH-000260,-0.237526988528
ACH-000261,-0.18336071361200001
ACH-000262,-0.158333349816
ACH-000263,0.0824466254068
ACH-000264,-0.248107706283
ACH-000265,-0.175390222544
ACH-000266,-0.22908618076499998
ACH-000272,-0.226692294577
ACH-000273,-0.277507562963
ACH-000274,-0.431283599054
ACH-000277,-0.311279900921
ACH-000278,-0.11166045189000001
ACH-000279,-0.191287491134
ACH-000280,-0.178689202933
ACH-000281,-0.0482039264088
ACH-000288,-0.167205740524
ACH-000291,-0.29409439272300003
ACH-000293,-0.041389607455000005
ACH-000294,-0.168971973724
ACH-000295,-0.116739332325
ACH-000296,-0.241265067157
ACH-000302,-0.0841254746073
ACH-000304,-0.198756438005
ACH-000307,-0.189661302299
ACH-000308,-0.0584383555014
ACH-000310,-0.436379103389
ACH-000311,-0.204175004179
ACH-000312,-0.24437336763
ACH-000315,0.0224961048383
ACH-000316,-0.0212405850809
ACH-000317,-0.126653420457
ACH-000318,-0.14685930342599998
ACH-000319,-0.295898766654
ACH-000320,-0.146041057702
ACH-000322,0.006130186887109999
ACH-000323,-0.0517135734329
ACH-000324,-0.33778320081
ACH-000329,-0.311131391634
ACH-000330,-0.25709958995
ACH-000331,-0.174364606426
ACH-000332,-0.20033892701099998
ACH-000334,-0.07451246982319999
ACH-000335,-0.17068823909699998
ACH-000336,0.045526934974199997
