,KHDC1L (100129128)
ACH-000004,-0.325611799278
ACH-000007,-0.23566173266600002
ACH-000009,-0.0893818458262
ACH-000011,-0.0231480905058
ACH-000012,-0.113193396798
ACH-000013,-0.231066695252
ACH-000014,-0.253082396943
ACH-000015,-0.09250416965080001
ACH-000017,-0.161971765568
ACH-000018,-0.25759355525100003
ACH-000019,-0.00225985836034
ACH-000021,-0.490342302442
ACH-000022,-0.127129884251
ACH-000025,-0.200368294927
ACH-000028,-0.220009662824
ACH-000030,-0.29716851766999997
ACH-000035,0.00955127433749
ACH-000036,-0.147047034496
ACH-000037,0.0544762061483
ACH-000039,-0.320070305579
ACH-000040,-0.247852088965
ACH-000041,-0.16400543987900001
ACH-000042,-0.09402261287580001
ACH-000045,-0.162863266536
ACH-000047,-0.12611774695
ACH-000052,-0.112754285112
ACH-000053,-0.187302704457
ACH-000054,-0.068741563105
ACH-000055,-0.181581923458
ACH-000060,-0.0753000395033
ACH-000067,-0.200193134737
ACH-000070,-0.0512572525254
ACH-000075,0.137432591369
ACH-000078,-0.270425714966
ACH-000082,-0.107199791949
ACH-000085,-0.106801745529
ACH-000086,-0.135856814253
ACH-000087,0.103144956368
ACH-000092,-0.40675390307400006
ACH-000095,-0.206425670331
ACH-000097,-0.189545113884
ACH-000098,-0.200277227116
ACH-000099,-0.215139485803
ACH-000108,-0.154761272454
ACH-000113,-0.0976730114568
ACH-000115,0.0954947046004
ACH-000116,-0.242043224553
ACH-000118,-0.236071185908
ACH-000120,0.0065820813508
ACH-000123,-0.46742617548199994
ACH-000127,-0.39129869991899996
ACH-000128,-0.118051571919
ACH-000132,-0.40229654855499997
ACH-000133,-0.285709868841
ACH-000137,-0.050517788924599995
ACH-000138,-0.27212825314100003
ACH-000142,0.00590098093979
ACH-000143,-0.08694559135260001
ACH-000146,-0.117723735564
ACH-000148,-0.050008085165800006
ACH-000150,-0.222112936017
ACH-000152,-0.06959547363230001
ACH-000153,0.07605274139660001
ACH-000159,-0.200442053727
ACH-000160,-0.158592404201
ACH-000163,0.07634960298839999
ACH-000167,-0.175846359797
ACH-000168,-0.191956923013
ACH-000169,-0.193667712676
ACH-000178,-0.228396579899
ACH-000182,-0.19876931904
ACH-000183,-0.305627429557
ACH-000188,-0.0540482709421
ACH-000189,-0.482126411876
