,SARS (6301)
ACH-000004,-2.1998395731000002
ACH-000007,-2.07603369061
ACH-000009,-2.16375664541
ACH-000011,-2.02087735785
ACH-000012,-1.8629081987799998
ACH-000013,-2.2670551556
ACH-000014,-2.09824336732
ACH-000015,-2.02436610336
ACH-000017,-2.14879130792
ACH-000018,-1.56546135338
ACH-000019,-2.0725691733500002
ACH-000021,-2.07973160931
ACH-000022,-2.14615894222
ACH-000025,-1.76192066285
ACH-000028,-1.77738947032
ACH-000030,-2.04560168128
ACH-000035,-1.8531360433700002
ACH-000036,-1.9231761214099998
ACH-000037,-2.79192861814
ACH-000039,-2.0699339107799997
ACH-000040,-1.56744886996
ACH-000041,-2.2470417445099997
ACH-000042,-1.9833552754700001
ACH-000045,-2.2192885208
ACH-000047,-2.03929432638
ACH-000052,-1.7452485063099998
ACH-000053,-1.99521248733
ACH-000054,-2.0153548562599997
ACH-000055,-1.96437667965
ACH-000060,-1.95470387449
ACH-000067,-1.5308983882799998
ACH-000070,-2.4821109855700003
ACH-000075,-1.97323588621
ACH-000078,-1.97953672163
ACH-000082,-1.9883031851400004
ACH-000085,-1.8805261594799998
ACH-000086,-1.65796605595
ACH-000087,-2.27633735043
ACH-000092,-1.9431520336800001
ACH-000095,-2.3226935910099997
ACH-000097,-2.13150369942
ACH-000098,-1.90981428928
ACH-000099,-2.2047039770400003
ACH-000108,-1.7246858999799999
ACH-000113,-2.18478446559
ACH-000115,-2.89818457982
ACH-000116,-1.7132037336000001
ACH-000118,-1.8627517484
ACH-000120,-1.92305149675
ACH-000123,-2.12379449273
ACH-000127,-2.09433498668
ACH-000128,-2.19650832746
ACH-000132,-2.01971832532
ACH-000133,-1.65996665997
ACH-000137,-1.7818662375499998
ACH-000138,-1.7872823129400004
ACH-000142,-2.0617859695900003
ACH-000143,-1.77008637806
ACH-000146,-2.37667171176
ACH-000148,-1.9514291149
ACH-000150,-2.0493676907
ACH-000152,-1.75427010665
ACH-000153,-1.7457901863
ACH-000159,-1.9987942033099997
ACH-000160,-2.3038078191299998
ACH-000163,-1.8198697928
ACH-000167,-2.63753938928
ACH-000168,-1.9631488563599997
ACH-000169,-1.8644832036599999
ACH-000178,-1.8482473637599999
ACH-000182,-2.01186034126
ACH-000183,-2.0036951894999997
ACH-000188,-1.63265974271
ACH-000189,-1.62372514287
ACH-000190,-2.1140888276800003
ACH-000198,-2.20919327627
ACH-000204,-1.9588243139900001
ACH-000206,-1.25952068116
ACH-000207,-3.10853809122
ACH-000211,-2.02861654464
ACH-000215,-2.0844801849200003
ACH-000221,-2.06195750572
ACH-000222,-1.8802120251199999
ACH-000223,-1.9768603345500002
ACH-000226,-1.90005773053
ACH-000227,-2.04039323181
ACH-000228,-1.8415429128299998
ACH-000231,-1.7291567917099997
ACH-000232,-2.10194030275
ACH-000233,-1.9117343046400002
ACH-000234,-2.11420559758
ACH-000235,-2.07812425378
ACH-000237,-1.66224336285
ACH-000238,-1.9568538596
ACH-000243,-1.9098384473400003
