,GAR1 (54433)
ACH-000004,-0.6842868324250001
ACH-000007,-0.677498175826
ACH-000009,-0.269909670158
ACH-000011,-1.24386445185
ACH-000012,-0.598790425307
ACH-000013,-0.543826981602
ACH-000014,-0.662995867069
ACH-000015,-0.511981693829
ACH-000017,-0.514930353129
ACH-000018,-0.560680017146
ACH-000019,-0.484359568079
ACH-000021,-0.510866245305
ACH-000022,-0.811649876469
ACH-000025,-0.596233934217
ACH-000028,-0.7308875078749999
ACH-000030,-0.719920969367
ACH-000035,-0.469817742347
ACH-000036,-0.741646902668
ACH-000037,-1.3015469661
ACH-000039,-0.258190510424
ACH-000040,-0.695391924479
ACH-000041,-0.8784870585879999
ACH-000042,-0.754518766471
ACH-000045,-0.7358691419300001
ACH-000047,-0.570879119391
ACH-000052,-0.549715832883
ACH-000053,-0.435711281527
ACH-000054,-0.7926826852969999
ACH-000055,-0.523121950185
ACH-000060,-0.867241649993
ACH-000067,-0.619031017875
ACH-000070,-0.773357243994
ACH-000075,-0.725703510219
ACH-000078,-0.69119368135
ACH-000082,-0.6826702518209999
ACH-000085,-0.676934280709
ACH-000086,-0.595251924643
ACH-000087,-0.879949798193
ACH-000092,-0.775970099798
ACH-000095,-0.732038065659
ACH-000097,-0.6920449710340001
ACH-000098,-0.7266553498080001
ACH-000099,-0.666651066147
ACH-000108,-0.7739098515189999
ACH-000113,-0.635431738576
ACH-000115,-0.36217681432599996
ACH-000116,-1.08827123111
ACH-000118,-0.539617285544
ACH-000120,-0.51349604175
ACH-000123,-0.37251265901999997
ACH-000127,-0.7308027048929999
ACH-000128,-0.665193806523
ACH-000132,-0.8795774153110001
ACH-000133,-0.728687308976
ACH-000137,-0.640426109575
ACH-000138,-0.40623478104000005
ACH-000142,-0.848440655045
ACH-000143,-0.610952574193
ACH-000146,-0.608002978648
ACH-000148,-0.716576659887
ACH-000150,-0.676147478771
ACH-000152,-0.635320697956
ACH-000153,-0.968157333874
ACH-000159,-0.748186637133
ACH-000160,-0.621215422887
ACH-000163,-0.709536012984
ACH-000167,-0.325381522308
ACH-000168,-0.457468208713
ACH-000169,-0.789179015486
ACH-000178,-0.805333689075
ACH-000182,-0.49170891843599995
ACH-000183,-0.514088481816
ACH-000188,-0.8319552624330001
ACH-000189,-1.15820932069
ACH-000190,-0.5515920081769999
ACH-000198,-0.519135627482
ACH-000204,-0.693180702807
ACH-000206,-0.7723280885160001
ACH-000207,-0.5443208619600001
ACH-000211,-0.661833010746
ACH-000215,-0.6765921070469999
ACH-000221,-0.496327152654
ACH-000222,-0.45525655495800005
ACH-000223,-0.534609376738
ACH-000226,-0.541005685763
ACH-000227,-0.6200419181369999
ACH-000228,-0.745281575088
ACH-000231,-0.649950253899
ACH-000232,-0.558517564803
ACH-000233,-0.412994400124
ACH-000234,-0.334885473633
ACH-000235,-0.542190171153
