,KLHDC8A (55220)
ACH-000004,-0.22906695989599998
ACH-000007,-0.299985503285
ACH-000009,-0.591530484913
ACH-000011,-0.7251267021209999
ACH-000012,-0.362419939019
ACH-000013,-0.396373577048
ACH-000014,-0.275560570779
ACH-000015,-0.262017747099
ACH-000017,-0.480503926916
ACH-000018,-0.43017410406900003
ACH-000019,-0.648406730831
ACH-000021,-0.31317739926
ACH-000022,-0.24897892589
ACH-000025,-0.48086575243900004
ACH-000028,-0.333646741629
ACH-000030,-0.36600103850599996
ACH-000035,-0.279927493659
ACH-000036,-0.34460137682899994
ACH-000037,-0.492693813279
ACH-000039,-0.26107245216499997
ACH-000040,-0.42427505917400005
ACH-000041,-0.548326237675
ACH-000042,-0.550038866499
ACH-000045,-0.274077447515
ACH-000047,-0.47674583044200003
ACH-000052,-0.195100365182
ACH-000053,-0.336700875295
ACH-000054,-0.413339666414
ACH-000055,-0.20999760112399998
ACH-000060,-0.365186858183
ACH-000067,-0.37632575519
ACH-000070,-0.402815004423
ACH-000075,-0.418814138595
ACH-000078,-0.38125495329000003
ACH-000082,-0.355767046768
ACH-000085,-0.48070655093599995
ACH-000086,-0.6832949235600001
ACH-000087,-0.37773032645099996
ACH-000092,-0.41983317130000003
ACH-000095,-0.535367317756
ACH-000097,-0.41293652928
ACH-000098,-0.440122599749
ACH-000099,-0.33258734260899997
ACH-000108,-0.475093732715
ACH-000113,-0.48559158318499995
ACH-000115,-0.234272675475
ACH-000116,-0.380168516371
ACH-000118,-0.382586963094
ACH-000120,-0.5954321433209999
ACH-000123,-0.31397925866799997
ACH-000127,-0.41916981488399996
ACH-000128,-0.517944378309
ACH-000132,-0.487240205549
ACH-000133,-0.396686622931
ACH-000137,-0.325446341406
ACH-000138,-0.309061749188
ACH-000142,-0.44434917109
ACH-000143,-0.496649893252
ACH-000146,-0.38505866093
ACH-000148,-0.351546206811
ACH-000150,-0.326712883316
ACH-000152,-0.224576326679
ACH-000153,-0.369030026454
ACH-000159,-0.53467130127
ACH-000160,-0.5321634259260001
ACH-000163,-0.611286156097
ACH-000167,-0.0286652320358
ACH-000168,-0.19419106479899997
ACH-000169,-0.373125963475
ACH-000178,-0.41475391141
ACH-000182,-0.474062133413
ACH-000183,-0.373889415638
ACH-000188,-0.51497918907
ACH-000189,-0.249204668224
ACH-000190,-0.105843921761
ACH-000198,-0.469637884115
ACH-000204,-0.484666392089
ACH-000206,-0.389952149651
ACH-000207,-0.18227931684999998
ACH-000211,-0.36665289287600006
ACH-000215,-0.519224078956
