,COCH (1690)
ACH-000004,-0.314808528735
ACH-000007,-0.38828965573799995
ACH-000009,-0.274525307301
ACH-000011,-0.271669462221
ACH-000012,-0.290539283332
ACH-000013,-0.29069451037599997
ACH-000014,-0.223523380627
ACH-000015,-0.139555539595
ACH-000017,-0.353758774612
ACH-000018,-0.428285536486
ACH-000019,-0.49716801795500004
ACH-000021,-0.344146126052
ACH-000022,-0.191027175105
ACH-000025,-0.240538396397
ACH-000028,-0.255087849533
ACH-000030,-0.23564844475000002
ACH-000035,-0.0326983519084
ACH-000036,-0.38809547136
ACH-000037,-0.335105561581
ACH-000039,-0.033688576134900006
ACH-000040,-0.20070223941399998
ACH-000041,-0.0542701156128
ACH-000042,-0.223671244641
ACH-000045,-0.161417145493
ACH-000047,-0.238871195673
ACH-000052,-0.438517704651
ACH-000053,-0.330030428889
ACH-000054,-0.283045515191
ACH-000055,-0.11707591746200001
ACH-000060,-0.5742451473929999
ACH-000067,-0.290365016636
ACH-000070,-0.172775604582
ACH-000075,-0.436315212625
ACH-000078,-0.276268398549
ACH-000082,-0.22676646590500002
ACH-000085,-0.149697596111
ACH-000086,-0.29756908553399997
ACH-000087,-0.128230023965
ACH-000092,-0.408055285965
ACH-000095,-0.2068616493
ACH-000097,-0.264571047759
ACH-000098,-0.31629539849800004
ACH-000099,-0.268045923346
ACH-000108,-0.241567954458
ACH-000113,-0.24598900623300002
ACH-000115,-0.20053641845400003
ACH-000116,-0.191504855092
ACH-000118,-0.35948203105099996
ACH-000120,-0.396934092032
ACH-000123,-0.313894115086
ACH-000127,-0.24263824695900002
ACH-000128,-0.0986191643292
ACH-000132,-0.08385917005860001
ACH-000133,-0.55044260493
ACH-000137,-0.256731546056
ACH-000138,-0.291878810185
ACH-000142,-0.305491103065
ACH-000143,-0.259235282186
ACH-000146,-0.34041496146300004
ACH-000148,-0.49740586302400003
ACH-000150,-0.16170715476199998
ACH-000152,-0.168816977144
ACH-000153,-0.349993117651
ACH-000159,-0.281317424293
ACH-000160,-0.46746882669100004
ACH-000163,-0.17711814318100003
ACH-000167,-0.303943404416
ACH-000168,-0.236695521743
ACH-000169,-0.198965281886
ACH-000178,-0.08842642742939999
ACH-000182,-0.21051456037500002
ACH-000183,-0.2804620261
ACH-000188,-0.302664014308
ACH-000189,-0.060661097030800006
ACH-000190,-0.22835295484999998
ACH-000198,-0.273929072317
ACH-000204,-0.16494520190300002
ACH-000206,-0.0941769133296
ACH-000207,-0.397237135729
ACH-000211,-0.285325220782
ACH-000215,-0.337331870122
ACH-000221,-0.223033629038
ACH-000222,-0.24361826995299998
ACH-000223,-0.209886661743
ACH-000226,-0.468539876264
ACH-000227,-0.414067708155
ACH-000228,-0.278215774181
ACH-000231,-0.356412184807
ACH-000232,-0.284815887561
ACH-000233,-0.12059160613500002
ACH-000234,-0.0569153287708
ACH-000235,-0.300399778086
ACH-000237,-0.163449931801
ACH-000238,-0.21892385285399998
ACH-000243,-0.330615169771
ACH-000244,-0.255627063319
ACH-000246,-0.23981272942899998
ACH-000248,-0.30856703896800003
ACH-000250,-0.21890773300799998
ACH-000251,0.108954102524
ACH-000253,-0.258970219962
ACH-000255,-0.153603862928
ACH-000256,-0.259960075791
ACH-000257,-0.503540317976
ACH-000258,-0.101970899217
ACH-000259,-0.24881836349800002
ACH-000260,-0.28933465902399996
ACH-000261,-0.305254685973
ACH-000262,-0.315819904133
ACH-000263,-0.278175586056
ACH-000264,-0.475212571271
ACH-000265,-0.215506833037
ACH-000266,-0.245802737832
ACH-000272,-0.12857036865
ACH-000273,-0.09644334745699999
ACH-000274,-0.164266768235
ACH-000277,-0.037876680787999994
ACH-000278,-0.364931558529
ACH-000279,-0.237705939736
ACH-000280,-0.47417845923
ACH-000281,-0.169783346809
ACH-000288,-0.214851186047
ACH-000291,-0.145900959123
ACH-000293,-0.289569391446
ACH-000294,-0.23417050016899998
ACH-000295,-0.179546964822
ACH-000296,-0.406722734239
ACH-000302,-0.125288561479
ACH-000304,-0.0378316589688
ACH-000307,-0.25012794462
ACH-000308,-0.132756827496
ACH-000310,-0.08555128232860001
ACH-000311,-0.35541896527500005
ACH-000312,-0.19249604003100002
ACH-000315,-0.31384943245499997
ACH-000316,-0.349743784358
ACH-000317,-0.127407551682
ACH-000318,-0.12848688644099998
ACH-000319,-0.252413730425
ACH-000320,-0.503764672662
ACH-000322,-0.15100880037
ACH-000323,-0.335090430848
ACH-000324,-0.188577252819
ACH-000329,-0.0847357783574
ACH-000330,-0.377222087943
ACH-000331,-0.130032819869
ACH-000332,-0.270750006563
ACH-000334,-0.411278953101
ACH-000335,-0.589902881736
ACH-000336,0.020063641013900003
ACH-000337,-0.686224322834
ACH-000339,-0.200401797685
ACH-000341,-0.289055059262
ACH-000348,-0.2538769579
ACH-000350,-0.292657280453
ACH-000352,-0.214008653888
ACH-000356,-0.524720132969
ACH-000361,-0.229194979892
ACH-000362,-0.257308799621
ACH-000363,-0.321702301796
ACH-000364,-0.249930945819
ACH-000365,-0.265420551112
ACH-000366,-0.429152273149
ACH-000368,-0.5174867234130001
ACH-000374,-0.14535467706900002
ACH-000375,-0.597606707312
ACH-000376,-0.279691401013
ACH-000381,-0.19587452986900003
ACH-000383,-0.26445593739100004
ACH-000387,-0.36510304747
