,NAV1 (89796)
ACH-000004,-0.24829573266899999
ACH-000007,-0.390069240551
ACH-000009,-0.11107668581499999
ACH-000011,-0.161126968045
ACH-000012,-0.16124854090399998
ACH-000013,-0.0468857950183
ACH-000014,-0.147856249093
ACH-000015,-0.16493988963
ACH-000017,-0.332064160385
ACH-000018,-0.126789091656
ACH-000019,0.136468569321
ACH-000021,-0.164498259639
ACH-000022,-0.220683184257
ACH-000025,-0.19415530267499997
ACH-000028,-0.20619979138300001
ACH-000030,-0.07990285745619999
ACH-000035,-0.40452849065499996
ACH-000036,-0.418835940026
ACH-000037,-0.12286718334100001
ACH-000039,0.165375173496
ACH-000040,-0.266139465417
ACH-000041,-0.34354470215800004
ACH-000042,-0.19531626182
ACH-000045,-0.045384511073799996
ACH-000047,-0.177233824112
ACH-000052,-0.0836727440878
ACH-000053,-0.0560912821318
ACH-000054,-0.192213538785
ACH-000055,-0.194330312904
ACH-000060,-0.31377125321800003
ACH-000067,-0.0627517642934
ACH-000070,-0.374820179039
ACH-000075,-0.431125784884
ACH-000078,0.123678771887
ACH-000082,-0.36934970918399995
ACH-000085,-0.567635196989
ACH-000086,-0.38340232642300004
ACH-000087,-0.114370163723
ACH-000092,-0.206220159778
ACH-000095,-0.257883642929
ACH-000097,-0.158168432744
ACH-000098,-0.305163782623
ACH-000099,-0.0635004909094
ACH-000108,-0.272821185294
ACH-000113,-0.42599250460999993
ACH-000115,-0.415955927261
ACH-000116,-0.184917748994
ACH-000118,-0.16873107330499998
ACH-000120,-0.16068982943600002
ACH-000123,-0.17969003172400003
ACH-000127,-0.305528275379
ACH-000128,0.0878262675759
ACH-000132,-0.36950453582599996
ACH-000133,-0.119782251916
ACH-000137,-0.534160624755
ACH-000138,-0.150393428421
ACH-000142,-0.41488959212800003
ACH-000143,-0.265075257766
ACH-000146,-0.0206650998767
ACH-000148,-0.344112295361
ACH-000150,-0.321883281251
ACH-000152,-0.481119121926
ACH-000153,-0.0666263943521
ACH-000159,-0.303981129585
ACH-000160,-0.195916510878
ACH-000163,-0.188224957797
ACH-000167,-0.495243968535
ACH-000168,0.0410291028082
ACH-000169,-0.19715054000399998
ACH-000178,-0.228398029794
ACH-000182,-0.11694666196699999
ACH-000183,-0.333505987267
ACH-000188,-0.337273323851
ACH-000189,-0.16733124115700002
ACH-000190,-0.318754878591
ACH-000198,-0.299247641692
ACH-000204,-0.642574879482
ACH-000206,-0.279544229162
ACH-000207,-0.12822723307199999
ACH-000211,-0.11397538709899999
ACH-000215,-0.294755787256
ACH-000221,-0.262588448789
ACH-000222,-0.19598613033300002
ACH-000223,-0.21353931598499998
ACH-000226,-0.37481545642700004
ACH-000227,-0.58696286126
ACH-000228,-0.388896676931
ACH-000231,-0.07523482558349999
ACH-000232,-0.105428750757
ACH-000233,-0.144994842989
ACH-000234,-0.15145119601399998
ACH-000235,-0.280017007142
ACH-000237,-0.21961292075
ACH-000238,-0.0679321863896
ACH-000243,-0.157722581073
ACH-000244,-0.851994289347
ACH-000246,-0.28392006110999995
ACH-000248,-0.166874901108
ACH-000250,-0.312389905603
ACH-000251,-0.28488490946
ACH-000253,-0.25464263855700003
ACH-000255,-0.157635156274
ACH-000256,0.0944990560808
ACH-000257,-0.169792604674
ACH-000258,-0.43820139857900003
ACH-000259,-0.15622067369999998
ACH-000260,-0.199844711037
ACH-000261,-0.24594516321600002
ACH-000262,-0.301146778205
ACH-000263,-0.18090978290100002
ACH-000264,-0.216478767328
ACH-000265,-0.028069841343
ACH-000266,-0.19072913241099998
ACH-000272,-0.492241102389
ACH-000273,-0.44722778841300004
ACH-000274,-0.27813786642099997
ACH-000277,-0.0857888953267
ACH-000278,-0.38377436524499997
ACH-000279,-0.306360604081
ACH-000280,-0.372961895137
ACH-000281,-0.362312226025
ACH-000288,-0.232597908922
ACH-000291,-0.116327662577
ACH-000293,-0.295381697839
ACH-000294,0.0837647964649
ACH-000295,-0.320819063397
ACH-000296,0.050713884974499995
ACH-000302,-0.13900679789200002
ACH-000304,-0.44913928091099997
ACH-000307,-0.0714875843463
ACH-000308,-0.162994897684
ACH-000310,-0.0976034108113
ACH-000311,0.049777388853900005
ACH-000312,-0.277057744763
ACH-000315,-0.166070040722
ACH-000316,-0.0758308986755
ACH-000317,-0.199236705157
ACH-000318,-0.244156959703
ACH-000319,-0.252032775907
ACH-000320,-0.0714803817242
ACH-000322,0.0470416701783
ACH-000323,-0.368964726948
ACH-000324,-0.28699512923
ACH-000329,-0.283710298386
ACH-000330,-0.387910580146
ACH-000331,-0.0029133892296200003
ACH-000332,-0.21051966717300002
ACH-000334,0.0007080686616980001
ACH-000335,-0.172987769267
ACH-000336,-0.312410551932
ACH-000337,-0.379758871501
ACH-000339,-0.0201782762933
ACH-000341,0.0652245488557
ACH-000348,-0.441808504053
ACH-000350,-0.319896949429
ACH-000352,-0.174700577792
ACH-000356,-0.429046292934
ACH-000361,-0.0326738630557
ACH-000362,-0.146322111669
ACH-000363,-0.35171825891900005
ACH-000364,-0.42127206460999994
ACH-000365,-0.060584992476699996
ACH-000366,-0.30053874342500003
ACH-000368,0.09680520094249999
ACH-000374,-0.11634986292999999
ACH-000375,0.09602323045669998
ACH-000376,-0.273999665743
ACH-000381,-0.049150043569999996
ACH-000383,-0.172071535066
ACH-000387,-0.12445229774599999
ACH-000389,-0.0014468057866400001
ACH-000390,-0.34616731374799997
ACH-000393,-0.402035344125
ACH-000395,-0.033786253639700004
ACH-000397,-0.333657663413
ACH-000401,-0.372588140128
ACH-000402,0.24060482450100001
ACH-000403,-0.24173500825
ACH-000404,-0.513689862502
ACH-000406,-0.049095877133300006
ACH-000407,-0.505600360282
ACH-000408,-0.30761183435
ACH-000410,-0.45678054865199996
ACH-000411,-0.269362379469
ACH-000414,-0.0446857845584
ACH-000415,-0.316985646774
ACH-000416,-0.254653417397
ACH-000420,-0.212922917779
ACH-000421,-0.389222664363
ACH-000424,-0.0460901341088
ACH-000425,-0.141284398871
ACH-000426,-0.282925721244
ACH-000427,-0.543233922487
ACH-000433,-0.266361746386
ACH-000436,-0.242919802294
ACH-000444,-0.210889668202
ACH-000445,-0.106736955373
ACH-000448,-0.244408105319
ACH-000450,-0.19920130160100002
ACH-000452,-0.397443659673
ACH-000454,-0.565983159796
ACH-000458,-0.102008778464
ACH-000459,0.0983277091024
ACH-000460,-0.178816992601
ACH-000461,-0.0729587430673
ACH-000463,-0.150978139871
ACH-000464,0.0130539268719
ACH-000466,-0.0941086582876
ACH-000467,-0.24227052142900002
ACH-000468,-0.116776936388
ACH-000469,-0.37655773893100003
ACH-000470,-0.189167004281
ACH-000471,-0.020531147058900003
ACH-000472,-0.184620846206
ACH-000473,-0.45472518312
ACH-000475,-0.279931576869
ACH-000476,-0.34707252445799996
ACH-000477,-0.06397924138019999
ACH-000480,-0.07693051442710001
ACH-000481,-0.26070761591499997
ACH-000483,-0.014179169635100002
ACH-000484,-0.5866306193190001
ACH-000485,-0.120062371466
ACH-000486,-0.24829003675099998
ACH-000487,-0.247920147546
ACH-000488,-0.20806993840500002
ACH-000490,-0.13638603529
ACH-000491,-0.251022287207
ACH-000495,-0.39886916101099995
ACH-000496,-0.0315707878549
ACH-000499,-0.146404815183
ACH-000500,-0.634859962754
ACH-000502,0.005312351695430001
ACH-000503,-0.00121011910058
ACH-000505,-0.159290223291
ACH-000507,-0.157390337051
ACH-000510,-0.175158733682
ACH-000511,-0.290621205986
ACH-000512,0.138442938397
ACH-000516,-0.485277967809
ACH-000517,-0.215871394483
ACH-000518,-0.23600511054900003
ACH-000520,-0.353267784377
ACH-000521,-0.0138940899701
ACH-000522,-0.274862878675
ACH-000524,-0.282307146239
ACH-000527,-0.154990150149
ACH-000528,-0.193593631662
ACH-000537,-0.619734990452
ACH-000541,-0.437652610894
ACH-000542,-0.255205898583
ACH-000544,-0.155413131701
