,EPB41L1 (2036)
ACH-000004,0.00780463062776
ACH-000007,0.016386966697599998
ACH-000009,-0.054088436744200004
ACH-000011,-0.0610194551484
ACH-000012,0.130973307777
ACH-000013,-0.0355380833889
ACH-000014,-0.14053277083
ACH-000015,0.120581601342
ACH-000017,-0.106101275447
ACH-000018,-0.10709977367999998
ACH-000019,-0.0598542063043
ACH-000021,-0.0412737750314
ACH-000022,0.034818330524800004
ACH-000025,0.052050381924
ACH-000028,-0.0253717628358
ACH-000030,-0.177808271291
ACH-000035,-0.134873531524
ACH-000036,-0.10378234781099999
ACH-000037,0.144211595587
ACH-000039,0.00697104869722
ACH-000040,0.023761938708200002
ACH-000041,0.11836667450999999
ACH-000042,-0.193693323644
ACH-000045,0.0453782890393
ACH-000047,-0.109685784212
ACH-000052,-0.35569960703599995
ACH-000053,-0.02198189786
ACH-000054,-0.157914912335
ACH-000055,-0.261478357251
ACH-000060,-0.055476085589500006
ACH-000067,0.10894065475600001
ACH-000070,-0.0122848842442
ACH-000075,0.0166022005909
ACH-000078,-0.025732661997500003
ACH-000082,-0.01768914852
ACH-000085,-0.0339675266707
ACH-000086,-0.042146902914100004
ACH-000087,0.10498790237500001
ACH-000092,-0.00912753769974
ACH-000095,-9.19762267849e-05
ACH-000097,-0.0921783091707
ACH-000098,0.193700910515
ACH-000099,-0.027901445830700002
ACH-000108,-0.033754550984
ACH-000113,0.043785037345400006
ACH-000115,-0.108819856337
ACH-000116,-0.0790066916877
ACH-000118,-0.0575821446148
ACH-000120,-0.0875509958044
ACH-000123,-0.0262016815766
ACH-000127,0.0885650488494
ACH-000128,-0.0986328934405
ACH-000132,-0.00241894165831
ACH-000133,-0.208794601532
ACH-000137,0.0310607996734
ACH-000138,0.09719806392909999
ACH-000142,-0.040516721846800004
ACH-000143,-0.0828975054703
ACH-000146,0.0448984610662
ACH-000148,-0.0091733323204
ACH-000150,0.034660680903800006
ACH-000152,0.10348192260700001
ACH-000153,-0.0366888205422
ACH-000159,0.104658660284
ACH-000160,-0.10868973963600001
ACH-000163,-0.00334577221575
ACH-000167,-0.129459004638
ACH-000168,-0.15530849090399998
ACH-000169,-0.145257379267
ACH-000178,0.0700369449476
ACH-000182,-0.0857591087868
ACH-000183,-0.17924619002300002
ACH-000188,0.119311137774
ACH-000189,0.24075539034899998
ACH-000190,-0.0720208176002
ACH-000198,0.061226222493400005
ACH-000204,0.00397540585854
ACH-000206,-0.117538063096
ACH-000207,-0.139099916568
ACH-000211,-0.0679147700306
ACH-000215,-0.12910395518200002
ACH-000221,0.115088784605
ACH-000222,0.00160783286266
ACH-000223,0.045404627787300006
ACH-000226,-0.0962221684861
ACH-000227,-0.0171894710462
ACH-000228,-0.049049912513600004
ACH-000231,-0.021557465144700003
ACH-000232,-0.0324978468675
ACH-000233,-0.143950458118
ACH-000234,-0.0410728593045
ACH-000235,-0.000245955168514
ACH-000237,0.04498135486330001
ACH-000238,0.00196430180992
ACH-000243,0.022916128496400002
ACH-000244,-0.181028589252
ACH-000246,-0.0835169976023
ACH-000248,-0.147470356616
ACH-000250,-0.027794285399700004
ACH-000251,0.18968459916299998
ACH-000253,-0.068323979037
ACH-000255,-0.23749710351999997
ACH-000256,-0.176086366565
ACH-000257,0.011811850431500001
ACH-000258,-0.254574065731
ACH-000259,-0.04791348622930001
ACH-000260,-0.0879323776044
ACH-000261,0.008177059255270002
ACH-000262,0.047372092267
ACH-000263,0.049734025772299996
ACH-000264,-0.0444073932987
ACH-000265,-0.020914080879400002
ACH-000266,-0.024293919041400002
ACH-000272,0.012403937487700002
ACH-000273,-0.0158675816142
ACH-000274,-0.17113099007
ACH-000277,-0.357718007174
ACH-000278,0.0548317567971
ACH-000279,0.026397910192
ACH-000280,0.0602145320119
ACH-000281,0.0871755278228
ACH-000288,0.0957520962297
ACH-000291,-0.0607213352416
ACH-000293,0.0283981820953
ACH-000294,-0.08087530035110001
ACH-000295,-0.111010477535
ACH-000296,-0.00125553441954
ACH-000302,-0.045809008571199995
ACH-000304,0.024928863413900004
ACH-000307,-0.08886491079810001
ACH-000308,-0.0452590044276
ACH-000310,-0.025257744433300002
ACH-000311,0.035534581634
ACH-000312,-0.07417642462639999
ACH-000315,-0.00829456779845
ACH-000316,-0.102652323946
ACH-000317,-0.046832857710100005
ACH-000318,0.012548451301599999
ACH-000319,-0.00922012536226
ACH-000320,-0.226048998543
ACH-000322,-0.110297504724
ACH-000323,0.07623936750410001
ACH-000324,-0.00967891146775
ACH-000329,-0.11530876945699998
ACH-000330,-0.186082229621
ACH-000331,-0.16290063406
ACH-000332,-0.0687643687873
ACH-000334,0.12238504037900001
ACH-000335,-0.0762913820606
ACH-000336,-0.0827142560788
ACH-000337,-0.0702052919537
ACH-000339,0.080298311829
ACH-000341,-0.072758539878
ACH-000348,-0.06119395401
ACH-000350,-0.100252692342
ACH-000352,0.00181409438501
ACH-000356,-0.0519403699933
ACH-000361,0.135677782098
