,LIX1 (167410)
ACH-000004,-0.05242127268209999
ACH-000007,-0.0392769035307
ACH-000009,0.0896146610207
ACH-000011,0.060080059025699996
ACH-000012,-0.122262362882
ACH-000013,0.022483966612900003
ACH-000014,-0.0408704462018
ACH-000015,-0.257917701676
ACH-000017,0.0361854630299
ACH-000018,-0.216666842491
ACH-000019,0.16411775737700002
ACH-000021,-0.156364840471
ACH-000022,-0.17229158764000002
ACH-000025,-0.0999611233206
ACH-000028,-0.00956553420498
ACH-000030,-0.00249038866209
ACH-000035,-0.00495785356078
ACH-000036,-0.12579256233799999
ACH-000037,-0.218647472554
ACH-000039,0.0765890234371
ACH-000040,0.0356718223624
ACH-000041,0.161624081094
ACH-000042,-0.0925620470892
ACH-000045,-0.226768518711
ACH-000047,-0.0635542763217
ACH-000052,0.386438972209
ACH-000053,-0.131641135056
ACH-000054,-0.0923517393246
ACH-000055,0.0598414628328
ACH-000060,0.059574498446000004
ACH-000067,-0.17896221292999998
ACH-000070,0.027959727578300002
ACH-000075,-0.23904359763799998
ACH-000078,0.033159599387
ACH-000082,-0.11173926934299999
ACH-000085,0.0807146883836
ACH-000086,-0.0265397492349
ACH-000087,0.212348917071
ACH-000092,-0.0091885411911
ACH-000095,-0.038858893873400004
ACH-000097,-0.07399839419639999
ACH-000098,-0.10050293846899999
ACH-000099,0.0227022285275
ACH-000108,-0.278504001136
ACH-000113,-0.022040731600900004
ACH-000115,-0.200918881175
ACH-000116,-0.182242880533
ACH-000118,0.018400705765
ACH-000120,-0.283123205436
ACH-000123,-0.206091428886
ACH-000127,-0.049466505092699994
ACH-000128,-0.0717323680987
ACH-000132,-0.055242531928199994
ACH-000133,0.0082061678677
ACH-000137,-0.319676267407
ACH-000138,-0.040166672739300004
ACH-000142,0.0172005908355
ACH-000143,-0.514770330264
ACH-000146,-0.05339578049330001
ACH-000148,-0.115927041286
ACH-000150,0.031294926090700004
ACH-000152,-0.103674698924
ACH-000153,-0.29633388316799997
ACH-000159,-0.0999871619061
ACH-000160,-0.09864120650560002
ACH-000163,-0.198442825152
ACH-000167,-0.0238243271973
ACH-000168,0.0274382170115
ACH-000169,-0.0805047801633
ACH-000178,-0.10290096122199999
ACH-000182,-0.113643066832
ACH-000183,-0.227620372223
ACH-000188,-0.00173808002117
ACH-000189,0.151069566336
ACH-000190,-0.101279428838
ACH-000198,-0.0475244432675
ACH-000204,-0.0917941501839
ACH-000206,-0.06914275082660001
ACH-000207,-0.00409769950599
ACH-000211,-0.134681418842
ACH-000215,-0.051386597500400005
ACH-000221,-0.19125285691799998
ACH-000222,-0.231143941195
ACH-000223,0.033949720191900006
ACH-000226,-0.117214796282
ACH-000227,-0.0509040752317
ACH-000228,-0.25327408309300004
ACH-000231,-0.163710414813
ACH-000232,-0.0638021182361
ACH-000233,0.0788917169699
ACH-000234,-0.172263233903
ACH-000235,-0.114091727908
ACH-000237,0.0379162206919
ACH-000238,0.05772701386180001
ACH-000243,-0.14816782921399999
ACH-000244,-0.016532836279400002
ACH-000246,-0.09589994574819999
ACH-000248,0.152953425071
ACH-000250,-0.0826544111993
ACH-000251,-0.20324767733899998
ACH-000253,0.0023377692500700003
ACH-000255,0.00586499100567
ACH-000256,0.0233898108071
ACH-000257,-0.06239218157240001
ACH-000258,-0.0670364361429
ACH-000259,-0.156955196201
ACH-000260,-0.013714492069700001
ACH-000261,-0.0569062018547
ACH-000262,-0.09080443026229999
ACH-000263,0.49483634838699997
ACH-000264,-0.0073044632325600005
ACH-000265,-0.0791943056377
ACH-000266,-0.08173111760730001
ACH-000272,-0.161922420833
ACH-000273,-0.008930529894379998
ACH-000274,-0.07402230408869999
ACH-000277,0.0879924268472
ACH-000278,0.027931236454300002
ACH-000279,-0.0595053262507
ACH-000280,-0.09495007096760001
ACH-000281,0.134513584115
ACH-000288,-0.125993769845
ACH-000291,0.00856054484722
ACH-000293,-0.21745174129
ACH-000294,-0.08894184024689998
ACH-000295,-0.16367511570999999
