,BCL9L (283149)
ACH-000004,-0.353325136451
ACH-000007,-0.718158731492
ACH-000009,-0.23376023871100002
ACH-000011,-0.0508792213676
ACH-000012,-0.15437041034600002
ACH-000013,-0.357284552739
ACH-000014,-0.33729655474
ACH-000015,-0.394468631983
ACH-000017,-0.698279961908
ACH-000018,-0.493413617
ACH-000019,-0.137549871239
ACH-000021,-0.149370305284
ACH-000022,-0.41544422137599996
ACH-000025,-0.272580321127
ACH-000028,-0.352237066417
ACH-000030,-0.32558263433
ACH-000035,-0.210636117308
ACH-000036,-0.318770627206
ACH-000037,-0.304785456199
ACH-000039,-0.292432429479
ACH-000040,0.029356797626400002
ACH-000041,-0.501375648679
ACH-000042,-0.132371781346
ACH-000045,0.00694368480296
ACH-000047,-0.092758611514
ACH-000052,-0.328169238141
ACH-000053,-0.221866613304
ACH-000054,-0.348925152278
ACH-000055,-0.411409108751
ACH-000060,-0.21467272703899998
ACH-000067,-0.0959605097477
ACH-000070,-0.120704704604
ACH-000075,-0.06057334216969999
ACH-000078,-0.477319964561
ACH-000082,-0.37829385339599997
ACH-000085,-0.494277729432
ACH-000086,-0.332604617162
ACH-000087,-0.13513838059
ACH-000092,-0.26639971676
ACH-000095,-0.143368995261
ACH-000097,-0.808220705622
ACH-000098,0.120117139369
ACH-000099,-0.29457749571499997
ACH-000108,-0.331885189126
ACH-000113,-0.130859152857
ACH-000115,-0.47291673471900003
ACH-000116,-0.6296151373650001
ACH-000118,-0.14677266232
ACH-000120,-0.417730435663
ACH-000123,-0.538493659362
ACH-000127,-0.288180706063
ACH-000128,-0.384368063068
ACH-000132,-0.211473356536
ACH-000133,-0.20998954422000002
ACH-000137,-0.111099375482
ACH-000138,-0.43665778006800005
ACH-000142,0.115130653176
ACH-000143,-0.209718574589
ACH-000146,-0.247778834329
ACH-000148,-0.29857185505600004
ACH-000150,-0.0177999546985
ACH-000152,-0.415872755054
ACH-000153,-0.0323922246017
ACH-000159,-0.163991652527
ACH-000160,-0.22725461139400002
ACH-000163,-0.347351728979
ACH-000167,-0.0960327315996
ACH-000168,-0.26928399661999997
ACH-000169,-0.164571520079
ACH-000178,-0.0881404540479
ACH-000182,-0.155894679483
ACH-000183,-0.179621524514
ACH-000188,-0.506361947935
ACH-000189,-0.229888122187
ACH-000190,-0.114979987085
ACH-000198,-0.228123557272
ACH-000204,-0.105388628291
ACH-000206,-0.41028702003899997
ACH-000207,0.08201578556
ACH-000211,-0.355690152023
ACH-000215,-0.246585147348
ACH-000221,-0.142702042982
ACH-000222,-0.40025247662600005
ACH-000223,-0.266541716884
ACH-000226,-0.22586690185699998
ACH-000227,-0.591598706274
ACH-000228,-0.519914725152
ACH-000231,-0.312557043881
