,TYMS (7298)
ACH-000004,-1.4344225182700001
ACH-000007,-0.796192282228
ACH-000009,-0.210406265821
ACH-000011,-1.28592132815
ACH-000012,-1.23949398072
ACH-000013,0.0445000830545
ACH-000014,-1.41504859572
ACH-000015,-0.475158075868
ACH-000017,-1.7527103138
ACH-000018,-0.24390708246599999
ACH-000019,-0.165691954685
ACH-000021,-0.208533387826
ACH-000022,-1.6163870004299998
ACH-000025,-0.608457005357
ACH-000028,-0.638389392848
ACH-000030,-0.74932622713
ACH-000035,-0.22421072054299998
ACH-000036,-0.868781750238
ACH-000037,-0.07525466837730001
ACH-000039,-0.0600086521175
ACH-000040,-0.0629500485793
ACH-000041,-0.46809497145400003
ACH-000042,-0.891159665169
ACH-000045,-0.6820217318549999
ACH-000047,0.0145310365802
ACH-000052,-0.156056487488
ACH-000053,-0.201412518956
ACH-000054,-0.163728635028
ACH-000055,-0.265979979895
ACH-000060,-0.0748611571286
ACH-000067,-1.05616880577
ACH-000070,-1.04318727545
ACH-000075,0.118525400462
ACH-000078,-1.45912890497
ACH-000082,-0.27198870882
ACH-000085,-0.331830262716
ACH-000086,-0.152518004165
ACH-000087,-0.339654133372
ACH-000092,-1.58028340044
ACH-000095,-1.23440685015
ACH-000097,-1.01195626631
ACH-000098,-0.015132215288200001
ACH-000099,-1.04547896282
ACH-000108,-1.3948604476700002
ACH-000113,0.197604044042
ACH-000115,-1.5992043805399998
ACH-000116,-0.0256303658238
ACH-000118,-0.0405083670014
ACH-000120,-0.268597721547
ACH-000123,-0.676523054588
ACH-000127,-0.808331992752
ACH-000128,-0.38298345884499996
ACH-000132,-0.017013208427
ACH-000133,-0.658125774488
ACH-000137,-0.192057550083
ACH-000138,-1.4498806426
ACH-000142,-0.340144376826
ACH-000143,-0.106166755869
ACH-000146,-0.494688526949
ACH-000148,-0.18529906800999998
ACH-000150,-0.322405389729
ACH-000152,0.11714901699000001
ACH-000153,-0.277966120463
ACH-000159,-0.156838718654
ACH-000160,-0.522563645099
ACH-000163,-0.369008386796
ACH-000167,-0.7626947178419999
ACH-000168,-1.22096433942
ACH-000169,-0.546102202866
ACH-000178,-0.16981405946199998
ACH-000182,-0.756536946406
ACH-000183,-0.591988563027
ACH-000188,-0.935506019093
ACH-000189,-0.372496240308
ACH-000190,-0.39265978452600003
ACH-000198,0.052917350455800004
ACH-000204,-0.63890733037
ACH-000206,-0.79863210764
ACH-000207,-1.5078099441400001
ACH-000211,-0.07762283973010001
ACH-000215,-0.18602928875799998
ACH-000221,-0.220037352107
ACH-000222,-1.05212459571
ACH-000223,-0.121632457707
ACH-000226,0.012348532672700002
ACH-000227,-0.265734775212
ACH-000228,-0.26307854664999997
ACH-000231,-0.0998776178239
ACH-000232,-0.39075026224799997
