,ENPEP (2028)
ACH-000004,-0.26789437444
ACH-000007,0.0409346087827
ACH-000009,-0.0661481296487
ACH-000011,-0.05028995874080001
ACH-000012,-0.0878217475505
ACH-000013,0.0674865193648
ACH-000014,-0.00616985251909
ACH-000015,-0.109634547335
ACH-000017,-0.235409873699
ACH-000018,-0.179668501604
ACH-000019,-0.183922897582
ACH-000021,-0.281035607694
ACH-000022,-0.0160638721117
ACH-000025,-0.074729655753
ACH-000028,-0.0887606024825
ACH-000030,0.0012594635601
ACH-000035,-0.229328558686
ACH-000036,-0.120267741625
ACH-000037,-0.110536655071
ACH-000039,-0.20302436342500002
ACH-000040,-0.0961133719837
ACH-000041,-0.118404493387
ACH-000042,-0.217313238733
ACH-000045,-0.221989518432
ACH-000047,0.00381636249878
ACH-000052,-0.300507799868
ACH-000053,-0.0956477718299
ACH-000054,-0.0990481748209
ACH-000055,-0.034026475098999996
ACH-000060,-0.264831945707
ACH-000067,-0.12319981115499999
ACH-000070,-0.0015714977598800001
ACH-000075,-0.156957158115
ACH-000078,0.11322031080999999
ACH-000082,-0.012995763464500001
ACH-000085,-0.369302401508
ACH-000086,-0.22984839425999998
ACH-000087,-0.0435551323058
ACH-000092,-0.209514433341
ACH-000095,-0.165897665212
ACH-000097,-0.00834917196707
ACH-000098,-0.307902317415
ACH-000099,-0.0836869107353
ACH-000108,-0.11729454041300001
ACH-000113,-0.177881982093
ACH-000115,-0.120097360093
ACH-000116,-0.169997631772
ACH-000118,-0.10079330969599999
ACH-000120,-0.115003688358
ACH-000123,-0.13676756313400001
ACH-000127,-0.0646394459532
ACH-000128,0.00773352437245
ACH-000132,-0.24781907629799999
ACH-000133,-0.07302996505760001
ACH-000137,-0.311510286674
ACH-000138,-0.035812097198800005
ACH-000142,-0.07515197663760001
ACH-000143,-0.0315964941156
ACH-000146,-0.027059791735799997
ACH-000148,-0.172034889323
ACH-000150,-0.150052453179
ACH-000152,0.022130236638199997
ACH-000153,-0.375856946506
ACH-000159,0.061819879782300004
ACH-000160,-0.16462975806500002
ACH-000163,0.059972247436800005
ACH-000167,-0.219604275992
ACH-000168,-0.17629106883200002
ACH-000169,-0.051318767040999996
ACH-000178,-0.16889601054
ACH-000182,-0.135531771513
ACH-000183,-0.10520475838400001
ACH-000188,-0.17001513262499998
ACH-000189,-0.0320473048957
ACH-000190,0.08491413449310001
ACH-000198,-0.188680094939
ACH-000204,-0.300994368659
ACH-000206,0.045307203452000004
ACH-000207,0.0721542544393
ACH-000211,-0.111633051272
