,EIF4H (7458)
ACH-000004,0.014605796673299998
ACH-000007,-0.340624427069
ACH-000009,-0.170660407527
ACH-000011,-0.28638466499299997
ACH-000012,-0.21552648061000002
ACH-000013,-0.00858683933527
ACH-000014,-0.5248356578450001
ACH-000015,-0.117455590131
ACH-000017,-0.0694262451711
ACH-000018,-0.21615786181699997
ACH-000019,-0.312107927066
ACH-000021,-0.354584441002
ACH-000022,-0.12340787846
ACH-000025,-0.18124841276999998
ACH-000028,0.0268505774377
ACH-000030,-0.103301685571
ACH-000035,-0.0659744974704
ACH-000036,-0.398229629935
ACH-000037,-0.024326500451000002
ACH-000039,-0.235635762091
ACH-000040,-0.294778432497
ACH-000041,-0.310235158999
ACH-000042,-0.148892236438
ACH-000045,-0.339931412984
ACH-000047,-0.272095635932
ACH-000052,-0.06886660096250001
ACH-000053,-0.114362841546
ACH-000054,-0.426813386447
ACH-000055,-0.15632988200099998
ACH-000060,-0.430041317799
ACH-000067,-0.34104895258900003
ACH-000070,-0.299418656426
ACH-000075,-0.126209723708
ACH-000078,-0.140897069764
ACH-000082,-0.127299247185
ACH-000085,0.051083125944300006
ACH-000086,0.0411128455394
ACH-000087,-0.118433825831
ACH-000092,-0.22849795171300002
ACH-000095,-0.146318545269
ACH-000097,-0.296351707384
ACH-000098,-0.0991023590811
ACH-000099,-0.35419420376500005
ACH-000108,-0.0459564373099
ACH-000113,0.165292662994
ACH-000115,-0.0805474320098
ACH-000116,-0.0125171095769
ACH-000118,0.222483745405
ACH-000120,-0.0380799279365
ACH-000123,-0.1097618375
ACH-000127,-0.0531721151191
ACH-000128,-0.182445175244
ACH-000132,-0.18781473519000003
ACH-000133,-0.025529382209
ACH-000137,-0.135469093761
ACH-000138,0.07030965492610002
ACH-000142,-0.172588561973
ACH-000143,-0.0188262164043
ACH-000146,-0.168972260537
ACH-000148,-0.258402578247
ACH-000150,-0.30520671971700003
ACH-000152,-0.0376297118047
ACH-000153,-0.27340725349100004
ACH-000159,-0.392494934538
ACH-000160,-0.0482825721433
ACH-000163,-0.0376222702244
ACH-000167,-0.0145662381045
ACH-000168,0.046361900366099995
ACH-000169,-0.132667929469
ACH-000178,-0.197510281194
ACH-000182,-0.0715780402415
ACH-000183,-0.275180110003
ACH-000188,-0.0429674922011
ACH-000189,-0.664167063933
ACH-000190,-0.0296620181492
ACH-000198,-0.372494162422
ACH-000204,-0.40223534306500003
ACH-000206,-0.116441191885
ACH-000207,-0.055919710221499996
ACH-000211,-0.22682531981100001
ACH-000215,-0.037269383236300004
ACH-000221,-0.357795402642
ACH-000222,0.11406460431500001
ACH-000223,-0.00874421029548
ACH-000226,-0.0843784716597
ACH-000227,-0.09051255011260001
ACH-000228,-0.25857491651000003
ACH-000231,-0.22278768320300002
ACH-000232,-0.272514343901
ACH-000233,0.144089641574
ACH-000234,-0.22839149587699997
ACH-000235,-0.139056074566
ACH-000237,-0.250471805729
ACH-000238,0.10710068807499999
ACH-000243,-0.0971379988893
