,HNRNPAB (3182)
ACH-000004,-0.298707181583
ACH-000007,-0.08812312054549999
ACH-000009,-0.180730948202
ACH-000011,-0.157874516459
ACH-000012,-0.0035120032360100003
ACH-000013,0.0628295202529
ACH-000014,-0.139314640429
ACH-000015,-0.00180384992851
ACH-000017,-0.162160214888
ACH-000018,-0.185216401076
ACH-000019,0.0881628541684
ACH-000021,-0.286908898302
ACH-000022,0.0740924920384
ACH-000025,0.10323520146500001
ACH-000028,0.05640488813569999
ACH-000030,0.059173318147099994
ACH-000035,-0.0196853373135
ACH-000036,0.134848925092
ACH-000037,-0.267353682604
ACH-000039,-0.258892311657
ACH-000040,0.0958089352038
ACH-000041,-0.07443508053669999
ACH-000042,-0.16424160505899998
ACH-000045,-0.0533635509287
ACH-000047,0.004827077044420001
ACH-000052,0.101578204518
ACH-000053,-0.12473420148600001
ACH-000054,0.0454492277508
ACH-000055,0.199350817854
ACH-000060,-0.177523446215
ACH-000067,0.09850461257899999
ACH-000070,-0.118809295877
ACH-000075,-0.305363500094
ACH-000078,-0.15791674319000001
ACH-000082,0.074734486083
ACH-000085,-0.19787518436700002
ACH-000086,0.0802704594487
ACH-000087,-0.0641322776007
ACH-000092,-0.128574572582
ACH-000095,-0.09717878040549999
ACH-000097,0.051594905084499994
ACH-000098,-0.0681382498586
ACH-000099,-0.20160736656
ACH-000108,-0.217541081889
ACH-000113,-0.006616523383279999
ACH-000115,0.0564021575629
ACH-000116,-0.162558762612
ACH-000118,0.0864603892447
ACH-000120,0.18470625949299999
ACH-000123,-0.0833334259529
ACH-000127,0.126613595461
ACH-000128,0.268193452309
ACH-000132,-0.20190861712900002
ACH-000133,0.0692782640795
ACH-000137,0.100651238742
ACH-000138,-0.048146367853699995
ACH-000142,-0.25057727663400003
ACH-000143,-0.424175613582
ACH-000146,-0.278570642911
ACH-000148,0.00650084386256
ACH-000150,-0.43537917821500005
ACH-000152,-0.0617330794515
ACH-000153,0.0699632616213
ACH-000159,-0.149679792471
ACH-000160,-0.0674917586456
ACH-000163,-0.207941495812
ACH-000167,-0.08140603996719999
ACH-000168,-0.22183413231999996
ACH-000169,-0.0666707174187
ACH-000178,-0.166258472823
ACH-000182,-0.0364119831114
ACH-000183,-0.07091970808680001
ACH-000188,-0.38696210402
