,ANKAR (150709)
ACH-000004,0.15393410881
ACH-000007,0.2725060254
ACH-000009,0.0217740258029
ACH-000011,0.233090223929
ACH-000012,0.140257030829
ACH-000013,0.232966618607
ACH-000014,-0.0302088129985
ACH-000015,0.14433225109699999
ACH-000017,0.27199905881299996
ACH-000018,-0.0505176944941
ACH-000019,0.150367039793
ACH-000021,0.125286310096
ACH-000022,0.169479104159
ACH-000025,0.16172284507200002
ACH-000028,0.203169306005
ACH-000030,0.184518662524
ACH-000035,0.251297375413
ACH-000036,0.18049224752700002
ACH-000037,0.0443451620979
ACH-000039,-0.188468028103
ACH-000040,0.227520586389
ACH-000041,0.109828283029
ACH-000042,0.0620165441093
ACH-000045,0.0197783618102
ACH-000047,0.022786889071200002
ACH-000052,-0.0813092902122
ACH-000053,0.0794591160399
ACH-000054,0.11707588076400001
ACH-000055,0.185219958825
ACH-000060,0.07108401861050001
ACH-000067,0.038022767179900004
ACH-000070,0.312739020233
ACH-000075,0.286158549476
ACH-000078,0.153667493238
ACH-000082,0.17362026386
ACH-000085,-0.0403191235481
ACH-000086,0.0779480583291
ACH-000087,0.24822024015500002
ACH-000092,0.0625596724275
ACH-000095,0.122501892625
ACH-000097,0.263984592043
ACH-000098,0.015766840796100003
ACH-000099,0.0482672373368
ACH-000108,0.262719369405
ACH-000113,0.21138423098099998
ACH-000115,0.117110672997
ACH-000116,0.154773014008
ACH-000118,0.048092250155300005
ACH-000120,0.172563665988
ACH-000123,0.16405941292600001
ACH-000127,0.20278332225
ACH-000128,0.205087190705
ACH-000132,0.133605649614
ACH-000133,0.0829939371032
ACH-000137,-0.0468065333672
ACH-000138,0.0528937439894
ACH-000142,0.159499387573
ACH-000143,0.315121606938
ACH-000146,0.144280547393
ACH-000148,0.13939720595799998
ACH-000150,0.165644913703
ACH-000152,0.0413973188122
ACH-000153,0.102634603314
ACH-000159,0.16613502795399998
ACH-000160,0.155566172499
ACH-000163,0.0998448421328
ACH-000167,0.48273270056999995
ACH-000168,0.304592039184
ACH-000169,0.0884468304469
ACH-000178,0.320888997338
ACH-000182,0.0642984014458
ACH-000183,0.127045704987
ACH-000188,0.36521691995300004
ACH-000189,0.12587230964999999
ACH-000190,0.049656296277700004
ACH-000198,0.0222372846343
ACH-000204,0.17471880422000002
ACH-000206,0.132463761193
ACH-000207,0.354995751135
ACH-000211,0.125407555147
ACH-000215,0.2992632099
ACH-000221,0.09231173897939998
ACH-000222,0.188739162556
ACH-000223,0.0636785263334
ACH-000226,0.0741717780445
ACH-000227,0.0400825606893
ACH-000228,0.318018267174
ACH-000231,0.231234099001
ACH-000232,0.111948653297
ACH-000233,0.224893644086
ACH-000234,0.289104392161
ACH-000235,0.129486901531
ACH-000237,0.164702310312
ACH-000238,0.142014868163
ACH-000243,0.103196857776
ACH-000244,0.0425270605598
ACH-000246,0.167303479824
ACH-000248,0.16149741875499998
ACH-000250,0.20984117001299998
ACH-000251,-0.026073032478800003
ACH-000253,0.277248792487
ACH-000255,0.141450698088
ACH-000256,0.22766792789999998
ACH-000257,0.14417969367699998
ACH-000258,0.270854559592
ACH-000259,0.206368486013
ACH-000260,0.0842858225765
ACH-000261,0.361470259721
ACH-000262,0.26645493131700004
ACH-000263,0.501734287984
ACH-000264,0.176747420094
ACH-000265,0.17097417069
ACH-000266,0.0797465657504
ACH-000272,0.12736926649900002
ACH-000273,-0.0697412907187
ACH-000274,-0.0313258400435
ACH-000277,0.226142037294
ACH-000278,0.0283559475661
ACH-000279,0.10470422788999999
ACH-000280,0.275282409518
ACH-000281,0.168722218622
ACH-000288,0.0607598474383
ACH-000291,0.136893126394
ACH-000293,0.192116404012
ACH-000294,0.30506743040199996
ACH-000295,0.332281147941
ACH-000296,0.14279751655300002
ACH-000302,0.276829982423
ACH-000304,0.345296551805
ACH-000307,0.106055316984
ACH-000308,0.17116834495900002
ACH-000310,-0.017296176455800002
ACH-000311,0.12485730454800001
ACH-000312,0.134012103181
ACH-000315,0.13773323355699998
ACH-000316,0.306219279437
ACH-000317,0.184841563534
ACH-000318,0.165381384333
ACH-000319,0.261454957506
ACH-000320,0.192747794991
ACH-000322,-0.0658468395809
ACH-000323,0.470504073022
ACH-000324,0.134892741725
ACH-000329,0.183357413623
ACH-000330,0.37254832066200005
ACH-000331,-0.00402198347489
ACH-000332,0.10840632382899999
ACH-000334,0.19717483317
ACH-000335,0.316683147738
ACH-000336,0.250365649939
ACH-000337,0.191494697954
ACH-000339,0.06502541183230001
ACH-000341,-0.08306928153469999
ACH-000348,0.10945408989600001
ACH-000350,-0.030018393934
ACH-000352,0.348045381333
ACH-000356,0.137832253719
ACH-000361,0.155305643934
ACH-000362,-0.10549320427100001
ACH-000363,0.101851646227
ACH-000364,0.204476781446
ACH-000365,0.19881715523200003
ACH-000366,0.136224616146
ACH-000368,0.37020441024499995
ACH-000374,0.20955970258499998
ACH-000375,0.0805035714666
ACH-000376,0.18665290430999998
ACH-000381,0.03481910756730001
ACH-000383,0.11966283260600001
ACH-000387,0.043584440754399996
ACH-000389,0.134401049098
ACH-000390,0.17919943040999997
ACH-000393,0.0583320570094
ACH-000395,0.22702041218000002
ACH-000397,0.222130749265
ACH-000401,0.0988789505994
ACH-000402,-0.0891175637983
ACH-000403,0.140450921473
ACH-000404,0.06839257939480001
ACH-000406,0.06973520521910001
ACH-000407,0.20874235998399998
ACH-000408,0.08784423497300001
ACH-000410,0.020416803699
ACH-000411,0.239956048108
ACH-000414,0.08618919036910001
ACH-000415,0.19610777878400001
ACH-000416,0.07226535763610001
ACH-000420,0.286027295552
ACH-000421,0.152763627309
ACH-000424,0.35087522251599995
ACH-000425,0.144451743693
ACH-000426,0.14891919974099999
ACH-000427,0.265489196456
ACH-000433,0.0419291469607
ACH-000436,-0.0346127992211
ACH-000444,0.041065092679
ACH-000445,0.0939312759654
ACH-000448,-0.125703192596
ACH-000450,0.106037092589
ACH-000452,0.26480788800599997
ACH-000454,0.0717346570103
ACH-000458,0.22237763856800002
ACH-000459,0.0212976477987
ACH-000460,0.125119795773
ACH-000461,0.470554829173
ACH-000463,0.0682029009744
ACH-000464,-0.100064484339
ACH-000466,0.292365139263
ACH-000467,0.14392222579299999
ACH-000468,0.018797747308
ACH-000469,0.0483445694169
ACH-000470,0.191713320599
ACH-000471,0.184636626929
ACH-000472,0.238250994012
ACH-000473,0.12031258681500001
ACH-000475,0.183495067071
ACH-000476,0.206685534318
ACH-000477,-0.00247026097226
ACH-000480,-0.0166691959556
ACH-000481,0.15339279482899998
ACH-000483,0.15823151055
ACH-000484,-0.0251499060005
ACH-000485,0.311271255157
ACH-000486,0.16497645181
ACH-000487,0.0873170453448
ACH-000488,0.18249796973299998
ACH-000490,0.10350926917000002
ACH-000491,0.044586495473400004
ACH-000495,0.224622599006
ACH-000496,-0.0960728523811
ACH-000499,0.00380146291887
ACH-000500,0.519976588432
ACH-000502,0.139748616809
ACH-000503,0.1664500123
ACH-000505,0.20466690175900001
ACH-000507,0.221766661436
ACH-000510,0.13080510000999998
ACH-000511,0.028979408256099997
ACH-000512,0.013100775867500001
ACH-000516,0.0642488291099
ACH-000517,0.175082037275
ACH-000518,0.27519377130899997
ACH-000520,0.151890866711
ACH-000521,-0.051085930801
ACH-000522,0.12774716452999998
ACH-000524,0.22067220821999997
ACH-000527,0.0834415314857
ACH-000528,0.117613385193
ACH-000537,0.0504332460411
ACH-000541,0.258905203021
ACH-000542,0.14251886555999999
ACH-000544,0.30006099963300004
ACH-000545,0.17177939445999998
ACH-000547,-0.125920641709
ACH-000548,0.27712196594599997
ACH-000549,0.211308370016
ACH-000550,0.278884520977
ACH-000552,0.164629284894
ACH-000556,0.334818804922
ACH-000557,0.309731548628
ACH-000570,0.156399039986
ACH-000571,0.17148611302499997
ACH-000573,0.223447447548
ACH-000576,0.24101347273
ACH-000580,0.0535085309069
ACH-000584,0.332744201584
ACH-000585,0.17099255056899998
ACH-000588,0.335876988186
ACH-000589,0.0501684708293
ACH-000591,0.294765123222
ACH-000593,0.11043612600299998
ACH-000600,0.150186588925
ACH-000601,0.132839087389
ACH-000604,0.537000634951
ACH-000605,0.225472655636
ACH-000606,0.0484336686791
ACH-000608,0.0312508514207
ACH-000614,0.18274271102200002
ACH-000616,0.09564008300989998
ACH-000618,0.21996553342300001
ACH-000619,-0.0340341504073
ACH-000620,0.134228167279
ACH-000621,0.064807300277
ACH-000622,0.312139231444
ACH-000623,0.05293396919969999
ACH-000624,0.115081201528
ACH-000627,0.0711053091977
ACH-000630,0.104901502755
ACH-000632,0.0101753189964
ACH-000633,0.0528154485663
ACH-000637,0.242306122481
ACH-000638,0.284405926712
ACH-000646,-0.00474088166709
ACH-000647,0.22306480909899998
ACH-000648,0.192281549788
ACH-000649,0.265788744435
ACH-000651,0.112573996225
ACH-000652,0.0787772848128
ACH-000653,0.221637711943
ACH-000657,0.221103220103
ACH-000658,0.27557610274
ACH-000661,0.24361761369399998
ACH-000662,0.163102119068
ACH-000663,0.391720374203
ACH-000665,-0.0219174604157
ACH-000671,0.189745315985
ACH-000673,0.11121835079600001
ACH-000676,0.397709125444
ACH-000677,0.188344087835
ACH-000681,0.0827726368701
ACH-000682,0.16033922732699998
ACH-000683,0.149896148525
ACH-000684,0.08692902231519999
ACH-000688,-0.08939573816469999
ACH-000693,0.19564711280000002
ACH-000694,0.137945748236
ACH-000695,-0.026504532305099998
ACH-000696,0.15937573737500002
ACH-000697,0.41265528344999997
ACH-000699,0.261683366772
ACH-000701,0.303499552907
ACH-000706,0.273737862929
ACH-000711,0.0934672584554
ACH-000713,0.300458895253
ACH-000714,0.079722402753
ACH-000718,0.100704405608
ACH-000720,0.278496511849
ACH-000721,0.117949865971
ACH-000724,0.0727020646635
ACH-000725,-0.054474640416900005
ACH-000732,-0.09514902373919999
ACH-000734,0.170015121741
ACH-000735,0.21262754421900001
ACH-000736,0.11612919434699999
ACH-000738,0.0920104205482
ACH-000746,0.0680225658409
ACH-000747,0.07895725542889999
ACH-000748,0.254585668758
ACH-000753,0.19678306715399999
ACH-000756,0.30096156140999997
ACH-000757,0.164252157588
ACH-000758,0.039978871804999996
ACH-000760,0.132844142256
ACH-000763,0.0461230799789
ACH-000764,0.18432757844300002
ACH-000765,0.276571492064
ACH-000766,0.17738361667
ACH-000767,0.228687460212
ACH-000768,0.158644208103
ACH-000769,0.08491711707930001
ACH-000770,0.0808036413863
ACH-000771,0.146415495831
ACH-000773,-0.153545650987
ACH-000776,0.295304811675
ACH-000777,-0.12835619636099999
ACH-000778,0.22159041469500002
ACH-000781,0.0407524032722
ACH-000782,0.318435287188
ACH-000783,0.172540739116
ACH-000784,0.177086929022
ACH-000785,0.137185494759
ACH-000787,0.0390229960454
ACH-000788,0.19274488516
ACH-000791,0.134028070884
ACH-000792,0.119507575262
ACH-000794,0.226505456613
ACH-000796,0.157440369736
ACH-000799,0.0639426622744
ACH-000800,0.190875126038
ACH-000802,0.136186684027
ACH-000804,-0.0132427063173
ACH-000805,-0.025668101027900004
ACH-000809,0.07203532202560001
ACH-000810,0.194288106248
ACH-000811,0.19075776852200002
ACH-000817,0.0829286989668
ACH-000819,0.238082410998
ACH-000820,0.308060240271
ACH-000821,0.200157921362
ACH-000822,0.319772255148
ACH-000823,0.27221551956
ACH-000824,0.21500276023200002
ACH-000827,0.12085191394400001
ACH-000829,0.108753579392
ACH-000831,0.11468861793400001
ACH-000832,0.288251767272
ACH-000833,0.155256657255
ACH-000834,0.19112493140099998
ACH-000835,0.24466562107700002
ACH-000836,-0.000534026399871
ACH-000837,0.0766436234358
ACH-000838,0.401838037011
ACH-000839,0.216663321168
ACH-000840,0.0208373737587
ACH-000841,-0.0117843880093
ACH-000843,0.278683021781
ACH-000846,0.15030966330499998
ACH-000847,0.0928313828865
ACH-000848,0.145061839001
ACH-000849,0.0409586664875
ACH-000851,0.131874946809
ACH-000855,0.21797005625500002
ACH-000856,-0.051533014858
ACH-000858,0.159133325431
ACH-000859,0.020355273131
ACH-000861,0.176985891094
ACH-000862,0.225794610048
ACH-000865,0.156185892722
ACH-000866,0.20638875155
ACH-000867,0.22606448718400002
ACH-000869,0.222201344017
ACH-000872,0.148465935849
ACH-000873,0.204696248755
ACH-000876,0.20430160168900002
ACH-000878,0.291111657007
ACH-000880,0.157483117047
ACH-000881,0.146690927381
ACH-000882,0.22156844341200002
ACH-000884,-0.045324335757099994
ACH-000885,-0.00767715994201
ACH-000887,0.153720517919
ACH-000888,0.186486728968
ACH-000889,0.189083313051
ACH-000890,0.069356925855
ACH-000896,0.08611710150689998
ACH-000898,0.270740102621
ACH-000900,0.0533314093693
ACH-000901,0.0746986933088
ACH-000905,0.191561050988
ACH-000906,0.17213756686599999
ACH-000907,0.209110124012
ACH-000910,0.0740417599763
ACH-000911,0.203848177234
ACH-000912,0.214216534898
ACH-000913,0.199510509359
ACH-000915,0.13098515500299998
ACH-000916,-0.49447590838399996
ACH-000917,0.154029050468
ACH-000921,0.128269003471
ACH-000924,0.0629962886579
ACH-000926,0.136016881156
ACH-000928,0.27651985026799997
ACH-000929,0.45184915694600003
ACH-000932,0.23503606182300002
ACH-000935,0.10362910309000001
ACH-000936,0.28516669468
ACH-000937,0.293856402521
ACH-000938,0.201744596946
ACH-000939,0.22093768678000003
ACH-000941,0.186416271702
ACH-000943,0.17052402624200003
ACH-000946,0.203872770949
ACH-000947,0.12147716907299999
ACH-000948,0.143864500085
ACH-000950,-0.07276450195010001
ACH-000953,0.135531756308
ACH-000957,0.18449308667199998
ACH-000958,-0.13669867855
ACH-000960,0.116366651535
ACH-000963,0.239117827506
ACH-000968,0.12892811003
ACH-000969,0.130204051366
ACH-000973,0.184373244989
ACH-000974,0.156124146759
ACH-000975,-0.09590604460510001
ACH-000976,0.0692212176005
ACH-000978,0.461443214647
ACH-000980,0.17726542427
ACH-000984,0.17903487159200002
ACH-000986,0.0569350541329
ACH-000988,0.100335714804
ACH-000993,0.17510039275400002
ACH-000994,0.359847586354
ACH-000996,0.34952987795100005
ACH-001001,0.0922230587211
ACH-001020,-0.182266323928
ACH-001028,0.0726353105596
ACH-001031,-0.034946884871699994
ACH-001038,0.17005080420899998
ACH-001048,0.112387021452
ACH-001050,0.22295388392700002
ACH-001053,-0.0425166969663
ACH-001054,0.21405589724399998
ACH-001061,0.191942869198
ACH-001067,-0.057681439394699996
ACH-001075,0.15338098351399998
ACH-001096,0.146747092489
ACH-001128,-0.0793880257715
ACH-001134,0.198118915253
ACH-001151,0.181440672585
ACH-001163,0.118545709559
ACH-001164,-0.233262590433
ACH-001173,0.120515088202
ACH-001183,0.08267897432589999
ACH-001184,0.101142470954
ACH-001190,0.13785810758300002
ACH-001192,0.125256871842
ACH-001193,0.381491147171
ACH-001196,-0.0102595631006
ACH-001197,0.147706351522
ACH-001205,0.19999148071199999
ACH-001211,0.060988720763
ACH-001212,-0.185883313867
ACH-001228,0.218940055805
ACH-001232,-0.09571494295569999
ACH-001239,0.10280898285000001
ACH-001274,0.14501075338
ACH-001275,0.304736100858
ACH-001277,0.53082794095
ACH-001278,0.225393261744
ACH-001280,0.0984448773405
ACH-001283,0.241281012665
ACH-001289,0.13873305116100001
ACH-001295,0.268938790135
ACH-001300,0.12982161631
ACH-001301,0.268375232423
ACH-001302,0.106627033923
ACH-001303,0.025792247887
ACH-001306,0.19762248287
ACH-001318,-0.005556245514989999
ACH-001322,0.0526259087287
ACH-001328,0.134872622035
ACH-001332,0.11625475318499999
ACH-001333,0.0659632324904
ACH-001336,0.0904643863686
ACH-001340,0.060574186513
ACH-001346,0.14995100132
ACH-001353,0.138444821297
ACH-001354,0.435873992569
ACH-001367,0.031155906532200003
ACH-001368,0.13642439828400002
ACH-001374,0.31693179030900004
ACH-001375,0.33347120790600004
ACH-001377,0.173468236396
ACH-001380,0.104828512822
ACH-001391,-0.006723394521229999
ACH-001407,0.097876658332
ACH-001408,0.153218059456
ACH-001413,0.058880760431000004
ACH-001430,0.241593150698
ACH-001431,0.0731093330569
ACH-001450,0.115504995777
ACH-001496,0.209522589329
ACH-001500,0.24551875689199998
ACH-001521,0.209468018592
ACH-001523,0.097797842412
ACH-001532,0.17264995992899998
ACH-001536,0.05052186224909999
ACH-001550,0.123895515253
ACH-001552,-0.00191593557868
ACH-001554,0.118769312214
ACH-001645,0.18865189113699998
ACH-001654,0.20055136016
ACH-001715,0.108595105397
ACH-001735,0.181688768231
ACH-001736,0.09709538562270001
ACH-001737,-0.0176446858093
ACH-001740,-0.0425069661378
ACH-001745,-0.00964899246751
ACH-001750,0.33180271074900003
ACH-001765,0.146926419725
ACH-001956,0.07444105262180001
ACH-001957,0.278777348877
